State,Plan,Age
SC,platinum,42
NE,gold,35
VT,platinum,50
SC,catastrophic,68
IL,catastrophic,31
IA,silver,35
VT,bronze,22
NE,platinum,55
SD,bronze,47
MN,catastrophic,55
NV,bronze,52
GA,catastrophic,32
IN,platinum,43
NY,silver,58
OH,bronze,27
MT,silver,63
CT,catastrophic,66
UT,bronze,43
OH,gold,69
ME,gold,47
PA,silver,40
OK,platinum,58
GA,gold,29
MT,gold,46
AR,catastrophic,24
AL,silver,35
IL,bronze,42
VT,bronze,69
NM,catastrophic,29
KY,bronze,37
ND,bronze,52
SD,gold,56
AR,catastrophic,32
TN,bronze,69
IA,platinum,21
MN,silver,58
MN,platinum,43
KY,platinum,29
FL,platinum,25
MD,gold,60
CT,bronze,21
SC,platinum,41
NY,catastrophic,32
AR,silver,68
WV,gold,46
UT,gold,44
LA,platinum,67
CT,platinum,21
WV,gold,61
RI,catastrophic,67
CO,bronze,30
NM,silver,38
MT,platinum,23
WA,platinum,33
ID,silver,54
WY,platinum,25
VA,silver,57
VA,catastrophic,45
VT,catastrophic,64
MT,gold,60
VT,gold,68
VA,platinum,59
NJ,gold,34
MS,catastrophic,61
MI,platinum,23
ME,bronze,35
NC,platinum,22
MN,silver,39
VT,silver,64
LA,gold,68
VA,gold,47
IN,bronze,56
NJ,bronze,34
CO,platinum,56
RI,platinum,39
NE,gold,59
IL,catastrophic,35
OR,bronze,66
MN,gold,29
MT,silver,52
CT,gold,51
MA,platinum,32
IN,bronze,65
NY,gold,29
NC,gold,26
MN,bronze,44
CA,catastrophic,65
SD,bronze,69
AR,bronze,40
CO,catastrophic,49
MD,platinum,41
IA,platinum,21
UT,gold,36
MD,platinum,67
WY,bronze,35
MT,gold,64
NE,silver,40
AL,platinum,25
DE,catastrophic,48
HI,platinum,64
MI,gold,68
CA,platinum,64
SC,silver,38
PA,gold,35
VT,bronze,66
NM,bronze,45
WY,catastrophic,34
WV,bronze,39
AL,silver,49
WA,platinum,66
WY,gold,56
NM,bronze,48
NM,catastrophic,49
NJ,silver,46
WY,bronze,55
CA,catastrophic,26
NY,platinum,33
IL,bronze,59
HI,catastrophic,62
NH,gold,43
MN,catastrophic,22
RI,platinum,42
WV,gold,59
OR,silver,49
MN,gold,35
NE,gold,41
NV,platinum,54
OR,gold,57
GA,bronze,35
WI,gold,44
WV,bronze,49
MA,silver,41
VA,silver,46
NJ,bronze,42
SC,catastrophic,24
MO,bronze,41
MN,gold,68
MO,bronze,39
MI,catastrophic,36
NM,gold,58
ND,catastrophic,21
MT,catastrophic,37
MT,silver,67
MS,silver,41
NH,silver,21
IA,silver,32
PA,platinum,31
ME,gold,51
MA,platinum,42
TX,platinum,28
TN,bronze,50
VA,silver,64
WV,platinum,68
PA,platinum,67
HI,platinum,59
VA,gold,33
FL,silver,60
SC,bronze,35
NH,silver,24
WA,gold,51
WY,gold,32
IN,catastrophic,57
NY,catastrophic,47
ND,platinum,44
ND,catastrophic,54
AL,platinum,67
IA,platinum,29
WA,silver,57
WA,gold,50
MO,platinum,48
TX,platinum,41
MS,bronze,42
AR,bronze,45
WY,gold,64
MS,catastrophic,46
IA,catastrophic,69
OK,platinum,60
AK,gold,63
VA,catastrophic,69
MO,bronze,32
WY,platinum,48
KS,bronze,25
GA,silver,51
MT,catastrophic,65
ND,silver,69
SC,catastrophic,24
MI,bronze,38
MN,silver,65
PA,bronze,67
CA,platinum,21
AZ,gold,67
LA,platinum,28
AK,catastrophic,21
NJ,gold,41
ME,bronze,41
CT,catastrophic,64
AL,gold,52
TX,silver,47
MA,bronze,48
AR,bronze,21
UT,silver,28
WA,bronze,61
AL,platinum,30
KY,bronze,62
MA,platinum,45
WV,gold,49
MA,gold,30
MD,silver,65
OH,catastrophic,38
SD,catastrophic,30
RI,catastrophic,62
FL,catastrophic,36
FL,platinum,38
IN,bronze,64
MA,platinum,51
CA,catastrophic,66
RI,gold,46
NJ,gold,69
IN,platinum,38
WI,silver,67
WV,silver,29
AK,platinum,51
HI,platinum,48
NC,platinum,23
IN,bronze,36
AK,platinum,41
MN,bronze,66
GA,silver,35
ID,bronze,55
HI,bronze,48
WV,bronze,44
GA,silver,60
ID,platinum,45
CO,gold,38
CT,gold,65
SC,bronze,65
NM,gold,33
AZ,catastrophic,52
SD,bronze,54
AK,silver,27
ID,gold,38
UT,platinum,23
IN,catastrophic,67
ND,platinum,46
DE,bronze,24
PA,platinum,22
MI,platinum,26
KS,silver,55
MN,bronze,58
AZ,platinum,53
NC,gold,28
MO,gold,37
WY,silver,67
ID,platinum,36
MD,gold,61
VT,platinum,32
ID,bronze,40
AK,silver,35
HI,platinum,53
WY,catastrophic,24
MI,bronze,35
AR,catastrophic,37
FL,gold,40
NE,bronze,69
NJ,catastrophic,31
MA,catastrophic,24
NC,catastrophic,48
TX,catastrophic,61
OR,catastrophic,22
AK,bronze,30
AZ,gold,47
AL,gold,67
PA,platinum,22
MO,gold,44
TN,gold,47
MN,platinum,34
ID,bronze,44
VT,catastrophic,31
MS,gold,46
MS,silver,64
GA,catastrophic,48
HI,gold,49
NE,platinum,55
OK,catastrophic,40
VT,gold,34
PA,platinum,27
KY,platinum,59
CO,bronze,29
OR,gold,37
KS,bronze,67
NV,silver,31
OH,gold,25
NJ,gold,54
SC,platinum,42
MA,silver,60
CO,silver,31
ID,catastrophic,48
MA,bronze,21
NC,silver,32
DE,silver,30
AL,silver,27
SD,platinum,32
DE,silver,27
ME,bronze,31
MD,bronze,58
LA,catastrophic,24
AK,bronze,48
OR,silver,42
DE,platinum,63
NC,silver,54
SD,gold,32
VT,catastrophic,39
SC,bronze,63
PA,silver,48
VA,bronze,52
IN,platinum,33
TN,silver,29
UT,silver,69
IA,platinum,36
NJ,bronze,49
GA,platinum,41
VT,gold,69
LA,platinum,64
NE,bronze,41
MO,gold,68
MS,silver,48
NH,platinum,46
OK,catastrophic,62
TN,gold,35
VT,platinum,38
FL,gold,38
HI,platinum,69
LA,gold,46
NC,bronze,49
OR,gold,52
MT,bronze,55
SD,silver,52
CT,bronze,47
NM,platinum,57
CT,catastrophic,55
WV,silver,46
UT,platinum,68
FL,silver,24
LA,silver,31
CA,bronze,64
AR,platinum,59
ME,gold,34
MA,platinum,27
AR,catastrophic,34
NC,gold,66
RI,silver,30
ID,catastrophic,37
ID,silver,68
OR,silver,67
TX,silver,60
OH,silver,30
RI,bronze,28
OH,bronze,34
IL,silver,56
MN,catastrophic,52
AR,catastrophic,53
MI,silver,53
NV,bronze,60
ME,platinum,46
AK,gold,69
RI,silver,41
MI,bronze,38
NC,catastrophic,67
TX,gold,69
NY,silver,68
AZ,platinum,63
TX,silver,39
MI,platinum,30
DE,silver,53
TN,catastrophic,55
ID,gold,37
DE,catastrophic,21
NY,platinum,38
SD,catastrophic,64
NV,platinum,27
MA,silver,24
KY,gold,64
NH,silver,34
MD,gold,30
NJ,bronze,69
OR,gold,54
MT,gold,55
SD,silver,21
MT,silver,45
MT,catastrophic,28
KY,gold,48
MT,silver,54
WV,silver,40
WI,gold,64
SC,catastrophic,27
KY,gold,21
TX,platinum,26
OR,platinum,68
NJ,bronze,29
GA,bronze,46
NY,gold,40
CA,platinum,37
WI,silver,53
VA,gold,47
PA,platinum,60
OR,silver,52
FL,bronze,46
IL,bronze,50
ND,platinum,30
NM,bronze,41
NY,silver,62
ID,bronze,29
WA,silver,21
IL,silver,25
OH,platinum,38
ND,platinum,67
MN,bronze,55
WY,catastrophic,66
SC,catastrophic,47
IL,silver,24
MA,catastrophic,54
ME,gold,34
ME,gold,44
ND,silver,24
NE,silver,28
WA,platinum,33
TX,bronze,62
OR,silver,34
NM,catastrophic,40
ND,catastrophic,57
CA,gold,52
MS,gold,66
IA,bronze,61
MI,platinum,53
UT,bronze,60
VA,platinum,38
TX,bronze,34
NC,bronze,25
OR,bronze,44
MO,platinum,37
NY,bronze,58
NE,catastrophic,66
MT,gold,31
MD,bronze,28
SD,silver,44
LA,catastrophic,61
OH,catastrophic,46
CO,gold,40
DE,catastrophic,56
DE,platinum,57
NM,gold,38
ME,bronze,44
CO,gold,68
WY,gold,33
MT,gold,62
WV,catastrophic,28
OK,platinum,49
MN,silver,54
WY,gold,53
WA,bronze,37
CT,silver,29
NY,silver,37
IL,bronze,57
CA,catastrophic,27
CA,bronze,62
HI,gold,57
ID,gold,34
OK,catastrophic,67
IA,bronze,48
ID,gold,29
NY,catastrophic,40
ME,catastrophic,59
RI,bronze,62
VT,catastrophic,45
WV,silver,34
VT,silver,23
NY,catastrophic,38
CT,catastrophic,56
TX,catastrophic,62
PA,silver,47
MT,catastrophic,22
AR,bronze,53
IN,platinum,56
OH,platinum,25
CA,bronze,36
FL,silver,50
IA,platinum,66
CO,gold,41
AL,platinum,33
MD,gold,53
MO,gold,33
OK,silver,27
NJ,bronze,68
NY,gold,69
IL,gold,69
MT,bronze,38
TN,silver,61
MD,gold,26
OK,bronze,64
MO,gold,41
VT,catastrophic,53
ME,gold,48
OH,catastrophic,22
NM,platinum,48
TN,silver,41
IL,catastrophic,51
NV,bronze,44
WA,platinum,59
GA,catastrophic,21
IN,silver,29
CT,silver,53
GA,gold,62
NJ,catastrophic,38
FL,catastrophic,53
OH,gold,40
OR,catastrophic,36
SC,catastrophic,37
MO,gold,36
NC,catastrophic,21
MT,silver,22
OK,bronze,51
VT,silver,25
NV,bronze,22
MA,silver,41
PA,bronze,37
WA,catastrophic,34
ND,silver,59
WA,catastrophic,44
OH,catastrophic,47
KY,platinum,45
VT,silver,40
IL,catastrophic,31
NJ,bronze,30
WY,catastrophic,46
MA,platinum,45
CO,gold,26
MI,bronze,36
CO,bronze,32
VT,silver,51
OR,catastrophic,64
MD,catastrophic,57
MT,gold,69
OH,gold,47
NM,gold,46
ME,platinum,25
ID,silver,47
VA,catastrophic,61
PA,catastrophic,50
PA,bronze,29
SD,catastrophic,43
KS,catastrophic,59
MA,silver,56
MS,catastrophic,55
AR,bronze,68
MN,silver,56
UT,gold,65
SC,platinum,58
NE,bronze,31
CO,catastrophic,37
MD,gold,51
WI,gold,47
AZ,bronze,39
SC,silver,29
IA,platinum,25
LA,platinum,46
NJ,platinum,66
ID,bronze,24
MD,silver,63
CO,platinum,29
ID,silver,69
WV,gold,66
VA,catastrophic,42
WV,catastrophic,47
NC,silver,42
MT,platinum,57
KY,gold,47
IN,gold,23
MI,bronze,59
CT,bronze,35
MA,bronze,57
OR,bronze,58
WV,gold,22
WV,bronze,31
MI,gold,35
WY,bronze,59
HI,gold,49
ME,gold,48
TN,gold,50
NC,bronze,52
NC,catastrophic,50
IL,gold,51
MD,gold,67
TX,silver,35
CA,bronze,27
NY,gold,31
HI,bronze,33
OK,bronze,58
ME,bronze,31
ND,platinum,65
KS,bronze,34
PA,platinum,66
AK,bronze,67
TN,silver,40
OH,gold,68
MS,platinum,69
NM,gold,21
NE,catastrophic,38
CA,catastrophic,66
NE,platinum,36
MT,platinum,28
OR,bronze,59
TN,platinum,36
ND,catastrophic,43
GA,catastrophic,39
AK,catastrophic,54
MA,catastrophic,36
NC,bronze,67
IA,platinum,35
OH,silver,69
MN,gold,46
CO,gold,51
IA,gold,64
NM,platinum,58
VA,catastrophic,35
ME,catastrophic,35
OK,bronze,34
GA,silver,37
NM,silver,56
NH,catastrophic,43
PA,bronze,55
MO,gold,39
CO,silver,56
NE,platinum,27
NM,bronze,28
CA,platinum,69
MA,platinum,66
UT,silver,59
IN,gold,39
MA,platinum,50
OH,bronze,57
OK,bronze,57
MO,bronze,33
WA,bronze,56
WY,catastrophic,32
PA,bronze,30
DE,bronze,47
MD,bronze,29
NC,bronze,55
MT,silver,52
TN,bronze,60
HI,silver,53
AZ,gold,47
NY,platinum,43
GA,gold,65
ND,gold,58
AK,gold,64
SD,bronze,48
TN,platinum,44
PA,silver,55
SC,gold,66
NC,gold,31
CA,bronze,34
MS,catastrophic,51
IN,silver,53
NM,gold,27
OH,platinum,48
OK,platinum,23
AZ,catastrophic,51
WY,bronze,65
NE,gold,68
RI,catastrophic,21
IA,platinum,41
IN,silver,34
MT,platinum,41
SC,platinum,54
DE,silver,35
MT,gold,64
MD,catastrophic,50
UT,bronze,58
DE,catastrophic,66
CT,catastrophic,28
HI,platinum,29
WV,catastrophic,25
KY,platinum,48
ND,silver,61
NJ,bronze,61
VA,catastrophic,28
OR,platinum,23
SC,platinum,68
AR,catastrophic,35
NV,catastrophic,28
TN,gold,25
ME,bronze,65
GA,gold,65
HI,gold,42
NJ,gold,23
SC,catastrophic,24
NC,catastrophic,29
RI,gold,57
AK,platinum,50
NM,platinum,60
OK,platinum,64
LA,platinum,54
OH,platinum,62
MT,platinum,33
AK,gold,22
TN,gold,59
VT,catastrophic,23
IL,bronze,31
MD,catastrophic,27
VT,bronze,45
IL,platinum,53
MS,silver,49
MS,bronze,65
OH,silver,67
NE,catastrophic,41
MD,gold,46
WI,bronze,66
MS,gold,61
WA,silver,37
OK,platinum,49
TX,bronze,61
OH,catastrophic,66
ND,gold,32
IA,gold,48
AZ,platinum,67
WI,gold,41
OK,bronze,69
LA,platinum,35
IN,bronze,24
OR,platinum,37
CT,silver,34
TN,silver,59
ND,platinum,33
KY,gold,52
KS,gold,39
NY,bronze,68
VA,catastrophic,26
MS,platinum,68
NH,catastrophic,37
AZ,catastrophic,52
MD,gold,50
MA,bronze,65
WY,gold,44
FL,silver,57
MA,platinum,51
IN,gold,38
SD,bronze,61
KY,gold,54
GA,bronze,52
OH,silver,61
SC,catastrophic,36
NE,silver,32
WI,bronze,30
PA,gold,22
NY,gold,62
NH,bronze,31
CA,platinum,65
MN,catastrophic,35
LA,platinum,62
OR,catastrophic,48
ND,gold,69
NE,silver,56
GA,platinum,42
GA,gold,60
AL,gold,67
MN,platinum,47
CA,platinum,41
FL,gold,52
NY,bronze,57
WI,platinum,56
MI,platinum,49
MD,gold,38
IL,platinum,32
PA,catastrophic,23
NM,catastrophic,23
WA,catastrophic,59
NE,silver,53
RI,bronze,43
OK,gold,44
MT,silver,53
OH,gold,55
WY,bronze,36
AR,gold,64
MN,catastrophic,66
ME,catastrophic,23
ME,silver,34
OH,catastrophic,40
LA,silver,57
OH,platinum,34
MD,bronze,24
DE,catastrophic,30
OK,catastrophic,32
ID,platinum,66
NY,catastrophic,66
GA,silver,64
MT,silver,32
NC,platinum,69
TN,silver,54
MA,bronze,34
VA,bronze,26
