,Unnamed: 0,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
73,73,95677,UnitedHealthcare Insurance Company,CA,N/A,N/A,4029609.65
74,74,93689,Western Health Advantage,CA,5847162.74,2576272.04,884571.67
75,75,92137,All Savers Insurance Company,CO,547719.39,481970.65,N/A
76,76,49375,Cigna Health and Life Insurance Company,CO,10847936.42,10208969.51,N/A
77,77,63312,Colorado Choice Health Plans,CO,6252605.70,-4578461.04,-534596.16
78,78,20472,"Colorado Health Insurance Cooperative, Inc.",CO,19571825.50,-4393875.95,-97502.97
79,79,66699,"Denver Health Medical Plan, Inc.",CO,426657.77,2412384.60,N/A
80,80,76680,"HMO Colorado, Inc., dba HMO Nevada",CO,12493994.43,261875.80,-860371.91
81,81,74320,Humana Health Plan,CO,8822154.98,4731745.94,-2841602.51
82,82,79509,Humana Insurance Company,CO,1268061.73,1264744.68,139778.65
83,83,21032,Kaiser Foundation Health Plan of Colo.,CO,26956984.91,-33664830.89,-3582183.17
84,84,35944,Kaiser Permanente Insurance Company,CO,N/A,N/A,-49499.07
85,85,11555,New Health Ventures Inc.,CO,205000.00,99152.72,N/A
86,86,80208,Rocky Mountain Health Care Options,CO,N/A,N/A,404793.25
87,87,97879,Rocky Mountain HMO,CO,54104079.51,13887675.22,-16089.07
88,88,87269,"Rocky Mountain Hospital and Medical Service, Inc., dba Anthem Blue Cross and Blue Shield",CO,N/A,N/A,2272512.47
89,89,39060,Time Insurance Company,CO,16138881.92,9288648.71,N/A
90,90,67879,UnitedHealthcare Insurance Company,CO,N/A,N/A,3694826.77
91,91,59036,"UnitedHealthcare of Colorado, Inc.",CO,N/A,N/A,1469933.76
92,92,39159,Aetna Life Insurance Company,CT,5454083.60,2822391.74,2719970.89
93,93,86545,Anthem Health Plans Inc. (Anthem BCBS),CT,53879332.07,13893512.78,1456630.51
94,94,74684,Celtic Insurance Company**,CT,0.00,-376.51,N/A
95,95,87354,Cigna Health and Life Insurance Company**,CT,1443523.59,-45977.45,N/A
96,96,76962,"ConnectiCare Benefits, Inc. **",CT,22088564.32,-6289036.98,N/A
97,97,94815,"ConnectiCare Insurance Company, Inc. **",CT,13127918.24,-10948959.34,-7957364.87
98,98,75091,"ConnectiCare, Inc. **",CT,9490.20,-115248.13,72069.21
99,99,95882,"Harvard Pilgrim Health Care of Connecticut, Inc. **",CT,N/A,N/A,9449.37
100,100,91069,"HealthyCT, Inc. **",CT,1944236.31,-569431.67,-532743.60
101,101,89130,"HPHC Insurance Company, Inc. **",CT,N/A,N/A,-130325.86
102,102,29462,"Oxford Health Insurance, Inc. **",CT,N/A,N/A,4715438.40
103,103,71179,"Oxford Health Plans (CT), Inc. **",CT,N/A,N/A,-86030.15
104,104,86542,Time Insurance Company**,CT,2907270.19,1253125.49,N/A
105,105,49650,UnitedHealthcare Insurance Company,CT,N/A,N/A,-267093.84
106,106,73987,Aetna Health Inc. (a PA corp.),DC,N/A,N/A,-239619.32
107,107,77422,Aetna Life Insurance Company,DC,0.00,-45424.71,400712.47
108,108,86052,"CareFirst BlueChoice, Inc.",DC,1900356.26,-1007058.65,-6732251.48
109,109,78079,GHMSI,DC,2071230.11,1803989.23,8238082.97
110,110,94506,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,316474.04,-751505.85,-1598160.33
111,111,75753,"Optimum Choice, Inc.",DC,N/A,N/A,186718.46
112,112,41842,UnitedHealthcare Insurance Company,DC,N/A,N/A,-255482.82
113,113,67190,Aetna Health Inc. (a PA corp.),DE,N/A,N/A,12382.86
114,114,29497,Aetna Life Insurance Company,DE,290104.21,-357373.55,-77166.51
115,115,13537,Coventry Health and Life,DE,437178.28,3410.60,N/A
116,116,81914,"Coventry Health Care of Delaware, Inc.",DE,628973.12,-427183.66,235718.45
117,117,76168,Highmark BCBSD Inc.,DE,17745845.52,727926.00,-438027.53
118,118,78960,John Alden Life Insurance Company,DE,N/A,N/A,-2542.01
119,119,97569,"Optimum Choice, Inc.",DE,N/A,N/A,-45756.59
120,120,97889,Time Insurance Company,DE,512544.50,53220.61,-4709.65
121,121,61021,UnitedHealthcare Insurance Company,DE,N/A,N/A,320100.97
122,122,18628,Aetna Health Inc. (a FL corp.),FL,1205126.79,-525058.02,389940.41
123,123,23841,Aetna Life Insurance Company,FL,32190446.23,20415906.73,1330151.83
124,124,42204,All Savers Insurance Company,FL,N/A,N/A,31520.79
125,125,19898,"AvMed, Inc.",FL,1841557.61,1215541.75,-3118661.50
126,126,16842,Blue Cross and Blue Shield of Florida,FL,265367761.31,221628751.90,4537166.63
127,127,66966,Capital Health Plan,FL,N/A,N/A,635267.48
128,128,21663,Celtic Insurance Company,FL,14820.41,143355.70,N/A
129,129,48121,Cigna Health and Life Insurance Company,FL,75559934.98,39512510.93,N/A
130,130,76089,Coventry Health and Life Insurance Co.,FL,N/A,N/A,107518.39
131,131,57451,"Coventry Health Care of Florida, Inc.",FL,63556095.78,-160958367.07,90797.90
132,132,92120,"Coventry Health Plan of Florida, Inc.",FL,1838893.01,824165.75,N/A
133,133,56503,"Florida Health Care Plan, Inc.",FL,3957217.77,4718787.44,-69476.10
134,134,40442,Freedom Life Insurance,FL,197590.16,34088.70,N/A
135,135,27357,"Health First Health Plans, Inc.",FL,N/A,N/A,-761118.31
136,136,77150,"Health First Insurance, Inc.",FL,1475534.84,-723613.84,-391901.29
137,137,30252,"Health Options, Inc.",FL,61800974.07,32115302.73,-1315788.63
138,138,99308,"Humana Health Insurance Co of FL, Inc.",FL,547055.66,185940.22,-116650.43
139,139,15980,Humana Insurance Company,FL,525858.00,483961.79,N/A
140,140,35783,"Humana Medical Plan, Inc.",FL,119899412.27,-80860989.32,-6552473.44
141,141,41240,John Alden Life Insurance Company,FL,N/A,N/A,-890.28
142,142,54172,"Molina Healthcare of Florida, Inc.",FL,413077.75,664162.18,N/A
143,143,80779,"Neighborhood Health Partnership, Inc.",FL,N/A,N/A,-171191.73
144,144,51398,"Preferred Medical Plan, Inc.",FL,19151683.89,-97122695.74,N/A
145,145,86382,Sunshine State Health Plan,FL,0.00,-198355.63,N/A
146,146,62662,Time Insurance Company,FL,24416837.37,11930582.36,-119621.80
147,147,43839,UnitedHealthcare Insurance Company,FL,N/A,N/A,3844812.86
148,148,17341,UnitedHealthcare Life Insurance Company,FL,7942642.06,6516021.26,N/A
149,149,68398,"UnitedHealthcare of Florida, Inc.",FL,N/A,N/A,1650597.60
150,150,82824,Aetna Health Inc. (a GA corp.),GA,N/A,N/A,-1390717.91
151,151,83978,Aetna Life Insurance Company,GA,2623982.14,-500123.69,-3143639.65
152,152,83761,Alliant Health Plans,GA,7265449.74,2745962.25,-1464662.42
153,153,82894,"Athens Area Health Plan Select, Inc.",GA,N/A,N/A,-637297.59
154,154,63411,"Blue Cross and Blue Shield of Georgia, Inc.",GA,N/A,N/A,1729140.20
155,155,49046,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,34663581.85,-3958982.30,2304375.99
156,156,24775,Celtic Insurance Company,GA,0.00,7411.32,N/A
157,157,50491,Cigna Health and Life Insurance Company,GA,3655883.02,3395529.35,N/A
158,158,65890,Coventry Health and Life,GA,N/A,N/A,-4418.49
159,159,47783,"Coventry Health Care of Georgia, Inc.",GA,3255942.16,-3608858.91,2304241.03
160,160,38835,Federated Mutual Insurance Company,GA,N/A,N/A,-55911.28
161,161,72796,Freedom Life Insurance,GA,0.00,-212.84,N/A
162,162,93332,"Humana Employers Health Plan of Georgia, Inc.",GA,194926953.76,64808.72,-6158.42
163,163,37001,Humana Insurance Company,GA,1866817.18,2184957.04,721767.42
164,164,50313,John Alden Life Insurance Company,GA,N/A,N/A,159888.81
165,165,89942,Kaiser Foundation Health Plan of Georgia,GA,7879843.09,-745460.89,-2820212.21
166,166,82302,Kaiser Permanente Insurance Company,GA,N/A,N/A,-14361.39
167,167,12442,Nippon Life Insurance Company of America,GA,N/A,N/A,-113027.35
168,168,45495,Peach State Health Plan,GA,752278.28,-3689629.38,N/A
169,169,20544,Time Insurance Company,GA,8301134.79,4104599.26,462396.82
170,170,30552,UnitedHealthcare Ins Co of River Valley,GA,N/A,N/A,-510878.36
171,171,13535,UnitedHealthcare Insurance Company,GA,N/A,N/A,2602799.56
172,172,43802,"UnitedHealthcare of Georgia, Inc.",GA,N/A,N/A,-123324.74
173,173,14479,Family Health Hawaii mbs,HI,N/A,N/A,-541621.36
174,174,56682,Hawaii Medical Assurance Association,HI,N/A,N/A,-213033.45
175,175,18350,Hawaii Medical Service Association,HI,13001803.35,10430372.28,5740424.58
176,176,60612,"Kaiser Foundation Health Plan, Inc.",HI,4687278.77,-10430372.26,-4366914.44
177,177,54179,UnitedHealthcare Insurance Company,HI,N/A,N/A,1398.35
178,178,95366,University Health Alliance (UHA),HI,N/A,N/A,-620253.71
179,179,74980,"Avera Health Plans, Inc.",IA,37384.36,-46538.07,-8630.65
180,180,87194,Celtic Insurance Company,IA,0.00,-1222.36,N/A
181,181,71268,CoOportunity Health,IA,24918368.43,7585020.87,-3442183.75
182,182,51820,Coventry Health and Life Insurance Co.,IA,N/A,N/A,-19282.26
183,183,18973,Coventry Health Care of Iowa Inc.,IA,13395052.40,-9236606.28,-142786.86
184,184,41397,Federated Mutual Insurance Company,IA,N/A,N/A,-24092.66
185,185,27651,"Gundersen Health Plan, Inc.",IA,97464.02,-19844.29,-46725.06
186,186,77638,"Health Alliance Midwest, Inc.",IA,N/A,N/A,-19846.16
187,187,67580,John Alden Life Insurance Company,IA,N/A,N/A,-63213.98
188,188,50735,Medical Associates Health Plans,IA,N/A,N/A,-285469.43
189,189,51474,Pekin Life Insurance Company,IA,N/A,N/A,-61839.36
190,190,85930,Sanford Health Plan,IA,N/A,N/A,36341.21
191,191,48569,Standard Security Life,IA,N/A,N/A,-2102.24
192,192,68184,Time Insurance Company,IA,1242068.11,-338678.10,-13859.22
193,193,88678,UnitedHealthcare Insurance Company,IA,N/A,N/A,111696.10
194,194,56610,"UnitedHealthcare Plan of the River Valley, Inc.",IA,N/A,N/A,-54442.57
195,195,25896,Wellmark Health Plan of Iowa,IA,782563.16,-2547979.51,501033.39
196,196,72160,Wellmark Inc.,IA,13566797.89,4605847.67,3535403.52
197,197,61175,Aetna Health of Utah Inc.,ID,18151.34,-24771.68,-157276.56
198,198,61589,"Blue Cross of Idaho Health Service, Inc.",ID,46067383.55,-7228265.36,557788.36
199,199,59765,BridgeSpan Health Company,ID,712878.62,574321.44,N/A
200,200,52156,John Alden Life Insurance Company,ID,N/A,N/A,45076.99
201,201,60597,PacificSource Health Plans,ID,2266284.66,663249.20,-228325.54
202,202,44648,Regence Blue Shield of Idaho,ID,282450.45,371605.98,1175263.46
203,203,26002,SelectHealth,ID,22446618.57,5450923.74,-1392526.68
204,204,28218,Time Insurance Company,ID,510134.56,192936.56,N/A
205,205,99129,Aetna Health Inc. (a PA corp.),IL,N/A,N/A,-370976.96
206,206,72547,Aetna Life Insurance Company,IL,917024.20,125878.03,-719734.14
207,207,36096,Blue Cross Blue Shield of Illinois,IL,277754457.89,-10823647.68,4303605.47
208,208,27833,Celtic Insurance Company,IL,0.00,15156.60,N/A
209,209,35670,Coventry Health & Life Co.,IL,2168704.98,-2604833.08,-400513.48
210,210,96601,"Coventry Health Care of Illinois, Inc.",IL,6155110.05,-3262695.30,-1048560.53
211,211,66143,Federated Mutual Insurance Company,IL,N/A,N/A,-390516.48
212,212,82506,Freedom Life Insurance,IL,57607.05,59844.74,N/A
213,213,20129,"Health Alliance Medical Plans, Inc.",IL,4523529.04,2597374.35,-998963.73
214,214,58288,"Humana Health Plan, Inc.",IL,1706900.43,614409.67,-1028302.66
215,215,68303,Humana Insurance Company,IL,8206407.61,8268175.79,4255065.52
216,216,57020,John Alden Life Insurance Company,IL,N/A,N/A,183726.24
217,217,79763,Land of Lincoln Mutual Health Insurance Company,IL,4808906.25,816860.44,-390929.05
218,218,59311,Madison National Life,IL,N/A,N/A,-3535.77
219,219,24301,Medical Associates Health Plans,IL,N/A,N/A,-131881.33
220,220,53586,Nippon Life Insurance Company of America,IL,N/A,N/A,-42724.33
221,221,18389,Pekin Life Insurance Company,IL,N/A,N/A,-52688.31
222,222,40448,Standard Security Life,IL,N/A,N/A,-28.68
223,223,67807,Time Insurance Company,IL,6649598.67,4193476.50,20402.52
224,224,92476,UnitedHealthcare Ins Co of Illinois,IL,N/A,N/A,-700664.41
225,225,34446,UnitedHealthcare Ins Co of River Valley,IL,N/A,N/A,-1540017.03
226,226,42529,"UnitedHealthcare of Illinois, Inc.",IL,N/A,N/A,-724765.70
227,227,58239,"UnitedHealthcare Plan of the River Valley, Inc.",IL,N/A,N/A,-217997.08
228,228,32378,Aetna Life Insurance Company,IN,N/A,N/A,-649454.74
229,229,36373,All Savers Insurance Company,IN,N/A,N/A,-425165.15
230,230,17575,Anthem Ins Companies Inc(Anthem BCBS),IN,63611127.93,-35299047.70,5862596.41
231,231,76179,Celtic Insurance Company,IN,0.00,-7885.97,N/A
232,232,35065,Coordinated Care Corporation Indiana,IN,102697.05,-323051.82,N/A
233,233,11104,Federated Mutual Insurance Company,IN,N/A,N/A,-22411.92
234,234,43442,Humana Health Plan,IN,N/A,N/A,-19667.22
235,235,99791,Humana Insurance Company,IN,15014843.87,12712802.22,28264.72
236,236,95074,John Alden Life Insurance Company,IN,N/A,N/A,-124424.43
237,237,85320,"MDwise, Inc.",IN,17158478.60,18423632.06,N/A
238,238,43499,Medical Mutual of Ohio,IN,N/A,N/A,-265136.19
239,239,98761,Nippon Life Insurance Company of America,IN,N/A,N/A,-117653.72
240,240,79828,Pekin Life Insurance Company,IN,N/A,N/A,-71406.41
241,241,50816,"Physicians Health Plan of Northern Indiana, Inc.",IN,10350382.87,-4011882.59,115029.27
242,242,67920,Southeastern Indiana Health Organization,IN,N/A,N/A,-840621.54
243,243,50442,Standard Security Life,IN,N/A,N/A,-17085.65
244,244,91842,Time Insurance Company,IN,15491452.97,8505433.96,-90416.73
245,245,62052,Trustmark Life Insurance Company,IN,N/A,N/A,39262.67
246,246,72850,UnitedHealthcare Insurance Company,IN,N/A,N/A,-3241006.75
247,247,35755,US Health and Life Insurance Company,IN,N/A,N/A,-160702.61
248,248,84600,Aetna Life Insurance Company,KS,N/A,N/A,-266018.93
249,249,94248,Blue Cross and Blue Shield of Kansas City,KS,11523299.72,8092802.17,1450193.47
250,250,18558,"Blue Cross and Blue Shield of Kansas, Inc.",KS,25958565.69,7698173.07,1056774.58
251,251,34368,Celtic Insurance Company,KS,0.00,3792.70,N/A
252,252,61430,Coventry Health and Life,KS,18150600.47,-10156545.50,-84693.06
253,253,65598,Coventry Health Care Of Kansas Inc,KS,6787834.35,-5910292.03,-713955.94
254,254,96352,Federated Mutual Insurance Company,KS,N/A,N/A,-171528.97
255,255,54822,Freedom Life Insurance,KS,0.00,-230.08,N/A
256,256,49857,"Humana Health Plan, Inc.",KS,N/A,N/A,-125193.09
257,257,19968,Humana Insurance Company,KS,385045.35,97760.97,-291686.41
258,258,98618,John Alden Life Insurance Company,KS,N/A,N/A,-75807.36
259,259,71122,Time Insurance Company,KS,2664586.18,174538.76,-9478.41
260,260,94968,UnitedHealthcare Insurance Company,KS,N/A,N/A,-768605.82
261,261,77029,All Savers Insurance Company,KY,N/A,N/A,-3311.90
262,262,36239,Anthem Health Plans of KY(Anthem BCBS),KY,10851899.04,4889935.19,2798476.94
263,263,40586,"Bluegrass Family Health, Inc.",KY,N/A,N/A,-1254224.27
264,264,15411,"Humana Health Plan, Inc.",KY,7877805.71,1152387.48,-1929958.70
265,265,33734,John Alden Life Insurance Company,KY,N/A,N/A,-22525.81
266,266,77894,Kentucky Health Cooperative,KY,58086349.70,-7829059.51,-49429.47
267,267,19503,Time Insurance Company,KY,2528454.66,1786736.84,196961.32
268,268,23671,"UnitedHealthcare of Kentucky, Ltd.",KY,N/A,N/A,312802.38
269,269,45920,"UnitedHealthcare of Ohio, Inc.",KY,N/A,N/A,-48790.45
270,270,81941,Aetna Health Inc. (a LA corp.),LA,1125984.52,-2764603.70,-120226.85
271,271,14030,Aetna Life Insurance Company,LA,N/A,N/A,-11121.47
272,272,93653,All Savers Insurance Company,LA,N/A,N/A,-6296.82
273,273,22381,Coventry Health and Life,LA,N/A,N/A,-37335.05
274,274,19913,Freedom Life Insurance,LA,0.00,72093.27,N/A
275,275,19636,"HMO Louisiana, Inc.",LA,11532268.15,-12245987.34,-674763.59
276,276,44965,"Humana Health Benefit Plan of Louisiana, Inc.",LA,7813491.40,482642.43,-119935.54
277,277,89219,John Alden Life Insurance Company,LA,N/A,N/A,-23667.98
278,278,67202,"Louisiana Health Cooperative, Inc.",LA,9878052.34,-7456986.26,-36621.89
279,279,97176,Louisiana Health Service & Indemnity Company,LA,59187419.01,22005546.46,803668.20
280,280,31434,Time Insurance Company,LA,1428188.05,323444.34,8246.81
281,281,69842,UnitedHealthcare Insurance Company,LA,N/A,N/A,511621.86
282,282,38499,"UnitedHealthcare of Louisiana, Inc.",LA,N/A,N/A,-97687.22
283,283,67243,"Vantage Health Plan, Inc.",LA,5014154.17,-416149.30,-195880.47
284,284,42690,"Blue Cross and Blue Shield of Massachusetts HMO Blue, Inc. ***",MA,37222783.00,N/A,N/A
285,285,24675,"Blue Cross and Blue Shield of Massachusetts, Inc. ***",MA,78976.66,N/A,N/A
286,286,82569,"Boston Medical Center Health Plan, Inc. ***",MA,130830.24,N/A,N/A
287,287,31234,CeltiCare Health Plan of MA***,MA,0.00,N/A,N/A
288,288,88950,"ConnectiCare of Massachusetts, Inc. ***",MA,0.00,N/A,N/A
289,289,88806,"Fallon Community Health Plan, Inc. ***",MA,2543005.00,N/A,N/A
290,290,52710,Fallon Health & Life Assurance Company***,MA,51087.41,N/A,N/A
291,291,36046,Harvard Pilgrim Health Care Inc. ***,MA,9694228.25,N/A,N/A
292,292,34484,"Health New England, Inc. ***",MA,774704.21,N/A,N/A
293,293,95878,HPHC Insurance Company Inc. ***,MA,2225269.37,N/A,N/A
294,294,73331,"Minuteman Health, Inc.***",MA,1167.60,N/A,N/A
295,295,41304,Neighborhood Health Plan***,MA,11225924.12,N/A,N/A
296,296,29125,Tufts Associated Health Maintenance Org***,MA,9896287.04,N/A,N/A
297,297,59763,Tufts Health Public Plans Inc. ***,MA,116022.27,N/A,N/A
298,298,38712,Tufts Insurance Company***,MA,1677442.23,N/A,N/A
299,299,31779,UnitedHealthcare Insurance Company***,MA,0.00,N/A,N/A
300,300,66516,Aetna Health Inc. (a PA corp.),MD,N/A,N/A,11143.81
301,301,70767,Aetna Life Insurance Company,MD,N/A,N/A,85307.78
302,302,36677,All Savers Insurance Company,MD,266389.22,272660.90,N/A
303,303,28137,"CareFirst BlueChoice, Inc.",MD,33674052.57,-12598519.03,-4834145.80
304,304,45532,"CareFirst of Maryland, Inc.",MD,21694659.41,9718734.15,3249730.99
305,305,68541,Coventry Health and Life,MD,N/A,N/A,-1991429.33
306,306,14468,"Coventry Health Care of Delaware, Inc.",MD,N/A,N/A,-4255487.55
307,307,72564,"Evergreen Health Cooperative, Inc.",MD,311875.67,-360466.32,N/A
308,308,94084,GHMSI,MD,9970292.23,5177916.02,5641971.56
309,309,90296,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",MD,1405157.30,-2210325.79,773138.57
310,310,65635,MAMSI Life and Health Insurance Company,MD,N/A,N/A,860842.04
311,311,72375,"Optimum Choice, Inc.",MD,N/A,N/A,-765269.83
312,312,23620,UnitedHealthcare Insurance Company,MD,N/A,N/A,1556233.82
313,313,31112,UnitedHealthcare of the Mid-Atlantic Inc.,MD,N/A,N/A,-332036.00
314,314,53357,Aetna Life Insurance Company,ME,N/A,N/A,-2225221.04
315,315,48396,Anthem Health Plans of ME(Anthem BCBS),ME,5456360.21,363457.73,2604015.24
316,316,96667,Harvard Pilgrim Health Care Inc.,ME,41057.31,-72007.16,-814362.12
317,317,11593,HPHC Insurance Company Inc.,ME,754640.17,578793.75,347234.34
318,318,33653,Maine Community Health Options,ME,35448310.19,-926811.51,97813.31
319,319,85076,The MEGA Life and Health Insurance Company,ME,205000.00,56567.18,N/A
320,320,90214,UnitedHealthcare Insurance Company,ME,N/A,N/A,-9479.76
321,321,81068,Aetna Life Insurance Company,MI,379492.96,-299479.55,N/A
322,322,52670,All Savers Insurance Company,MI,N/A,N/A,-19155.16
323,323,67577,Alliance Health and Life Insurance Company,MI,2529564.79,1895578.59,-181245.97
324,324,98185,Blue Care Network of Michigan,MI,54508071.26,-47134095.64,-5484016.17
325,325,15560,Blue Cross Blue Shield of Michigan Mutual Insurance Company,MI,104173592.81,67492960.02,13529304.35
326,326,35443,Celtic Insurance Company,MI,0.00,-633.00,N/A
327,327,41895,Consumers Mutual Insurance of Michigan,MI,252541.02,122480.23,-1252756.84
328,328,82649,Federated Mutual Insurance Company,MI,N/A,N/A,-1658184.03
329,329,37651,Health Alliance Plan (HAP),MI,5921541.69,5267035.16,-59049.89
330,330,59830,HealthPlus Insurance Company,MI,8257698.56,-3647377.54,-322954.15
331,331,13667,HealthPlus of Michigan,MI,1384234.63,-855252.76,-366651.02
332,332,62294,Humana Insurance Company,MI,698246.11,884115.01,-107913.09
