,CompanyName:,BusinessintheStateof:,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:,MEMBER_MONTHS_SMALL_GROUP,EXPECTED_REINSURANCE,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),Not-For-Profit:,Premium,Loss1,Loss2,Loss3,Loss4
70,Philadelphia American Life Insurance Company,Louisiana,11586,,,,,,,,,No,,,,,
71,"HPHC Insurance Company, Inc.",Maine,11593,1796.0,179483.0,754640.0,578794.0,347234.0,"$754,640.17 ","$578,793.75 ","$347,234.34 ",No,1992279.0,1569550.341,0.0,0.0,8791.0
72,United Teachers Associates,Nevada,11600,,,,,,,,,No,0.0,0.0,,,
73,Wilton Reassurance Company,Virginia,11610,192.0,,,,,,,,No,185.0,0.0,,,
74,State Farm Mutual Automobile Insurance Company,Colorado,11613,2228.0,0.0,0.0,0.0,0.0,,,,No,1055739.1,1170068.58,0.0,0.0,0.0
75,Connecticut General Life Insurance Company,District of Columbia,11618,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,-1414.0,0.0,0.0,0.0
76,Philadelphia American Life Insurance Company,Pennsylvania,11663,680.0,36.0,,,,,,,No,285951.0,90346.0,,,
77,"BLUE CROSS & BLUE SHIELD OF MISSISSIPPI, A MUTUAL INSURANCE COMPANY",Mississippi,11721,764940.0,807922.0,6452873.0,4539848.0,356246.0,"$6,452,872.90 ","$4,539,847.85 ","$356,245.91 ",No,202295219.0,177216259.0,34865361.0,2582859.0,
78,Shelter Life Insurance Company,South Carolina,11722,12.0,0.0,0.0,0.0,0.0,,,,No,895.63,87.64,0.0,0.0,0.0
79,AMERICAN FIDELITY ASSURANCE COMPANY,Texas,11755,12.0,,,,,,,,No,,,,,
80,Reliance Standard Life Insurance Company,South Dakota,11782,,,,,,,,,No,0.0,0.0,,,
81,Illinois Mutual Life Insurance Company,Oklahoma,11838,,,,,,,,,No,,,,,
82,American Family Mutual Insurance Company,Missouri,11844,1247.0,,,,,,,,No,-164324.0,226822.0,1568.0,,
83,Unimerica Insurance Company,Oregon,11877,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
84,Globe Life and Accident Insurance Co,Montana,11883,,,,,,,,,No,0.0,0.0,,,
85,American Family Mutual Insurance Company,Nebraska,12005,570.0,,,,,,,,No,197971.0,258662.0,2401.0,,
86,Innovation Health Insurance Company,Virginia,12028,250797.0,49013.0,8970576.3,-10851778.45,-656684.17,"$8,970,576.30 ","($10,851,778.45)","($656,684.17)",No,76191224.96,65164565.2,12578670.44,412361.74,59.05
87,American National Insurance Company,California,12074,218.0,,0.0,0.0,,,,,No,67660.23287,230675.9502,,,0.0
88,Guarantee Trust Life Insurance Co.,New Jersey,12143,0.0,,,,,,,,No,403.62,,,,
89,All Savers Insurance Company,Vermont,12202,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
90,Guarantee Trust Life Insurance Co.,South Carolina,12280,33.0,,,,,,,,No,14541.02,,,,
91,San Mateo Health Commission,California,12318,,,,,,,,,Yes,0.0,0.0,,,
92,TransAmerica Premier Life Insurance,Iowa,12332,,,,,,,,,No,0.0,0.0,,,
93,Standard Security Life Insurance Company of New York,Missouri,12363,0.0,6547.0,,,-1744.73,N/E,$-,"($1,744.73)",No,0.0,0.0,0.0,,
94,Guarantee Trust Life Insurance Co.,Arizona,12388,6.0,,,,,,,,No,6636.18,,,,
95,AMERICAN FIDELITY ASSURANCE COMPANY,Ohio,12409,,,,,,,,,No,,,,,
96,Nippon Life Insurance Company of America,Georgia,12442,,14058.0,,,-113027.35,N/E,$-,"($113,027.35)",No,,,,,
97,"Madison National Life Insurance Company, Inc.",Wisconsin,12509,0.0,0.0,,,,,,,No,0.0,0.0,0.0,,
98,Medical Benefits Mutual Life Insurance Co.,Ohio,12512,,7858.0,,,,,,,No,,,,,
99,Golden Rule Insurance Company,Oregon,12528,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
100,The United States Life Ins. Co. in the City of New York,Florida,12541,116897.0,,,,,,,,No,4012472.0,3208763.0,0.0,0.0,0.0
101,PacifiCare Life and Health Insurance Co,Washington,12586,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
102,New York Life Insurance Company,Indiana,12595,0.0,,,,,,,,No,-50113.68307,76030.94,,0.0,0.0
103,American Heritage Life Insurance Company,Texas,12621,,,,,,,,,No,0.0,0.0,,,
104,United American Insurance Co,Minnesota,12627,,,,,,,,,No,0.0,0.0,,,
105,Celtic Insurance Company,Vermont,12666,0.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,0.0
106,"Union Health Service, Inc.",Illinois,12690,,95.0,,,,,,,Yes,0.0,0.0,,,
107,Connecticut General Life Insurance Company,Oklahoma,12693,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,-5642.0,0.0,1.0,0.0
108,Unimerica Insurance Company,Arkansas,12762,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
109,United Healthcare Life Insurance Company,California,12799,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,-145.98,0.0,0.0,0.0
110,Union Fidelity Life Insurance Company,South Dakota,12842,,,,,,,,,No,,,,,
111,State Farm Mutual Automobile Insurance Company,Wisconsin,12844,1167.0,0.0,0.0,0.0,0.0,,,,No,605215.4,291643.66,0.0,0.0,0.0
112,The Guardian Life Insurance Company of America,Texas,12846,256.0,,,,,,,,No,11988.0,19095.3668,,,
113,Time Insurance Company,Rhode Island,12877,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
114,State Farm Mutual Automobile Insurance Company,Florida,12910,3362.0,0.0,0.0,0.0,0.0,,,,No,1848436.42,1401765.97,0.0,0.0,0.0
115,UnitedHealthcare Insurance Company,United States Virgin Islands,12964,239.0,40169.0,0.0,0.0,0.0,,,,No,116027.35,194008.77,47474.57,1309.76,0.0
116,Mutual of Omaha Insurance Company,Illinois,13029,,,,,,,,,No,,,,,
117,Time Insurance Company,New York,13039,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
118,Union Fidelity Life Insurance Company,Alabama,13062,,,,,,,,,No,,,,,
119,American National Insurance Company,North Dakota,13081,24.0,,0.0,0.0,,,,,No,983.1044450999999,12384.3392,,,0.0
120,Mutual of Omaha Insurance Company,Minnesota,13099,,,,,,,,,No,,,,,
121,Thrivent Financial for Lutherans,Maryland,13124,,,,,,,,,No,,,,,
122,Globe Life and Accident Insurance Co,Georgia,13137,,,,,,,,,No,0.0,0.0,,,
123,American Income Life Insurance Co,Maine,13155,,,,,,,,,No,0.0,0.0,,,
124,Globe Life and Accident Insurance Co,Arizona,13165,,,,,,,,,No,0.0,0.0,,,
125,Unified Life Insurance Company,Massachusetts,13200,24.0,,0.0,0.0,,,,,No,847.86,0.0,0.0,0.0,0.0
126,Cigna Health and Life Insurance Company,Nevada,13207,1.0,268.0,0.0,0.0,0.0,,,,No,490.0,-6803.0,0.0,1225.0,0.0
127,Central United Life Insurance Company,Oregon,13235,,,,,,,,,No,,1901.0,,,
128,Central United Life Insurance Company,Utah,13257,,,,,,,,,No,,,,,
129,"HMO Partners, Inc.",Arkansas,13262,,233627.0,,,94444.13,N/E,$-,"$210,345.00 ",Yes,0.0,0.0,,,
130,Reliance Standard Life Insurance Company,Arkansas,13285,,,,,,,,,No,0.0,0.0,,,
131,"GMS Reinsurance Company, LTD",Indiana,13288,,3643.0,,,,,,,No,0.0,0.0,,,
132,United Teachers Associates,Alabama,13311,48.0,,,,,,,,No,198.0,-24.0,,,
133,Wilton Reassurance Company,California,13364,40727.0,,,,,,,,No,42542.0,16793.0,,,
134,Cigna Health and Life Insurance Company,Pennsylvania,13401,12.0,0.0,0.0,0.0,0.0,,,,No,2942.0,-1536.0,0.0,2.0,0.0
135,Federated Mutual Insurance Company,Virginia,13433,6.0,20490.0,0.0,0.0,-385476.13,N/E,$-,"($385,476.13)",No,8766.0,27.2,0.0,0.0,0.0
136,United Teachers Associates,Indiana,13435,,,,,,,,,No,0.0,0.0,,,
137,Liberty Mutual Insurance Company,South Carolina,13452,,,,,,,,,No,,,,,
138,Kanawha Insurance Company ,Texas,13468,1281.0,,,,,,,,No,229973.0,540481.0,,,
139,Celtic Insurance Company,Nebraska,13484,73.0,,0.0,0.0,,,,,No,22173.0,10817.77572,3120.0,605.0,0.0
140,Union Fidelity Life Insurance Company,Louisiana,13506,,,,,,,,,No,,,,,
141,Companion Life Insurance Company,Utah,13529,4854.0,,,,,,,,No,158488.0,100068.0,47326.0,,
142,UnitedHealthcare Insurance Company,Georgia,13535,565.0,312624.0,0.0,0.0,2602799.56,N/E,$-,"$2,602,799.56 ",No,373157.79,778206.44,453196.25,7021.26,58.32
143,Coventry Health & Life Insurance Company,Delaware,13537,16121.0,484.0,437178.28,3410.6,0.0,"$437,178.28 ","$3,410.60 ",$-,No,4020110.58,2861580.77,415710.0,29149.79,0.0
144,Time Insurance Company,New Jersey,13574,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,-200.0,0.0,200.0,0.0
145,The United States Life Ins. Co. in the City of New York,Delaware,13592,1626.0,,,,,,,,No,64250.0,41354.0,0.0,0.0,0.0
146,Blue Cross and Blue Shield of Vermont,Vermont,13627,316114.0,371669.0,25139520.11,192224.0,2478025.0,,,,Yes,157605079.1,142831996.6,24481232.97,1415650.999,585095.0
147,Trustmark Life Insurance Company,Arizona,13647,,6913.0,,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
148,UnitedHealthcare Insurance Company of New York,Delaware,13660,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
149,"HealthPlus of Michigan, Inc.",Michigan,13667,25005.0,12414.0,1384235.0,-855253.0,-366651.0,"$1,384,234.63 ","($855,252.76)","($366,651.02)",Yes,7237242.0,7981593.0,975046.0,70161.0,
150,American States Insurance Company,Texas,13685,,,,,,,,,No,,897764.11,,,
151,Liberty National Life Insurance Co,Virginia,13730,,,,,,,,,No,0.0,0.0,,,
152,All Savers Insurance Company,Illinois,13809,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
153,Wilton Reassurance Company,Maryland,13817,138.0,,,,,,,,No,761.0,0.0,,,
154,Connecticut General Life Insurance Company,Kansas,13833,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,-669.0,0.0,7.0,0.0
155,Trustmark Insurance Company,Iowa,13857,,,,,,,,,No,,,,,
156,Wilton Reassurance Company,Nevada,13888,2391.0,,,,,,,,No,2821.0,0.0,,,
157,Time Insurance Company,Alabama,13939,11799.0,1236.0,661563.0,-35409.0,11262.0,"$661,562.99 ","($35,409.21)","$11,262.04 ",No,4007092.0,4465455.0,592197.0,33595.0,0.0
158,AMERICAN FIDELITY ASSURANCE COMPANY,Illinois,13942,,,,,,,,,No,,,,,
159,UnitedHealthcare Insurance Company,Illinois,13947,4059.0,0.0,0.0,0.0,0.0,,,,No,2284599.01,2276481.0,409796.24,9884.85,83.77
160,Horizon Healthcare of New Jersey,New Jersey,13953,40718.0,144872.0,,,97615.72,N/E,$-,"$97,615.72 ",Yes,28268989.0,30102066.0,4024659.0,548944.0,
161,United American Insurance Co,New Jersey,13991,,,,,,,,,No,0.0,0.0,,,
162,"BlueCross BlueShield of Tennessee, Inc.",Tennessee,14002,2515002.0,2621780.0,116386841.0,-1824896.0,6557827.0,"$116,386,840.70 ","($1,824,896.38)","$6,557,826.76 ",Yes,831552875.0,816101770.0,192606916.0,20361176.0,
163,American Heritage Life Insurance Company,Mississippi,14014,,,,,,,,,No,0.0,0.0,,,
164,Time Insurance Company,Missouri,14026,186785.0,16203.0,5677768.0,2064658.0,-12141.0,"$5,677,768.05 ","$2,064,658.36 ","($12,141.44)",No,52980537.0,44326434.0,5119295.0,370306.0,-1035.0
165,Aetna Life Insurance Company,Louisiana,14030,1243.0,16983.0,0.0,0.0,-11121.47,N/E,$-,"($11,121.47)",No,566848.84,503613.04,49103.49,3052.94,0.0
166,Guarantee Trust Life Insurance Co.,Kansas,14090,10.0,,,,,,,,No,5900.2,2360.0,42.0,,
167,Mutual of Omaha Insurance Company,California,14091,,,,,,,,,No,,,,,
168,Transamerica Life Insurance Company,Maryland,14115,,,,,,,,,No,,,,,
169,UnitedHealthcare Insurance Company,Northern Mariana Islands,14128,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
170,Celtic Insurance Company,Idaho,14136,32.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,0.0
171,Standard Life and Accident Insurance Company,Michigan,14156,608.0,,0.0,0.0,,,,,No,79729.25,30822.37,,,0.0
172,United Healthcare Life Insurance Company,Missouri,14162,25008.0,0.0,2019769.19,1388382.83,0.0,"$2,019,769.19 ","$1,388,382.82 ",$-,No,13131127.55,11088178.65,1852117.07,358714.58,0.0
173,Wilton Reassurance Company,Mississippi,14216,2408.0,,,,,,,,No,3311.0,3635.0,,,
174,American General Life Insurance Company,Alabama,14290,4212.0,,,,,,,,No,16905.0,7398.0,,,
175,PacifiCare Life and Health Insurance Co,Kansas,14314,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
176,American National Insurance Company,Minnesota,14327,12.0,,0.0,0.0,,,,,No,406.9613661,0.0,,,0.0
177,Connecticut General Life Insurance Company,Florida,14345,766801.0,0.0,0.0,0.0,0.0,,,,No,203324921.0,136177212.0,21551617.0,2499495.0,96382.0
178,Federated Mutual Insurance Company,West Virginia,14414,0.0,3297.0,0.0,0.0,-9423.93,N/E,$-,"($9,423.93)",No,0.0,0.0,0.0,0.0,0.0
179,Union Fidelity Life Insurance Company,North Carolina,14442,,,,,,,,,No,,,,,
180,Unified Life Insurance Company,Iowa,14459,0.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,0.0
181,The Prudential Insurance Company of America,Wyoming,14463,,,,,,,,,No,,,,,
182,"Coventry Health Care of Delaware, Inc.",Maryland,14468,924.0,113336.0,0.0,0.0,-4150472.1,N/E,$-,"($4,255,487.55)",No,347540.0,292024.3,48295.24,4781.51,0.0
183,National Foundation Life Insurance Company,Iowa,14469,369.0,,0.0,0.0,,,,,No,124349.0,61006.0,0.0,0.0,0.0
184,Family Health Hawaii mbs,Hawaii,14479,,0.0,,,0.0,N/E,$-,"($541,621.36)",Yes,0.0,0.0,,,
185,Trustmark Insurance Company,California,14526,,,,,,,,,No,,,,,
186,Connecticut General Life Insurance Company,Maryland,14536,39.0,0.0,0.0,0.0,0.0,,,,No,2588.0,-8388.0,0.0,12.0,0.0
187,Companion Life Insurance Company,Wyoming,14609,13062.0,,,,,,,,No,2997747.0,1629040.0,1303352.0,,
188,"Madison National Life Insurance Company, Inc.",Pennsylvania,14615,98.0,,,,,,,,No,18603.0,15378.0,900.0,,
189,AMERICAN FIDELITY ASSURANCE COMPANY,Indiana,14617,,,,,,,,,No,,,,,
190,Time Insurance Company,Ohio,14650,102450.0,78577.0,4474175.0,2104211.0,66259.0,"$4,474,174.84 ","$2,104,210.85 ","$66,259.04 ",No,32957828.0,29893962.0,3116151.0,225242.0,-65.0
191,"Sierra Health and Life Insurance Company, Inc.",New Mexico,14652,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
192,The Guardian Life Insurance Company of America,Washington,14711,72.0,,,,,,,,No,2854.0,800.4664,,,
193,Trustmark Insurance Company,Massachusetts,14717,,,,,,,,,No,,,,,
194,Humana Insurance Company,Rhode Island,14730,,,,,,,,,No,0.0,0.0,,,
195,Wilton Reassurance Company,Hawaii,14753,134.0,,,,,,,,No,137.0,0.0,,,
196,"Cigna HealthCare of Indiana, Inc.",Indiana,14808,12.0,1378.0,0.0,0.0,0.0,,,,No,9408.0,662.0,0.0,0.0,0.0
197,Nippon Life Insurance Company of America,South Carolina,14820,,3682.0,,,-24753.92,N/E,$-,"($24,753.92)",No,,,,,
198,Illinois Mutual Life Insurance Company,California,14823,,,,,,,,,No,,,,,
199,United Teachers Associates,Nebraska,14876,,,,,,,,,No,0.0,0.0,,,
200,TransAmerica Premier Life Insurance,American Samoa,14936,,,,,,,,,No,0.0,0.0,,,
201,The Prudential Insurance Company of America,Colorado,14970,,,,,,,,,No,,,,,
202,Trustmark Life Insurance Company,Louisiana,14993,,94.0,,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
203,Union Security Insurance Company,West Virginia,15012,0.0,34.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
204,AMERICAN FIDELITY ASSURANCE COMPANY,Alabama,15039,,,,,,,,,No,,,,,
205,United Teachers Associates,Washington,15075,,,,,,,,,No,0.0,0.0,,,
206,American States Insurance Company,California,15096,,,,,,,,,No,,42838.66,,,
207,New Era Life Insurance Company,Texas,15104,4864.0,,,,,,,,No,1414955.0,899911.0,,,
208,"Cigna HealthCare of Georgia, Inc.",Georgia,15105,33.0,190.0,0.0,0.0,0.0,,,,No,39837.0,25208.0,13081.0,-534.0,0.0
209,The Prudential Insurance Company of America,Arizona,15189,,,,,,,,,No,,,,,
210,Hartford Life & Accident Insurance Company,Louisiana,15197,,,,,,,,,No,,,,,
211,Central United Life Insurance Company,Massachusetts,15218,,,,,,,,,No,,,,,
212,Blue Cross & Blue Shield of Rhode Island,Rhode Island,15287,413678.0,633682.0,23394917.0,539946.0,2903420.0,"$23,394,916.92 ","$570,729.73 ","$2,903,419.54 ",Yes,171253489.0,143930445.0,25583218.0,1249002.0,
213,State Farm Mutual Automobile Insurance Company,Michigan,15299,1195.0,0.0,0.0,0.0,0.0,,,,No,503969.03,500306.07,0.0,0.0,0.0
214,"AmeriHealth HMO, Inc.",Delaware,15310,,801.0,,,,,,,No,0.0,0.0,,,
215,Transamerica Life Insurance Company,Wyoming,15331,,,,,,,,,No,,,,,
216,Unimerica Insurance Company,West Virginia,15332,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
217,Unimerica Insurance Company,Michigan,15370,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
218,Philadelphia American Life Insurance Company,Vermont,15406,,,,,,,,,No,,,,,
