,CompanyName:,BusinessintheStateof:,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:,MEMBER_MONTHS_SMALL_GROUP,EXPECTED_REINSURANCE,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),Not-For-Profit:
196,"Cigna HealthCare of Indiana, Inc.",Indiana,14808,12.0,1378.0,0.0,0.0,0.0,,,,No
197,Nippon Life Insurance Company of America,South Carolina,14820,,3682.0,,,-24753.92,N/E,$-,"($24,753.92)",No
198,Illinois Mutual Life Insurance Company,California,14823,,,,,,,,,No
199,United Teachers Associates,Nebraska,14876,,,,,,,,,No
200,TransAmerica Premier Life Insurance,American Samoa,14936,,,,,,,,,No
201,The Prudential Insurance Company of America,Colorado,14970,,,,,,,,,No
202,Trustmark Life Insurance Company,Louisiana,14993,,94.0,,0.0,0.0,,,,No
203,Union Security Insurance Company,West Virginia,15012,0.0,34.0,0.0,0.0,0.0,,,,No
204,AMERICAN FIDELITY ASSURANCE COMPANY,Alabama,15039,,,,,,,,,No
205,United Teachers Associates,Washington,15075,,,,,,,,,No
206,American States Insurance Company,California,15096,,,,,,,,,No
207,New Era Life Insurance Company,Texas,15104,4864.0,,,,,,,,No
208,"Cigna HealthCare of Georgia, Inc.",Georgia,15105,33.0,190.0,0.0,0.0,0.0,,,,No
209,The Prudential Insurance Company of America,Arizona,15189,,,,,,,,,No
210,Hartford Life & Accident Insurance Company,Louisiana,15197,,,,,,,,,No
211,Central United Life Insurance Company,Massachusetts,15218,,,,,,,,,No
212,Blue Cross & Blue Shield of Rhode Island,Rhode Island,15287,413678.0,633682.0,23394917.0,539946.0,2903420.0,"$23,394,916.92 ","$570,729.73 ","$2,903,419.54 ",Yes
213,State Farm Mutual Automobile Insurance Company,Michigan,15299,1195.0,0.0,0.0,0.0,0.0,,,,No
214,"AmeriHealth HMO, Inc.",Delaware,15310,,801.0,,,,,,,No
215,Transamerica Life Insurance Company,Wyoming,15331,,,,,,,,,No
216,Unimerica Insurance Company,West Virginia,15332,0.0,0.0,0.0,0.0,0.0,,,,No
217,Unimerica Insurance Company,Michigan,15370,0.0,0.0,0.0,0.0,0.0,,,,No
218,Philadelphia American Life Insurance Company,Vermont,15406,,,,,,,,,No
219,"Humana Health Plan, Inc.",Kentucky,15411,301919.0,547482.0,7877805.71,1152387.48,-1929958.7,"$7,877,805.71 ","$1,152,387.48 ","($1,929,958.70)",No
220,Union Fidelity Life Insurance Company,Tennessee,15419,,,,,,,,,No
221,Liberty Mutual Insurance Company,Maryland,15424,,,,,,,,,No
222,"Coventry Health Care of Nebraska, Inc.",Nebraska,15438,45293.0,127745.0,2189015.61,1102852.31,-43854.15,"$2,189,015.61 ","$1,102,852.31 ","($43,854.16)",No
223,Symetra Life Insurance Company,Colorado,15474,,,,,,,,,No
224,United American Insurance Co,Nebraska,15515,,,,,,,,,No
225,"Humana Health Plan, Inc.",Arkansas,15517,,,,,,,,,No
226,Standard Security Life Insurance Company of New York,Arkansas,15540,0.0,55.0,,,,,,,No
227,Blue Cross Blue Shield of Michigan Mutual Insurance Company,Michigan,15560,2056894.0,2504910.0,104173592.8,67492960.0,13529304.35,"$104,173,592.81 ","$67,492,960.02 ","$13,529,304.35 ",Yes
228,Guarantee Trust Life Insurance Co.,Wyoming,15566,0.0,,,,,,,,No
229,Union Fidelity Life Insurance Company,Pennsylvania,15569,,,,,,,,,No
230,"Piedmont Community HealthCare, Inc.",Virginia,15668,,14549.0,,,,N/E,$-,"$342,665.34 ",No
231,Celtic Insurance Company,New Jersey,15696,1.0,,0.0,0.0,,,,,No
232,Globe Life and Accident Insurance Co,Idaho,15775,,,,,,,,,No
233,PacifiCare Life and Health Insurance Co,Wyoming,15820,0.0,0.0,0.0,0.0,0.0,,,,No
234,The Guardian Life Insurance Company of America,Florida,15833,489.0,,,,,,,,No
235,Medica Health Plans,Minnesota,15847,2752.0,0.0,,,,,,,Yes
236,Independence American Insurance Company,Kansas,15914,,,,,,,,,No
237,PacifiCare Life and Health Insurance Co,Louisiana,15960,0.0,0.0,0.0,0.0,0.0,,,,No
238,Celtic Insurance Company,Hawaii,15978,0.0,,0.0,0.0,,,,,No
239,Humana Insurance Company,Florida,15980,340137.0,,525858.0,427146.34,,"$525,858.00 ","$483,961.79 ",$-,No
240,TransAmerica Premier Life Insurance,Tennessee,16000,,,,,,,,,No
241,Standard Security Life Insurance Company of New York,Oklahoma,16027,11.0,3.0,,,,,,,No
242,All Savers Insurance Company,Missouri,16049,0.0,0.0,0.0,0.0,0.0,,,,No
243,"Anthem Health Plans of Virginia, Inc.",Virginia,16064,2049418.0,1383390.0,0.0,0.0,6936086.0,N/E,$-,"$6,936,085.85 ",No
244,Coventry Health & Life Insurance Company,Pennsylvania,16072,165303.0,5315.0,0.0,0.0,0.0,,,,No
245,American National Insurance Company,Virginia,16146,208.0,,0.0,0.0,,,,,No
246,PacifiCare Life and Health Insurance Co,New Jersey,16182,0.0,0.0,0.0,0.0,0.0,,,,No
247,TransAmerica Premier Life Insurance,Florida,16185,12.0,,,,,,,,No
248,Union Security Insurance Company,Kansas,16201,0.0,68.0,0.0,0.0,0.0,,,,No
249,"Coordinated Health Mutual, Inc.",Ohio,16204,19320.0,23358.0,929483.0,-1262070.0,-2121774.0,"$929,483.49 ","($1,262,069.95)","($2,121,774.30)",Yes
250,Group Health Cooperative of Eau Claire,Wisconsin,16245,13.0,12792.0,,,,,,,Yes
251,The Prudential Insurance Company of America,Connecticut,16276,,,,,,,,,No
252,American Income Life Insurance Co,Oregon,16319,,,,,,,,,No
253,"UPMC Health Options, Inc.",Pennsylvania,16322,7694.0,1607798.0,24575.39,-3587.19,3575646.12,"$24,575.39 ","($3,587.19)","$3,575,646.12 ",No
254,TRH Health Insurance Company,Tennessee,16348,804629.0,,,,,,,,No
255,American Heritage Life Insurance Company,Montana,16478,,,,,,,,,No
256,"UPMC Health Network, Inc.",Pennsylvania,16481,5614.0,26106.0,921883.53,541631.59,1137929.73,"$921,883.53 ","$541,631.59 ","$1,137,929.73 ",Yes
257,Unified Life Insurance Company,Michigan,16485,0.0,,0.0,0.0,,,,,No
258,Philadelphia American Life Insurance Company,Alaska,16540,,,,,,,,,No
259,The Guardian Life Insurance Company of America,Minnesota,16596,220.0,,,,,,,,No
260,Celtic Insurance Company,Montana,16621,7.0,,0.0,-586.8,,$0.00 ,($586.80),$-,No
261,Trustmark Life Insurance Company,Iowa,16652,,872.0,,0.0,0.0,,,,No
262,"Madison National Life Insurance Company, Inc.",Georgia,16661,1415.0,2405.0,,,,,,,No
263,The Prudential Insurance Company of America,Nevada,16685,,,,,,,,,No
264,Prominence HealthFirst,Nevada,16698,41120.0,83744.0,3231610.0,542628.0,-844788.0,"$3,231,609.73 ","$542,628.00 ","($844,787.93)",No
265,"UnitedHealthcare of the Midwest, Inc.",Illinois,16724,0.0,0.0,0.0,0.0,0.0,,,,No
266,Unimerica Insurance Company,Alabama,16726,0.0,0.0,0.0,0.0,0.0,,,,No
267,Globe Life and Accident Insurance Co,Maine,16740,,,,,,,,,No
268,American Heritage Life Insurance Company,Utah,16830,,,,,,,,,No
269,Globe Life and Accident Insurance Co,Florida,16836,,,,,,,,,No
270,"Blue Cross and Blue Shield of Florida, Inc.",Florida,16842,5946938.0,2327073.0,265367761.0,195610300.2,4537167.0,"$265,367,761.31 ","$221,628,751.90 ","$4,537,166.63 ",No
271,Golden Rule Insurance Company,Oklahoma,16900,170412.0,0.0,0.0,0.0,0.0,,,,No
272,Unified Life Insurance Company,Missouri,16943,0.0,,0.0,0.0,,,,,No
273,New York Life Insurance Company,District of Columbia,16954,0.0,,,,,,,,No
274,Transamerica Life Insurance Company,Alabama,16961,,,,,,,,,No
275,American Income Life Insurance Co,Hawaii,16979,,,,,,,,,No
276,Companion Life Insurance Company,Alabama,17017,15112.0,,,,,,,,No
277,Nippon Life Insurance Company of America,Tennessee,17032,,2737.0,,,-26949.33,N/E,$-,"($26,949.33)",No
278,All Savers Insurance Company,Oregon,17039,0.0,0.0,0.0,0.0,0.0,,,,No
279,Liberty Mutual Insurance Company,Colorado,17060,,,,,,,,,No
280,Liberty Mutual Insurance Company,Louisiana,17086,,,,,,,,,No
281,AMERICAN FIDELITY ASSURANCE COMPANY,Oklahoma,17118,,,,,,,,,No
282,New York Life Insurance Company,Washington,17148,0.0,,,,,,,,No
283,American National Life Insurance Company of Texas,Missouri,17153,1395.0,,0.0,0.0,,,,,No
284,Standard Life and Accident Insurance Company,Utah,17155,332.0,,0.0,0.0,,,,,No
285,American Income Life Insurance Co,Delaware,17159,,,,,,,,,No
286,Aetna Life Insurance Company,New York,17210,57833.0,1109892.0,14663439.86,14979978.61,-61490126.11,"$14,885,554.32 ","$14,975,558.90 ","($62,207,250.53)",No
287,Golden Rule Insurance Company,Nevada,17255,176987.0,0.0,0.0,0.0,0.0,,,,No
