,Unnamed: 0_x,CompanyName:_x,BusinessintheStateof:_x,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:_x,MEMBER_MONTHS_SMALL_GROUP_x,EXPECTED_REINSURANCE_x,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL_x,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP_x,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_x,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_x",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_x,Not-For-Profit:_x,Premium_x,Loss1_x,Loss2_x,Loss3_x,Loss4_x,TotalProfitPMM,CompanyName:_y,BusinessintheStateof:_y,MEMBER_MONTHS_INDIVIDUAL:_y,MEMBER_MONTHS_SMALL_GROUP_y,EXPECTED_REINSURANCE_y,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL_y,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP_y,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_y,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_y",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_y,Not-For-Profit:_y,Premium_y,Loss1_y,Loss2_y,Loss3_y,Loss4_y,DifferenceInIRAPMM
53,59,Liberty National Life Insurance Co,Colorado,11323,,,,,,,,,No,0,0,,,,#DIV/0!,Liberty National Life Insurance Co,Colorado,,,,,,,,,No,0,0,,,,#DIV/0!
55,61,Reliance Standard Life Insurance Company,Utah,11348,,,,,,,,,No,0,0,,,,#DIV/0!,Reliance Standard Life Insurance Company,Utah,,,,,,,,,No,0,0,,,,#DIV/0!
56,62,United American Insurance Co,Mississippi,11415,,,,,,,,,No,0,0,,,,#DIV/0!,United American Insurance Co,Mississippi,,,,,,,,,No,0,0,,,,#DIV/0!
58,64,American Income Life Insurance Co,Arkansas,11450,,,,,,,,,No,0,0,,,,#DIV/0!,American Income Life Insurance Co,Arkansas,,,,,,,,,No,0,0,,,,#DIV/0!
60,66,Philadelphia American Life Insurance Company,Kansas,11483,,,,,,,,,No,,,,,,#DIV/0!,Philadelphia American Life Insurance Company,Kansas,,,,,,,,,No,,,,,,#DIV/0!
63,70,Philadelphia American Life Insurance Company,Louisiana,11586,,,,,,,,,No,,,,,,#DIV/0!,Philadelphia American Life Insurance Company,Louisiana,,,,,,,,,No,,,,,,#DIV/0!
65,72,United Teachers Associates,Nevada,11600,,,,,,,,,No,0,0,,,,#DIV/0!,United Teachers Associates,Nevada,0,,,,,,,,No,0,0,,,,#DIV/0!
68,75,Connecticut General Life Insurance Company,District of Columbia,11618,0,0,0,0,0,,,,No,0,-1414,0,0,0,#DIV/0!,Connecticut General Life Insurance Company,District of Columbia,0,0,0,0,0,,,,No,0,-1,0,0,0,#DIV/0!
71,78,Shelter Life Insurance Company,South Carolina,11722,12,0,0,0,0,,,,No,895.63,87.64,0,0,0,67.3325,Shelter Life Insurance Company,South Carolina,0,0,0,0,0,,,,No,457.46,-416,0,0,0,#DIV/0!
72,79,AMERICAN FIDELITY ASSURANCE COMPANY,Texas,11755,12,,,,,,,,No,,,,,,0,AMERICAN FIDELITY ASSURANCE COMPANY,Texas,,,,,,,,,No,,,,,,#DIV/0!
73,80,Reliance Standard Life Insurance Company,South Dakota,11782,,,,,,,,,No,0,0,,,,#DIV/0!,Reliance Standard Life Insurance Company,South Dakota,,,,,,,,,No,0,0,,,,#DIV/0!
74,81,Illinois Mutual Life Insurance Company,Oklahoma,11838,,,,,,,,,No,,,,,,#DIV/0!,Illinois Mutual Life Insurance Company,Oklahoma,,,,,,,,,No,,,,,,#DIV/0!
76,84,Globe Life and Accident Insurance Co,Montana,11883,,,,,,,,,No,0,0,,,,#DIV/0!,Globe Life and Accident Insurance Co,Montana,,,,,,,,,No,0,0,,,,#DIV/0!
80,91,San Mateo Health Commission,California,12318,,,,,,,,,Yes,0,0,,,,#DIV/0!,San Mateo Health Commission,California,,,,,,,,,Yes,0,0,,,,#DIV/0!
81,92,TransAmerica Premier Life Insurance,Iowa,12332,,,,,,,,,No,0,0,,,,#DIV/0!,TransAmerica Premier Life Insurance,Iowa,,,,,,,,,No,0,0,,,,#DIV/0!
82,93,Standard Security Life Insurance Company of New York,Missouri,12363,0,6547,,,-1744.73,,,"($1,744.73)",No,0,0,0,,,#DIV/0!,Standard Security Life Insurance Company of New York,Missouri,,17,,,-4619.2,,,"($4,617.80)",No,0,0,,,,#DIV/0!
83,95,AMERICAN FIDELITY ASSURANCE COMPANY,Ohio,12409,,,,,,,,,No,,,,,,#DIV/0!,AMERICAN FIDELITY ASSURANCE COMPANY,Ohio,,,,,,,,,No,,,,,,#DIV/0!
84,96,Nippon Life Insurance Company of America,Georgia,12442,,14058,,,-113027.35,,,"($113,027.35)",No,,,,,,#DIV/0!,Nippon Life Insurance Company of America,Georgia,,3505,,,128961.93,,,"$130,774.07 ",No,,,,,,#DIV/0!
85,97,"Madison National Life Insurance Company, Inc.",Wisconsin,12509,0,0,,,,,,,No,0,0,0,,,#DIV/0!,"Madison National Life Insurance Company, Inc.",Wisconsin,,,,,,,,,No,0,0,,,,#DIV/0!
86,98,Medical Benefits Mutual Life Insurance Co.,Ohio,12512,,7858,,,,,,,No,,,,,,#DIV/0!,Medical Benefits Mutual Life Insurance Co.,Ohio,,3125,,,,,,"($523,658.60)",No,,,,,,#DIV/0!
88,102,New York Life Insurance Company,Indiana,12595,0,,,,,,,,No,-50113.68307,76030.94,,0,0,#DIV/0!,New York Life Insurance Company,Indiana,0,0,0,0,0,,,,No,0,-51277,0,0,0,#DIV/0!
89,103,American Heritage Life Insurance Company,Texas,12621,,,,,,,,,No,0,0,,,,#DIV/0!,American Heritage Life Insurance Company,Texas,,,,,,,,,No,0,0,,,,#DIV/0!
90,104,United American Insurance Co,Minnesota,12627,,,,,,,,,No,0,0,,,,#DIV/0!,United American Insurance Co,Minnesota,,,,,,,,,No,0,0,,,,#DIV/0!
91,105,Celtic Insurance Company,Vermont,12666,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!,Celtic Insurance Company,Vermont,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!
92,106,"Union Health Service, Inc.",Illinois,12690,,95,,,,,,,Yes,0,0,,,,#DIV/0!,"Union Health Service, Inc.",Illinois,,,,,,,,,Yes,,,,,,#DIV/0!
93,107,Connecticut General Life Insurance Company,Oklahoma,12693,0,0,0,0,0,,,,No,0,-5642,0,1,0,#DIV/0!,Connecticut General Life Insurance Company,Oklahoma,0,0,0,0,0,,,,No,0,-1,0,0,0,#DIV/0!
94,109,United Healthcare Life Insurance Company,California,12799,0,0,0,0,0,,,,No,0,-145.98,0,0,0,#DIV/0!,United Healthcare Life Insurance Company,California,0,0,0,0,0,,,,No,0,19.29,0,0,0,#DIV/0!
95,110,Union Fidelity Life Insurance Company,South Dakota,12842,,,,,,,,,No,,,,,,#DIV/0!,Union Fidelity Life Insurance Company,South Dakota,,,,,,,,,No,,,,,,#DIV/0!
98,113,Time Insurance Company,Rhode Island,12877,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!,Time Insurance Company,Rhode Island,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
101,116,Mutual of Omaha Insurance Company,Illinois,13029,,,,,,,,,No,,,,,,#DIV/0!,Mutual of Omaha Insurance Company,Illinois,,,,,,,,,No,,,,,,#DIV/0!
102,117,Time Insurance Company,New York,13039,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!,Time Insurance Company,New York,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
103,118,Union Fidelity Life Insurance Company,Alabama,13062,,,,,,,,,No,,,,,,#DIV/0!,Union Fidelity Life Insurance Company,Alabama,,,,,,,,,No,,,,,,#DIV/0!
105,120,Mutual of Omaha Insurance Company,Minnesota,13099,,,,,,,,,No,,,,,,#DIV/0!,Mutual of Omaha Insurance Company,Minnesota,,,,,,,,,No,,,,,,#DIV/0!
106,121,Thrivent Financial for Lutherans,Maryland,13124,,,,,,,,,No,,,,,,#DIV/0!,Thrivent Financial for Lutherans,Maryland,,,,,,,,,No,,,,,,#DIV/0!
107,122,Globe Life and Accident Insurance Co,Georgia,13137,,,,,,,,,No,0,0,,,,#DIV/0!,Globe Life and Accident Insurance Co,Georgia,,,,,,,,,No,0,0,,,,#DIV/0!
108,123,American Income Life Insurance Co,Maine,13155,,,,,,,,,No,0,0,,,,#DIV/0!,American Income Life Insurance Co,Maine,,,,,,,,,No,0,0,,,,#DIV/0!
109,124,Globe Life and Accident Insurance Co,Arizona,13165,,,,,,,,,No,0,0,,,,#DIV/0!,Globe Life and Accident Insurance Co,Arizona,,,,,,,,,No,0,0,,,,#DIV/0!
111,126,Cigna Health and Life Insurance Company,Nevada,13207,1,268,0,0,0,,,,No,490,-6803,0,1225,0,6068,Cigna Health and Life Insurance Company,Nevada,0,2058,0,0,0,,,,No,0,-18,0,0,0,#DIV/0!
112,127,Central United Life Insurance Company,Oregon,13235,,,,,,,,,No,,1901,,,,#DIV/0!,Central United Life Insurance Company,Oregon,,,,,,,,,No,,,,,,#DIV/0!
113,128,Central United Life Insurance Company,Utah,13257,,,,,,,,,No,,,,,,#DIV/0!,Central United Life Insurance Company,Utah,,,,,,,,,No,,,,,,#DIV/0!
114,129,"HMO Partners, Inc.",Arkansas,13262,,233627,,,94444.13,,,"$210,345.00 ",Yes,0,0,,,,#DIV/0!,"HMO Partners, Inc.",Arkansas,,228567,,,665239,,,"$681,450.22 ",Yes,0,0,,,,#DIV/0!
115,130,Reliance Standard Life Insurance Company,Arkansas,13285,,,,,,,,,No,0,0,,,,#DIV/0!,Reliance Standard Life Insurance Company,Arkansas,,,,,,,,,No,0,0,,,,#DIV/0!
116,131,"GMS Reinsurance Company, LTD",Indiana,13288,,3643,,,,,,,No,0,0,,,,#DIV/0!,"GMS Reinsurance Company, LTD",Indiana,,2912,,,,,,,No,0,0,,,,#DIV/0!
120,135,Federated Mutual Insurance Company,Virginia,13433,6,20490,0,0,-385476.13,,,"($385,476.13)",No,8766,27.2,0,0,0,1456.466667,Federated Mutual Insurance Company,Virginia,0,35885,0,0,-1377421.98,,,"($1,377,421.98)",No,0,0,0,0,0,#DIV/0!
121,136,United Teachers Associates,Indiana,13435,,,,,,,,,No,0,0,,,,#DIV/0!,United Teachers Associates,Indiana,0,,,,,,,,No,0,0,,,,#DIV/0!
122,137,Liberty Mutual Insurance Company,South Carolina,13452,,,,,,,,,No,,,,,,#DIV/0!,Liberty Mutual Insurance Company,South Carolina,,,,,,,,,No,,,,,,#DIV/0!
124,139,Celtic Insurance Company,Nebraska,13484,73,,0,0,,,,,No,22173,10817.77572,3120,605,0,104.5236203,Celtic Insurance Company,Nebraska,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!
125,140,Union Fidelity Life Insurance Company,Louisiana,13506,,,,,,,,,No,,,,,,#DIV/0!,Union Fidelity Life Insurance Company,Louisiana,,,,,,,,,No,,,,,,#DIV/0!
128,143,Coventry Health & Life Insurance Company,Delaware,13537,16121,484,437178.28,3410.6,0,"$437,178.28 ","$3,410.60 ",,No,4020110.58,2861580.77,415710,29149.79,0,44.26958749,Coventry Health & Life Insurance Company,Delaware,0,0,0,0,0,,,,No,0,672.39,0,0,0,#DIV/0!
129,144,Time Insurance Company,New Jersey,13574,0,0,0,0,0,,,,No,0,-200,0,200,0,#DIV/0!,Time Insurance Company,New Jersey,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
132,147,Trustmark Life Insurance Company,Arizona,13647,,6913,,0,0,,,,No,0,0,0,0,0,#DIV/0!,Trustmark Life Insurance Company,Arizona,0,0,,0,0,,,,No,0,0,0,0,0,#DIV/0!
134,150,American States Insurance Company,Texas,13685,,,,,,,,,No,,897764.11,,,,#DIV/0!,American States Insurance Company,Texas,,,,,,,,,No,,262695.47,,,,#DIV/0!
135,151,Liberty National Life Insurance Co,Virginia,13730,,,,,,,,,No,0,0,,,,#DIV/0!,Liberty National Life Insurance Co,Virginia,,,,,,,,,No,0,0,,,,#DIV/0!
137,154,Connecticut General Life Insurance Company,Kansas,13833,0,0,0,0,0,,,,No,0,-669,0,7,0,#DIV/0!,Connecticut General Life Insurance Company,Kansas,0,0,0,0,0,,,,No,0,-1,0,0,0,#DIV/0!
138,155,Trustmark Insurance Company,Iowa,13857,,,,,,,,,No,,,,,,#DIV/0!,Trustmark Insurance Company,Iowa,,,,,,,,,No,,,,,,#DIV/0!
141,158,AMERICAN FIDELITY ASSURANCE COMPANY,Illinois,13942,,,,,,,,,No,,,,,,#DIV/0!,AMERICAN FIDELITY ASSURANCE COMPANY,Illinois,,,,,,,,,No,,,,,,#DIV/0!
144,161,United American Insurance Co,New Jersey,13991,,,,,,,,,No,0,0,,,,#DIV/0!,United American Insurance Co,New Jersey,,,,,,,,,No,0,0,,,,#DIV/0!
146,163,American Heritage Life Insurance Company,Mississippi,14014,,,,,,,,,No,0,0,,,,#DIV/0!,American Heritage Life Insurance Company,Mississippi,,,,,,,,,No,0,0,,,,#DIV/0!
149,167,Mutual of Omaha Insurance Company,California,14091,,,,,,,,,No,,,,,,#DIV/0!,Mutual of Omaha Insurance Company,California,,,,,,,,,No,,,,,,#DIV/0!
150,168,Transamerica Life Insurance Company,Maryland,14115,,,,,,,,,No,,,,,,#DIV/0!,Transamerica Life Insurance Company,Maryland,,,,,,,,,No,,,,,,#DIV/0!
151,170,Celtic Insurance Company,Idaho,14136,32,,0,0,,,,,No,0,0,0,0,0,0,Celtic Insurance Company,Idaho,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!
158,178,Federated Mutual Insurance Company,West Virginia,14414,0,3297,0,0,-9423.93,,,"($9,423.93)",No,0,0,0,0,0,#DIV/0!,Federated Mutual Insurance Company,West Virginia,0,4189,0,0,109960.53,,,"$109,960.53 ",No,0,0,0,0,0,#DIV/0!
159,179,Union Fidelity Life Insurance Company,North Carolina,14442,,,,,,,,,No,,,,,,#DIV/0!,Union Fidelity Life Insurance Company,North Carolina,,,,,,,,,No,,,,,,#DIV/0!
160,180,Unified Life Insurance Company,Iowa,14459,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!,Unified Life Insurance Company,Iowa,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!
161,181,The Prudential Insurance Company of America,Wyoming,14463,,,,,,,,,No,,,,,,#DIV/0!,The Prudential Insurance Company of America,Wyoming,,,,,,,,,No,,,,,,#DIV/0!
164,185,Trustmark Insurance Company,California,14526,,,,,,,,,No,,,,,,#DIV/0!,Trustmark Insurance Company,California,,,,,,,,,No,,,,,,#DIV/0!
165,186,Connecticut General Life Insurance Company,Maryland,14536,39,0,0,0,0,,,,No,2588,-8388,0,12,0,281.1282051,Connecticut General Life Insurance Company,Maryland,0,0,0,0,0,,,,No,1152,-5979,0,0,0,#DIV/0!
167,188,"Madison National Life Insurance Company, Inc.",Pennsylvania,14615,98,,,,,,,,No,18603,15378,900,,,23.7244898,"Madison National Life Insurance Company, Inc.",Pennsylvania,,,,,,,,,No,0,0,,,,#DIV/0!
168,189,AMERICAN FIDELITY ASSURANCE COMPANY,Indiana,14617,,,,,,,,,No,,,,,,#DIV/0!,AMERICAN FIDELITY ASSURANCE COMPANY,Indiana,,,,,,,,,No,,,,,,#DIV/0!
171,193,Trustmark Insurance Company,Massachusetts,14717,,,,,,,,,No,,,,,,#DIV/0!,Trustmark Insurance Company,Massachusetts,,,,,,,,,No,,,,,,#DIV/0!
172,194,Humana Insurance Company,Rhode Island,14730,,,,,,,,,No,0,0,,,,#DIV/0!,Humana Insurance Company,Rhode Island,,,,,,,,,No,0,0,,,,#DIV/0!
175,197,Nippon Life Insurance Company of America,South Carolina,14820,,3682,,,-24753.92,,,"($24,753.92)",No,,,,,,#DIV/0!,Nippon Life Insurance Company of America,South Carolina,,752,,,-166996.9,,,"($166,996.90)",No,,,,,,#DIV/0!
176,198,Illinois Mutual Life Insurance Company,California,14823,,,,,,,,,No,,,,,,#DIV/0!,Illinois Mutual Life Insurance Company,California,,,,,,,,,No,,,,,,#DIV/0!
177,199,United Teachers Associates,Nebraska,14876,,,,,,,,,No,0,0,,,,#DIV/0!,United Teachers Associates,Nebraska,0,,,,,,,,No,0,0,,,,#DIV/0!
178,200,TransAmerica Premier Life Insurance,American Samoa,14936,,,,,,,,,No,0,0,,,,#DIV/0!,TransAmerica Premier Life Insurance,American Samoa,,,,,,,,,No,0,0,,,,#DIV/0!
179,201,The Prudential Insurance Company of America,Colorado,14970,,,,,,,,,No,,,,,,#DIV/0!,The Prudential Insurance Company of America,Colorado,,,,,,,,,No,,,,,,#DIV/0!
180,203,Union Security Insurance Company,West Virginia,15012,0,34,0,0,0,,,,No,0,0,0,0,0,#DIV/0!,Union Security Insurance Company,West Virginia,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
181,204,AMERICAN FIDELITY ASSURANCE COMPANY,Alabama,15039,,,,,,,,,No,,,,,,#DIV/0!,AMERICAN FIDELITY ASSURANCE COMPANY,Alabama,,,,,,,,,No,,,,,,#DIV/0!
182,205,United Teachers Associates,Washington,15075,,,,,,,,,No,0,0,,,,#DIV/0!,United Teachers Associates,Washington,0,,,,,,,,No,0,0,,,,#DIV/0!
183,206,American States Insurance Company,California,15096,,,,,,,,,No,,42838.66,,,,#DIV/0!,American States Insurance Company,California,,,,,,,,,No,,9038.6,,,,#DIV/0!
185,208,"Cigna HealthCare of Georgia, Inc.",Georgia,15105,33,190,0,0,0,,,,No,39837,25208,13081,-534,0,63.09090909,"Cigna HealthCare of Georgia, Inc.",Georgia,0,70,0,0,0,,,,No,0,-14,0,0,0,#DIV/0!
186,209,The Prudential Insurance Company of America,Arizona,15189,,,,,,,,,No,,,,,,#DIV/0!,The Prudential Insurance Company of America,Arizona,,,,,,,,,No,,,,,,#DIV/0!
187,210,Hartford Life & Accident Insurance Company,Louisiana,15197,,,,,,,,,No,,,,,,#DIV/0!,Hartford Life & Accident Insurance Company,Louisiana,12,,0,0,,,,,No,209,63.04,0,0,0,#DIV/0!
188,211,Central United Life Insurance Company,Massachusetts,15218,,,,,,,,,No,,,,,,#DIV/0!,Central United Life Insurance Company,Massachusetts,,,,,,,,,No,,,,,,#DIV/0!
191,214,"AmeriHealth HMO, Inc.",Delaware,15310,,801,,,,,,,No,0,0,,,,#DIV/0!,"AmeriHealth HMO, Inc.",Delaware,,,,,,,,,No,0,0,,,,#DIV/0!
192,215,Transamerica Life Insurance Company,Wyoming,15331,,,,,,,,,No,,,,,,#DIV/0!,Transamerica Life Insurance Company,Wyoming,,,,,,,,,No,,,,,,#DIV/0!
193,218,Philadelphia American Life Insurance Company,Vermont,15406,,,,,,,,,No,,,,,,#DIV/0!,Philadelphia American Life Insurance Company,Vermont,,,,,,,,,No,,,,,,#DIV/0!
195,220,Union Fidelity Life Insurance Company,Tennessee,15419,,,,,,,,,No,,,,,,#DIV/0!,Union Fidelity Life Insurance Company,Tennessee,,,,,,,,,No,,,,,,#DIV/0!
196,221,Liberty Mutual Insurance Company,Maryland,15424,,,,,,,,,No,,,,,,#DIV/0!,Liberty Mutual Insurance Company,Maryland,,,,,,,,,No,,,,,,#DIV/0!
198,224,United American Insurance Co,Nebraska,15515,,,,,,,,,No,0,0,,,,#DIV/0!,United American Insurance Co,Nebraska,,,,,,,,,No,0,0,,,,#DIV/0!
199,225,"Humana Health Plan, Inc.",Arkansas,15517,,,,,,,,,No,0,0,,,,#DIV/0!,"Humana Health Plan, Inc.",Arkansas,,,,,,,,,No,0,0,,,,#DIV/0!
201,229,Union Fidelity Life Insurance Company,Pennsylvania,15569,,,,,,,,,No,,,,,,#DIV/0!,Union Fidelity Life Insurance Company,Pennsylvania,,,,,,,,,No,,,,,,#DIV/0!
202,230,"Piedmont Community HealthCare, Inc.",Virginia,15668,,14549,,,,,,"$342,665.34 ",No,0,0,,,,#DIV/0!,"Piedmont Community HealthCare, Inc.",Virginia,27231,11027,1360580,435467,403668,"$1,361,288.18 ","$435,467.30 ","$403,667.61 ",No,13313114,10912977,2198095,142229,,#DIV/0!
203,231,Celtic Insurance Company,New Jersey,15696,1,,0,0,,,,,No,2179,0,0,0,0,2179,Celtic Insurance Company,New Jersey,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!
204,232,Globe Life and Accident Insurance Co,Idaho,15775,,,,,,,,,No,0,0,,,,#DIV/0!,Globe Life and Accident Insurance Co,Idaho,,,,,,,,,No,0,0,,,,#DIV/0!
207,238,Celtic Insurance Company,Hawaii,15978,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!,Celtic Insurance Company,Hawaii,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!
