Name,State,HIOS,MMI,ERAI,ARAI,Premium,Loss1,Loss2,Loss3,Loss4,ERAIPMM,ARAIPMM,Diff,TotalLoss
American General Life Insurance Company,District of Columbia,10923,0,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Central United Life Insurance Company,Maryland,11012,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Life Insurance Company,Nevada,11015,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,South Dakota,11077,0,0,,0,-689.61,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TransAmerica Premier Life Insurance,Pennsylvania,11078,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Federated Mutual Insurance Company,Indiana,11104,0,0,$-,0,0,0,0,0,#DIV/0!,#VALUE!,#VALUE!,#DIV/0!
American Income Life Insurance Co,Colorado,11109,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty Mutual Insurance Company,Nevada,11119,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,Oklahoma,11230,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Security Insurance Company,Nevada,11262,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reserve National Insurance Company,Indiana,11265,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty National Life Insurance Co,Colorado,11323,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reliance Standard Life Insurance Company,Utah,11348,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Mississippi,11415,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,Arkansas,11450,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,Kansas,11483,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,Louisiana,11586,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Teachers Associates,Nevada,11600,0,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reserve National Insurance Company,Alaska,11605,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Connecticut General Life Insurance Company,District of Columbia,11618,0,0,,0,-1,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Shelter Life Insurance Company,South Carolina,11722,0,0,,457.46,-416,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Texas,11755,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reliance Standard Life Insurance Company,South Dakota,11782,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Illinois Mutual Life Insurance Company,Oklahoma,11838,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,Montana,11883,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
San Mateo Health Commission,California,12318,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TransAmerica Premier Life Insurance,Iowa,12332,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Security Life Insurance Company of New York,Missouri,12363,,,$-,0,0,,,,#DIV/0!,#VALUE!,#VALUE!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Ohio,12409,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Nippon Life Insurance Company of America,Georgia,12442,,,$-,,,,,,#DIV/0!,#VALUE!,#VALUE!,#DIV/0!
"Madison National Life Insurance Company, Inc.",Wisconsin,12509,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Medical Benefits Mutual Life Insurance Co.,Ohio,12512,,,$-,,,,,,#DIV/0!,#VALUE!,#VALUE!,#DIV/0!
New York Life Insurance Company,Indiana,12595,0,0,,0,-51277,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,Texas,12621,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Minnesota,12627,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Wisconsin Physicians Services Insurance Corporation,Illinois,12659,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Celtic Insurance Company,Vermont,12666,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Union Health Service, Inc.",Illinois,12690,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Connecticut General Life Insurance Company,Oklahoma,12693,0,0,,0,-1,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Healthcare Life Insurance Company,California,12799,0,0,,0,19.29,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Fidelity Life Insurance Company,South Dakota,12842,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Time Insurance Company,Rhode Island,12877,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mutual of Omaha Insurance Company,Illinois,13029,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Time Insurance Company,New York,13039,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Fidelity Life Insurance Company,Alabama,13062,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mutual of Omaha Insurance Company,Minnesota,13099,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Thrivent Financial for Lutherans,Maryland,13124,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,Georgia,13137,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,Maine,13155,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,Arizona,13165,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Cigna Health and Life Insurance Company,Nevada,13207,0,0,,0,-18,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Central United Life Insurance Company,Oregon,13235,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Central United Life Insurance Company,Utah,13257,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"HMO Partners, Inc.",Arkansas,13262,,,$-,0,0,,,,#DIV/0!,#VALUE!,#VALUE!,#DIV/0!
Reliance Standard Life Insurance Company,Arkansas,13285,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"GMS Reinsurance Company, LTD",Indiana,13288,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Federated Mutual Insurance Company,Virginia,13433,0,0,$-,0,0,0,0,0,#DIV/0!,#VALUE!,#VALUE!,#DIV/0!
United Teachers Associates,Indiana,13435,0,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty Mutual Insurance Company,South Carolina,13452,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Celtic Insurance Company,Nebraska,13484,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Fidelity Life Insurance Company,Louisiana,13506,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Coventry Health & Life Insurance Company,Delaware,13537,0,0,,0,672.39,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Time Insurance Company,New Jersey,13574,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Life Insurance Company,Arizona,13647,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American States Insurance Company,Texas,13685,,,,,262695.47,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty National Life Insurance Co,Virginia,13730,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Connecticut General Life Insurance Company,Kansas,13833,0,0,,0,-1,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Insurance Company,Iowa,13857,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Illinois,13942,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,New Jersey,13991,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,Mississippi,14014,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mutual of Omaha Insurance Company,California,14091,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,Maryland,14115,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Celtic Insurance Company,Idaho,14136,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Federated Mutual Insurance Company,West Virginia,14414,0,0,$-,0,0,0,0,0,#DIV/0!,#VALUE!,#VALUE!,#DIV/0!
Union Fidelity Life Insurance Company,North Carolina,14442,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Iowa,14459,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,Wyoming,14463,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Insurance Company,California,14526,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Connecticut General Life Insurance Company,Maryland,14536,0,0,,1152,-5979,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Madison National Life Insurance Company, Inc.",Pennsylvania,14615,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Indiana,14617,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Insurance Company,Massachusetts,14717,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Humana Insurance Company,Rhode Island,14730,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Nippon Life Insurance Company of America,South Carolina,14820,,,$-,,,,,,#DIV/0!,#VALUE!,#VALUE!,#DIV/0!
Illinois Mutual Life Insurance Company,California,14823,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Teachers Associates,Nebraska,14876,0,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TransAmerica Premier Life Insurance,American Samoa,14936,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reserve National Insurance Company,Idaho,14958,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,Colorado,14970,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Security Insurance Company,West Virginia,15012,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Alabama,15039,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Teachers Associates,Washington,15075,0,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American States Insurance Company,California,15096,,,,,9038.6,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Cigna HealthCare of Georgia, Inc.",Georgia,15105,0,0,,0,-14,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,Arizona,15189,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Central United Life Insurance Company,Massachusetts,15218,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"AmeriHealth HMO, Inc.",Delaware,15310,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,Wyoming,15331,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,Vermont,15406,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Fidelity Life Insurance Company,Tennessee,15419,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty Mutual Insurance Company,Maryland,15424,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Nebraska,15515,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Humana Health Plan, Inc.",Arkansas,15517,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Pekin Life Insurance Company,Georgia,15551,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Fidelity Life Insurance Company,Pennsylvania,15569,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Celtic Insurance Company,New Jersey,15696,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,Idaho,15775,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Celtic Insurance Company,Hawaii,15978,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TransAmerica Premier Life Insurance,Tennessee,16000,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Security Insurance Company,Kansas,16201,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,Connecticut,16276,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,Oregon,16319,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,Montana,16478,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Michigan,16485,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,Alaska,16540,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Celtic Insurance Company,Montana,16621,0,0,,-586.8,0,-0.741665931,-4.321139883,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Madison National Life Insurance Company, Inc.",Georgia,16661,,,,0,0,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,Nevada,16685,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,Maine,16740,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,Utah,16830,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,Florida,16836,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Missouri,16943,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,District of Columbia,16954,0,0,,0,-10416,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,Alabama,16961,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,Hawaii,16979,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Nippon Life Insurance Company of America,Tennessee,17032,,,$-,,,,,,#DIV/0!,#VALUE!,#VALUE!,#DIV/0!
Liberty Mutual Insurance Company,Colorado,17060,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty Mutual Insurance Company,Louisiana,17086,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Oklahoma,17118,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Washington,17148,0,0,,0,-21014,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,Delaware,17159,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,Rhode Island,17411,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,Vermont,17424,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Vermont,17481,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
MAMSI Life and Health Insurance Company,District of Columbia,17498,0,0,,2654.15,3200.68,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,Nebraska,17589,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TransAmerica Premier Life Insurance,Michigan,17594,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reliance Standard Life Insurance Company,Maryland,17684,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American General Life Insurance Company,Maryland,17886,0,,,-30,-1317,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reliance Standard Life Insurance Company,Louisiana,17940,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Georgia,17991,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Connecticut General Life Insurance Company,Missouri,18032,0,0,,165,-9,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
San Francisco Community Health Authority,California,18082,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Insurance Company,Minnesota,18102,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,Oregon,18280,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Teachers Associates,Vermont,18321,0,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Connecticut General Life Insurance Company,Montana,18409,0,0,,0,-1,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Family Mutual Insurance Company,Idaho,18519,0,,,0,0,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,New Hampshire,18656,0,0,,0,-11344,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American States Insurance Company,Minnesota,18696,,,,,53501.33,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Insurance Company,Delaware,18791,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Connecticut General Life Insurance Company,Maine,18804,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,Colorado,18808,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,California,18846,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American General Life Insurance Company,Delaware,18878,0,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reserve National Insurance Company,Ohio,19018,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Federated Mutual Insurance Company,Texas,19046,0,0,$-,0,0,0,0,0,#DIV/0!,#VALUE!,#VALUE!,#DIV/0!
United American Insurance Co,Alaska,19136,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Insurance Company,Nevada,19166,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
BCS Insurance Company,Ohio,19190,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,Nevada,19250,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Life Insurance Company,Illinois,19253,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,New Jersey,19292,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,New Hampshire,19341,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Cigna Health and Life Insurance Company,Minnesota,19482,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Mississippi,19492,0,0,,0,-39259,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty National Life Insurance Co,Arizona,19509,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Humana Insurance of Puerto Rico, Inc.",Puerto Rico,19728,,,,0,1.05,0,0,0.16,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kanawha Insurance Company ,South Dakota,19841,0,,,315,89,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mutual of Omaha Insurance Company,Connecticut,19846,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,North Dakota,19903,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Iowa,19905,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Thrivent Financial for Lutherans,Alabama,20014,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reserve National Insurance Company,Iowa,20063,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Missouri,20081,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,North Carolina,20248,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Thrivent Financial for Lutherans,West Virginia,20290,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mutual of Omaha Insurance Company,North Carolina,20294,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Teachers Associates,Arkansas,20338,0,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Connecticut,20347,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Cigna Health and Life Insurance Company,Hawaii,20427,0,0,,0,-23,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Republic Insurance Company,Kansas,20483,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Thrivent Financial for Lutherans,Mississippi,20515,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Security Insurance Company,District of Columbia,20604,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,Maine,20630,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
PHP Insurance Company,Michigan,20662,,,$-,0,0,,,,#DIV/0!,#VALUE!,#VALUE!,#DIV/0!
"ADVANTAGE Health Solutions, Inc",Indiana,20855,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Security Insurance Company,Ohio,20920,0,0,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
HIP Insurance Company of New York,New York,20984,0,,,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"UnitedHealthcare of the Mid-Atlantic, Inc.",District of Columbia,21066,0,0,$-,0,-16.66,0,0,0,#DIV/0!,#VALUE!,#VALUE!,#DIV/0!
The Prudential Insurance Company of America,Alaska,21076,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,Kentucky,21100,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Fidelity Life Insurance Company,Mississippi,21208,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Connecticut,21306,,,,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
