Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsuance Per Member Month Individual,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
"UPMC Health Options, Inc.",Pennsylvania,16322,630940,1517618,17827409,-3105783,4876751.003,"$17,829,957.20 ","($3,105,783.44)","$5,913,428.11 ",No,28.25531588,28.25935461,-4.922469648,-4.922470346,3.213424592,3.896519486,0.004038736,-6.97372E-07,0.683094894
"Health Care Service Corporation, a Mutual Legal Reserve Company",Oklahoma,87571,2028437,1475972,84195768,-2631957,4445556,"$84,233,897.40 ","($4,417,436.82)","$4,443,491.14 ",Yes,41.50770667,41.5265041,-1.297529576,-2.177754015,3.011951446,3.010552463,0.018797429,-0.880224439,-0.001398983
Keystone Health Plan East,Pennsylvania,33871,1291544,1448425,49300779.17,-12386830.58,-4106693.9,"$49,296,370.95 ","($12,386,830.58)","($4,106,693.90)",No,38.17197027,38.16855713,-9.590715129,-9.590715129,-2.835282393,-2.835282393,-0.00341314,0,0
"Humana Health Plan of Texas, Inc. ",Texas,32673,1147557,1418824,51268519.33,-26986914.17,-2173306.64,"$51,295,201.04 ","($26,986,914.17)","($2,173,306.64)",No,44.67622901,44.69947989,-23.51683983,-23.51683983,-1.531766195,-1.531766195,0.02325088,0,0
"Anthem Health Plans of Virginia, Inc.",Virginia,16064,985484,1416206,0,0,27889957.52,N/E,$-,"$27,889,957.52 ",No,0,#VALUE!,0,#VALUE!,19.69343268,19.69343268,#VALUE!,#VALUE!,0
"SelectHealth, Inc.",Utah,68781,1430842,1402554,45729581.52,29125748,2775857.47,"$45,753,380.60 ","$29,815,302.00 ","$2,775,857.47 ",Yes,31.95990998,31.9765429,20.3556703,20.83759213,1.97914481,1.97914481,0.01663292,0.481921833,0
Aetna Life Insurance Company,New York,17210,38982,1393628,4503869.05,7987421.74,-92687139.67,"$4,506,213.00 ","$9,153,245.87 ","($92,687,139.68)",No,115.5371466,115.5972757,204.900255,234.8069845,-66.50780529,-66.5078053,0.060129034,29.90672952,-7.17553E-09
"BCBSM, INC. ",Minnesota,49316,2462520,1392389,125694015,29086946,15764246,"$125,759,129.37 ","$29,086,945.86 ","$15,764,245.94 ",Yes,51.04284026,51.06928243,11.81186183,11.81186178,11.32172547,11.32172542,0.026442169,-5.68523E-08,-4.30914E-08
"Harvard Pilgrim Health Care, Inc.",Massachusetts,36046,135389,1323837,8127994,19606130.08,2464622.51,"$8,132,224.47 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes,60.03437502,60.0656218,144.8133163,#VALUE!,1.861726565,#VALUE!,0.031246778,#VALUE!,#VALUE!
"Humana Employers Health Plan of Georgia, Inc.",Georgia,93332,3442073,1307376,213455181.3,68541368.02,-3209903.85,"$213,566,269.89 ","$68,541,368.02 ","($2,579,052.10)",No,62.01355442,62.04582817,19.9128165,19.9128165,-2.455226232,-1.972693472,0.032273746,0,0.48253276
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",Georgia,49046,1329937,1292437,31989248.98,-15389290.74,2730391.61,"$31,999,615.68 ","($15,389,290.74)","$2,806,937.56 ",No,24.05320626,24.06100115,-11.57144341,-11.57144341,2.112591647,2.171817706,0.007794881,0,0.059226059
UnitedHealthcare Insurance Company,Florida,43839,38845,1280849,0,115458.85,3936085.34,N/E,$-,"$4,051,544.19 ",No,0,#VALUE!,2.972296306,#VALUE!,3.07302839,3.163170827,#VALUE!,#VALUE!,0.090142437
"HealthPartners, Inc.",Minnesota,79888,9394,1214110,,32000,-13775000,N/E,"$31,708.01 ","($13,774,545.17)",Yes,0,#VALUE!,3.406429636,3.37534703,-11.34575945,-11.34538483,#VALUE!,-0.031082606,0.00037462
"Oxford Health Plans (NY), Inc.",New York,26420,259030,1206429,37034220.59,69429605.79,-27957138.63,"$37,053,494.34 ","$75,516,356.91 ","($34,043,889.75)",No,142.9727081,143.0471155,268.0369293,291.535177,-23.17346369,-28.2187263,0.074407405,23.49824777,-5.045262606
"Wellmark, Inc.",Iowa,72160,1505991,1180164,15290589,15005600,1507980,"$15,298,546.80 ","$16,573,829.24 ","$3,724,624.74 ",No,10.15317422,10.15845832,9.963937367,11.00526447,1.277771564,3.15602301,0.005284095,1.0413271,1.878251446
"Blue Cross and Blue Shield of Kansas, Inc.",Kansas,18558,692644,1169721,22059547,17980150,1209309,"$22,071,027.01 ","$17,980,150.06 ","$1,209,308.94 ",Yes,31.84831891,31.86489309,25.95871761,25.9587177,1.033843968,1.033843917,0.016574185,8.66246E-08,-5.12943E-08
Highmark Health Insurance Company,Pennsylvania,70194,330905,1156811,37247106,51852280,777889,"$37,266,490.45 ","$51,852,279.70 ","$777,889.23 ",No,112.5613273,112.6199074,156.6983878,156.6983868,0.672442603,0.672442802,0.058580106,-9.06605E-07,1.98822E-07
UnitedHealthcare Insurance Company,Wisconsin,59158,3128,1103277,0,-42338.1,11339495.99,N/E,$-,"$11,297,157.89 ",No,0,#VALUE!,-13.53519821,#VALUE!,10.27801358,10.23963872,#VALUE!,#VALUE!,-0.03837486
Health Net Life Insurance Company,California,99110,444015,1101301,94298229.42,53436905.52,11419865.92,"$94,347,305.12 ","$53,436,905.52 ","$11,418,011.12 ",No,212.3762247,212.4867518,120.349325,120.349325,10.36943208,10.36774789,0.110527122,0,-0.00168419
"Anthem Blue Cross Life and Health Insurance Company, Inc.",California,48962,1744900,1096405,0,0,0,,,,No,0,0,0,0,0,0,0,0,0
Healthy Alliance Life Insurance Company,Missouri,32753,1037701,1093732,19464185.02,7298221.08,5340341.52,"$19,470,609.22 ","$7,298,221.08 ","$5,340,341.52 ",No,18.75702637,18.76321717,7.033067406,7.033067406,4.882678316,4.882678316,0.006190801,0,0
Aetna Health of California Inc.,California,20523,2133,1022238,0,0,-55800699.08,N/E,$-,"($55,802,137.54)",No,0,#VALUE!,0,#VALUE!,-54.58679787,-54.58820504,#VALUE!,#VALUE!,-0.001407167
Capital Advantage Assurance Company,Pennsylvania,45127,116325,1002856,4544340,6863660,-3297708,"$4,546,704.54 ","$6,863,660.42 ","($3,297,707.87)",No,39.06589297,39.08621999,59.00416935,59.00417296,-3.288316568,-3.288316438,0.020327015,3.61057E-06,1.2963E-07
Aetna Health Inc. (a New Jersey corporation),New Jersey,82884,7037,929182,0,0,-18109387.02,N/E,$-,"($18,109,387.03)",No,0,#VALUE!,0,#VALUE!,-19.48960163,-19.48960164,#VALUE!,#VALUE!,-1.07622E-08
Priority Health,Michigan,29698,497784,926042,14180131,-27448473.06,-2734798,"$14,187,510.70 ","($27,447,894.51)","($2,734,798.34)",Yes,28.48651423,28.50133934,-55.14133251,-55.14017025,-2.953211625,-2.953211993,0.014825105,0.001162251,-3.67154E-07
"CDPHP Universal Benefits, Inc.",New York,92551,0,880946,,,6571185,N/E,$-,"$10,072,804.56 ",Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,7.459237002,11.43407719,#VALUE!,#VALUE!,3.974840183
Blue Care Network,Michigan,98185,1596397,859012,46806689.64,-40004463.16,1981424.91,"$46,831,049.28 ","($40,004,463.16)","$2,178,690.19 ",Yes,29.32020646,29.3354656,-25.05921971,-25.05921971,2.306632399,2.536274453,0.015259137,0,0.229642054
"Humana Medical Plan, Inc. ",Florida,35783,3470273,851617,136763089.1,-135056370.8,-11511826.07,"$136,834,264.80 ","($135,056,370.83)","($11,511,826.07)",No,39.40989343,39.43040354,-38.91808247,-38.91808248,-13.51760952,-13.51760952,0.020510115,-8.64485E-09,0
QCC Insurance Company,Pennsylvania,31609,525833,851405,43118173,64851297,24985337,"$43,123,145.04 ","$64,851,297.02 ","$24,985,336.80 ",No,81.99974707,82.00920262,123.3305955,123.3305955,29.34600689,29.34600666,0.00945555,3.80349E-08,-2.34906E-07
Aetna Health Inc. (a Florida corporation),Florida,18628,485275,824836,10355176.3,-28025200.75,5437975.83,"$10,360,565.46 ","($28,025,200.75)","$5,437,975.83 ",No,21.33877966,21.34988503,-57.75117356,-57.75117356,6.592796423,6.592796423,0.011105373,0,0
"BLUE CROSS & BLUE SHIELD OF MISSISSIPPI, A MUTUAL INSURANCE COMPANY",Mississippi,11721,793293,816408,8230686,2213376,27685,"$8,234,968.46 ","$2,213,375.40 ","$27,685.38 ",No,10.37534177,10.3807401,2.790111598,2.790110842,0.033910741,0.033911206,0.005398333,-7.56341E-07,4.65454E-07
"Anthem Health Plans of Kentucky, Inc.",Kentucky,36239,1020298,809561,15227446.08,3129303.34,4368115.21,"$15,230,315.39 ","$3,129,303.34 ","$4,368,115.21 ",No,14.92450841,14.92732064,3.067048392,3.067048392,5.395659141,5.395659141,0.002812227,0,0
BlueCross and BlueShield of South Carolina,South Carolina,26065,1019835,805213,26785971,8615923,2446555,"$26,799,911.31 ","$8,615,922.98 ","$2,446,555.38 ",No,26.26500463,26.27867381,8.448349978,8.448349959,3.03839481,3.038395282,0.013669182,-1.9611E-08,4.71925E-07
USAble Mutual Insurance Company,Arkansas,75293,3088102,801647,64786425.56,8441174.73,1095119.44,"$64,811,130.09 ","$8,441,174.73 ","$1,078,908.44 ",Yes,20.97936712,20.98736703,2.733450751,2.733450751,1.366086869,1.345864751,0.007999907,0,-0.020222118
"ConnectiCare, Insurance Company Inc",Connecticut,94815,482538,790744,17813284.44,-26170707,-10932640,"$17,822,555.02 ","($26,170,707.17)","($10,932,640.17)",No,36.91581687,36.93502899,-54.23553585,-54.23553621,-13.82576409,-13.82576431,0.019212124,-3.52304E-07,-2.14987E-07
Aetna Life Insurance Company,Texas,91716,562121,762695,19067675.56,-10218459.31,4559477.87,"$19,077,598.96 ","($10,218,459.31)","$4,559,477.87 ",No,33.92094506,33.93859856,-18.17839809,-18.17839809,5.978114279,5.978114279,0.017653495,0,0
UnitedHealthcare Insurance Company,Indiana,72850,2194,761207,0,311363.69,-6610852.4,N/E,$-,"($6,771,739.27)",No,0,#VALUE!,141.9159936,#VALUE!,-8.684697329,-8.89605491,#VALUE!,#VALUE!,-0.211357581
"UnitedHealthcare of Florida, Inc.",Florida,68398,1434483,753362,75440222.47,14473029.3,-4281455.39,"$75,479,361.88 ","$14,572,435.15 ","($4,380,861.24)",No,52.59053085,52.61781553,10.08936969,10.15866702,-5.683131602,-5.815081249,0.02728468,0.069297336,-0.131949647
Hawaii Medical Service Association,Hawaii,18350,308670,736432,16190299,15467101,6898728.57,"$16,197,585.19 ","$15,467,100.50 ","$7,322,488.29 ",Yes,52.45180614,52.47541125,50.10885736,50.10885574,9.367774038,9.943196779,0.023605112,-1.61985E-06,0.575422741
UnitedHealthcare Insurance Company of Illinois,Illinois,92476,3303,721188,0,120563.04,3936177.88,N/E,$-,"$4,056,740.92 ",No,0,#VALUE!,36.50107175,#VALUE!,5.457908174,5.625081005,#VALUE!,#VALUE!,0.167172831
"Oxford Health Insurance, Inc.",New Jersey,77263,94349,713116,16252850.81,44956827.36,5734971.58,"$16,261,309.29 ","$44,955,766.00 ","$5,736,032.94 ",No,172.2630956,172.3527466,476.4950064,476.4837571,8.042130004,8.043618345,0.089650977,-0.011249298,0.001488341
Aetna Health Inc. (a Georgia corporation),Georgia,82824,940354,684990,20306783.02,-58546619.34,-5894153.85,N/E,$-,"($4,486,504.66)",No,21.59482814,#VALUE!,-62.26019067,#VALUE!,-8.604729777,-6.549737456,#VALUE!,#VALUE!,2.054992321
Freelancers Health Service Corporation,New York,71644,1358859,681644,51736710,-37496765,-153842015.4,"$51,763,635.04 ","($37,496,765.22)","($153,842,015.39)",No,38.07364119,38.09345564,-27.59430154,-27.5943017,-225.6926129,-225.6926128,0.019814447,-1.61901E-07,1.46705E-08
"Rocky Mountain Hospital and Medical Service, Inc., dba Anthem Blue Cross and Blue Shield",Colorado,87269,534111,677758,3299621.05,-318263.67,-1239886.17,"$3,292,837.76 ","($318,263.67)","($1,239,886.17)",No,6.177781491,6.165081341,-0.59587552,-0.59587552,-1.829393633,-1.829393633,-0.01270015,0,0
Aetna Life Insurance Company,California,40733,15408,633699,0,0,26508182.01,N/E,$-,"$26,507,101.90 ",No,0,#VALUE!,0,#VALUE!,41.8308724,41.82916795,#VALUE!,#VALUE!,-0.001704453
UnitedHealthcare Insurance Company,Missouri,95426,4821,629836,0,-9402,2812286.9,N/E,$-,"$2,802,884.90 ",No,0,#VALUE!,-1.950217797,#VALUE!,4.465109806,4.450182111,#VALUE!,#VALUE!,-0.014927695
Kaiser Foundation Health Plan of Colorado,Colorado,21032,829731,627193,20531573,-7630793,951160,"$20,539,222.46 ","($7,630,792.84)","$951,160.48 ",Yes,24.74485466,24.75407386,-9.196707126,-9.196706933,1.516534783,1.516535548,0.009219205,1.92834E-07,7.65315E-07
"Humana Health Plan, Inc.",Kentucky,15411,189064,624026,6817802.85,3404519.29,-1964729.71,"$6,821,351.04 ","$3,404,519.29 ","($1,964,729.71)",No,36.06081988,36.07958702,18.00723189,18.00723189,-3.148474118,-3.148474118,0.018767137,0,0
Noridian Mutual Insurance Company,North Dakota,37160,514810,623553,12577778.91,1716903.71,22846.7,"$12,584,324.78 ","$1,716,903.71 ","$22,846.40 ",Yes,24.43188538,24.44460049,3.335024009,3.335024009,0.036639548,0.036639067,0.012715118,0,-4.81114E-07
Aetna Health Inc. (a Pennsylvania corporation),Pennsylvania,64844,324022,619199,6956215.73,-25852344.52,-1628024.96,"$6,959,835.96 ","($25,852,344.53)","($1,628,024.96)",No,21.46834391,21.4795167,-79.78576924,-79.78576927,-2.629243523,-2.629243523,0.011172791,-3.08621E-08,0
HealthNow New York Inc.,New York,40064,85075,609043,3723122.82,7587765.38,1838807.64,$0.00 ,"$3,626.81 ","($68,200.88)",Yes,43.76283068,0,89.18913171,0.042630738,3.019175395,-0.111980402,-43.76283068,-89.14650097,-3.131155797
"Tufts Associated Health Maintenance Organization, Inc.",Massachusetts,29125,129455,606516,5502579,454550,2129634,"$5,505,443.18 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes,42.50572786,42.52785277,3.511258739,#VALUE!,3.511257741,#VALUE!,0.022124908,#VALUE!,#VALUE!
"HealthKeepers, Inc.",Virginia,88380,2282806,598828,77192433.74,-13597420.4,-2356689.22,"$77,211,953.05 ","($13,597,420.40)","($2,356,689.22)",No,33.81471476,33.82326534,-5.956450263,-5.956450263,-3.935502715,-3.935502715,0.008550578,0,0
Blue Cross & Blue Shield of Rhode Island,Rhode Island,15287,297884,586445,11360205.38,9680258.57,5753305.59,"$11,366,007.86 ","$9,680,258.57 ","$5,753,305.59 ",Yes,38.13633958,38.15581857,32.4967389,32.4967389,9.810477692,9.810477692,0.019478992,0,0
"HealthAssurance Pennsylvania, Inc.",Pennsylvania,93838,270,568755,0,0,-58719.48,N/E,$-,"($58,719.48)",No,0,#VALUE!,0,#VALUE!,-0.103242134,-0.103242134,#VALUE!,#VALUE!,0
"Neighborhood Health Partnership, Inc.",Florida,80779,7636,554192,0,0,-338156.26,N/E,$-,"($338,156.26)",No,0,#VALUE!,0,#VALUE!,-0.610178891,-0.610178891,#VALUE!,#VALUE!,0
UnitedHealthcare Insurance Company,Colorado,67879,19084,553156,0,45418.85,933904.89,N/E,$-,"$979,323.74 ",No,0,#VALUE!,2.379943932,#VALUE!,1.688320998,1.770429571,#VALUE!,#VALUE!,0.082108573
"Neighborhood Health Plan, Inc.",Massachusetts,41304,590554,549573,25504454,56154919,-40972893,"$25,517,727.66 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes,43.18733596,43.20981258,95.08854228,#VALUE!,-74.55405014,#VALUE!,0.022476624,#VALUE!,#VALUE!
"Blue Cross and Blue Shield of Arizona, Inc.",Arizona,53901,1857597,534916,51794337.83,6800593.86,-837227.17,"$51,821,293.19 ","$20,131,634.31 ","($837,227.17)",Yes,27.8824405,27.89695138,3.660962986,10.83746061,-1.565156342,-1.565156342,0.014510876,7.17649762,0
"HMO Louisiana, Inc.",Louisiana,19636,599791,532442,18986651.02,-30654005.69,-1581186.14,"$18,992,557.99 ","($30,654,005.69)","($1,581,186.14)",No,31.65544501,31.66529339,-51.10781204,-51.10781204,-2.969687102,-2.969687102,0.009848381,0,0
"Blue Cross of Idaho Health Service, Inc.",Idaho,61589,1019070,499500,38695123,-5152221.99,2750572.03,"$38,715,261.37 ","($5,152,221.99)","$2,750,572.03 ",Yes,37.97101573,37.99077725,-5.055807736,-5.055807736,5.506650711,5.506650711,0.019761518,0,0
"Health Options, Inc.",Florida,30252,1110889,496403,50025871,81745568,-4176091,"$49,987,278.15 ","$81,745,567.90 ","($4,176,090.84)",No,45.03228585,44.99754534,73.58572099,73.5857209,-8.412702985,-8.412702663,-0.03474051,-9.0018E-08,3.22319E-07
UnitedHealthcare Insurance Company,California,95677,10567,492637,0,-87458.1,3094688.83,N/E,$-,"$3,006,738.38 ",No,0,#VALUE!,-8.276530709,#VALUE!,6.281884694,6.103354762,#VALUE!,#VALUE!,-0.178529932
Triple-S Salud Inc.,Puerto Rico,32901,845817,487386,,,,,,,No,0,0,0,0,0,0,0,0,0
UnitedHealthcare Insurance Company of the River Valley,Tennessee,10958,2218,482901,0,0,-4628908.57,N/E,$-,"($4,628,908.57)",No,0,#VALUE!,0,#VALUE!,-9.585626391,-9.585626391,#VALUE!,#VALUE!,0
"Highmark West Virginia, Inc.",West Virginia,31274,511698,473363,33439790,-71601,1261986,"$33,457,193.36 ","($71,601.45)","$1,261,985.57 ",Yes,65.35063651,65.38464751,-0.139928239,-0.139929118,2.666000511,2.665999603,0.034010999,-8.79425E-07,-9.08394E-07
"Group Hospitalization and Medical Services, Inc",District of Columbia,78079,78795,468211,2536672.32,3510581.06,15545279.87,"$2,537,992.49 ","$3,510,581.06 ","$15,545,279.98 ",Yes,32.19331582,32.21007031,44.55334806,44.55334806,33.20144095,33.20144119,0.016754489,0,2.34937E-07
"First Priority Life Insurance Company, Inc.",Pennsylvania,55957,470448,468163,22703971,-3237217,-305361,"$22,715,787.15 ","($3,237,217.38)","($305,360.64)",No,48.26031995,48.28543675,-6.881136704,-6.881137511,-0.652253595,-0.652252826,0.025116804,-8.07741E-07,7.68963E-07
United Healthcare Life Insurance Company,Ohio,61724,39475,467432,2325801.78,3026047.57,-4273050.07,"$2,327,012.20 ","$2,965,356.57 ","($4,212,359.07)",No,58.91834782,58.94901077,76.65731653,75.11986244,-9.141543733,-9.011704526,0.030662951,-1.537454085,0.129839207
"Anthem Health Plans, Inc.",Connecticut,86545,654579,464639,37785526.05,25538509.66,25341838.53,"$37,802,725.10 ","$25,538,509.66 ","$25,341,838.53 ",No,57.72492862,57.7512036,39.01516801,39.01516801,54.54092,54.54092,0.02627498,0,0
MVP Health Services Corp.,New York,89846,,461909,,,1321309.11,N/E,$-,"$2,025,401.59 ",Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,2.860539868,4.384849808,#VALUE!,#VALUE!,1.52430994
Regence BlueShield,Washington,87718,552202,455891,32427807,25764919,21866758,"$32,444,683.34 ","$25,715,713.27 ","$21,915,964.21 ",Yes,58.7245374,58.75509929,46.65850359,46.56939538,47.96488196,48.07281611,0.030561896,-0.089108207,0.107934155
UnitedHealthcare Insurance Company,Arizona,82011,7959,455517,0,81312.32,4888845.01,N/E,$-,"$4,970,157.33 ",No,0,#VALUE!,10.21639905,#VALUE!,10.73251934,10.9110249,#VALUE!,#VALUE!,0.178505566
Compcare Health Services Insurance Corporation,Wisconsin,79475,255521,452760,11965745.76,9974580.81,-212388.05,"$11,971,973.11 ","$9,974,580.81 ","($212,388.05)",No,46.82881548,46.85318667,39.03624677,39.03624677,-0.46909632,-0.46909632,0.024371187,0,0
"CareFirst BlueChoice, Inc.",Virginia,10207,291585,450153,9089003.13,-4690047.93,-4863412.72,"$9,093,733.33 ","($4,690,047.91)","($4,863,412.73)",No,31.17102433,31.1872467,-16.08466804,-16.08466797,-10.80391049,-10.80391051,0.016222371,6.85906E-08,-2.22147E-08
AmeriHealth Insurance Company of New Jersey,New Jersey,91762,543379,444759,49625516,38267701,-7350774,"$49,658,797.40 ","$38,267,701.25 ","($7,350,774.16)",No,91.32762952,91.38887848,70.42543234,70.4254328,-16.52754413,-16.52754449,0.061248963,4.60084E-07,-3.59745E-07
UnitedHealthcare Insurance Company,North Carolina,69347,3025,443252,0,-32276.53,-2274460.07,N/E,$-,"($2,306,736.60)",No,0,#VALUE!,-10.66992727,#VALUE!,-5.131302442,-5.204120004,#VALUE!,#VALUE!,-0.072817562
