Name,State,HIOS,MMI,ERAI,ARAI,Premium,Loss1,Loss2,Loss3,Loss4,ERAIPMM,ARAIPMM,Diff,TotalLoss
"HealthPlus of Michigan, Inc.",Michigan,13667,25005.00,-855253.00,-855252.76,7237242.00,7981593.00,975046.00,70161.00,,-34.20,-34.20,1.00,-71.57
Freelancers Health Service Corporation,New York,71644,827785.00,-28181608.63,-28222332.50,392633838.40,380720596.20,53735310.85,3077489.79,44860893.00,-34.04,-34.09,1.00,-108.43
"Kaiser Foundation Health Plan of Mid-Atlantic States, Inc.",District of Columbia,94506,22353.00,-751506.00,-751505.85,8329385.00,8736406.00,1789038.00,133325.00,0.00,-33.62,-33.62,1.00,-104.21
LifeWise Health Plan of Washington,Washington,38498,974829.00,-32176872.00,-32176872.96,324123443.10,231934471.00,22615992.00,1914585.00,,-33.01,-33.01,1.00,69.41
Celtic Insurance Company,Oklahoma,62505,240.00,-7794.93,-7794.93,94240.07,25942.79,1937.00,376.00,0.00,-32.48,-32.48,1.00,274.93
"Coventry Health Care of Kansas, Inc.",Oklahoma,76668,33807.00,-1090288.80,-1090288.81,9633512.90,8788108.80,860739.96,68214.96,0.00,-32.25,-32.25,1.00,-2.47
"Wellmark Health Plan of Iowa, Inc.",Iowa,25896,81794.00,-2547980.00,-2547979.51,12538140.00,11937232.00,2275047.00,376243.00,,-31.15,-31.15,1.00,-25.07
United Healthcare Life Insurance Company,South Carolina,39481,25194.00,-774807.83,-774807.83,10256835.91,9333526.57,1041764.68,212088.12,0.11,-30.75,-30.75,1.00,-13.12
"Colorado Health Insurance Cooperative, Inc.",Colorado,20472,144312.00,-4393875.95,-4393875.95,75699515.70,67902479.91,11591911.00,,,-30.45,-30.45,1.00,-26.30
"Coventry Health Care of the Carolinas, Inc.",North Carolina,56346,744212.00,-22133565.20,-22133565.21,215294776.70,189674366.90,26536518.39,1661902.22,0.00,-29.74,-29.74,1.00,-3.46
Aetna Health of Utah Inc.,Wyoming,79022,1683.00,-50038.72,-50038.73,357271.28,114751.87,32470.99,2463.48,0.00,-29.73,-29.73,1.00,123.34
"Coventry Health Care of Illinois, Inc.",Illinois,96601,111531.00,-3262695.30,-3262695.30,39670521.22,34897693.24,3716262.17,191894.25,0.00,-29.25,-29.25,1.00,7.75
"Physicians Health Plan of Northern Indiana, Inc.",Indiana,50816,140344.00,-4011883.00,-4011882.59,53199342.00,47020160.00,11598690.00,895346.00,,-28.59,-28.59,1.00,-45.00
Celtic Insurance Company,Nevada,68307,302.00,-8625.15,-8625.15,191695.85,238991.54,9600.00,1862.00,0.00,-28.56,-28.56,1.00,-194.56
Coventry Health & Life Insurance Company,Mississippi,83808,4736.00,-132911.29,-132911.30,633915.71,1076537.61,327885.99,17255.76,0.00,-28.06,-28.06,1.00,-166.34
Blue Cross of California,California,27603,6902480.00,-181649910.00,-181692588.01,2686767897.00,2027689771.00,279322977.80,19324863.52,0.00,-26.32,-26.32,1.00,52.22
"Moda Health Plan, Inc.",Oregon,39424,1185822.00,-31157398.00,-31157398.15,540922800.00,470752445.00,46556351.00,764024.00,,-26.27,-26.27,1.00,19.27
United Healthcare Life Insurance Company,Michigan,45002,28706.00,-743360.22,-743360.22,8938514.74,10001658.77,1071923.21,190720.17,50441.80,-25.90,-25.90,1.00,-82.78
Paramount Insurance Company,Ohio,74313,15159.00,-389493.94,-389493.94,7132526.11,6711129.00,,,,-25.69,-25.69,1.00,27.80
"Coventry Health Care of West Virginia, Inc.",West Virginia,33577,4211.00,-107392.54,-107392.55,358489.49,973399.31,124760.79,8209.82,0.00,-25.50,-25.50,1.00,-177.60
"Coventry Healthcare of Iowa, Inc",Iowa,18973,363736.00,-9236606.28,-9236606.28,102730494.30,115208838.00,12157329.77,745106.72,0.00,-25.39,-25.39,1.00,-69.78
Celtic Insurance Company,Arkansas,62141,343956.00,-8621410.48,-8621410.48,122437353.70,125826699.30,19137706.72,0.00,0.00,-25.07,-25.07,1.00,-65.49
"HealthAmerica Pennsylvania, Inc.",Pennsylvania,91303,50625.00,-1253464.21,-1253464.22,16654115.02,12172534.64,2137545.15,130426.40,0.00,-24.76,-24.76,1.00,43.73
"CareFirst BlueChoice, Inc.",Virginia,10207,258022.00,-6283212.33,-6283212.33,79216780.90,70625508.48,7924219.75,362231.92,0.00,-24.35,-24.35,1.00,1.18
"HealthyCT, Inc.",Connecticut,91069,23491.00,-569432.00,-569431.67,14911031.18,12903482.29,2661024.00,88585.00,,-24.24,-24.24,1.00,-31.59
Arches Mutual Insurance Company,Utah,27619,149879.00,-3623028.92,-3623028.92,56476905.56,56233518.96,6224648.43,,,-24.17,-24.17,1.00,-39.91
"Kaiser Foundation Health Plan of Mid-Atlantic States, Inc.",Maryland,90296,92214.00,-2210326.00,-2210325.79,32685062.00,29825663.00,4599253.00,332010.00,0.00,-23.97,-23.97,1.00,-22.47
Coventry Health & Life Insurance Company,Nevada,49021,43511.00,-1015221.05,-1015221.06,5407112.36,5081278.55,739640.31,42799.39,0.00,-23.33,-23.33,1.00,-10.49
John Alden Life Insurance Company,North Carolina,59977,5325.00,-115565.00,-115565.12,1519725.00,870690.00,104868.00,9995.00,-62.00,-21.70,-21.70,1.00,100.33
Buckeye Community Health Plan,Ohio,41047,7133.00,-154350.05,-154350.05,2496991.78,2129377.60,328465.52,7112.41,0.00,-21.64,-21.64,1.00,4.49
"Anthem Insurance Companies, Inc.",Indiana,17575,1656793.00,-35299048.00,-35299047.70,619068691.70,473768725.80,67852008.45,6535261.12,0.00,-21.31,-21.31,1.00,42.80
County of Santa Clara,California,84014,15120.00,-318460.00,-318460.38,7110437.00,6495642.00,291726.00,,,-21.06,-21.06,1.00,21.37
Nevada Health CO-OP,Nevada,34996,157901.00,-3289885.24,-3289885.24,67129889.61,62806959.22,11648028.62,375281.64,,-20.84,-20.84,1.00,-48.77
"ConnectiCare Benefits, Inc.",Connecticut,76962,302364.00,-6289000.00,-6289036.98,161686000.00,127959000.00,17909000.00,147500.00,,-20.80,-20.80,1.00,51.83
HealthPartners Insurance Company,Minnesota,85654,253562.00,-5217000.00,-5217351.16,55951000.00,53127000.00,5420000.00,628000.00,,-20.57,-20.58,1.00,-12.71
"ConnectiCare, Inc",Connecticut,75091,6108.00,-115000.00,-115248.13,2682000.00,2504000.00,277902.00,16304.00,,-18.83,-18.87,1.00,-19.03
Aetna Health Inc. (a LA corp.),Louisiana,81941,149620.00,-2764603.69,-2764603.70,25364080.83,25513962.18,4810299.08,291569.69,0.00,-18.48,-18.48,1.00,-35.10
Humana Insurance Company,Oklahoma,23468,6085.00,-107296.38,-107296.38,1603071.31,1743141.00,63052.61,5726.02,43.00,-17.63,-17.63,1.00,-34.33
Highmark Inc.,Pennsylvania,33709,2556433.00,-44238595.00,-44238595.47,830925570.10,808307387.00,173119998.00,18101622.00,0.00,-17.30,-17.30,1.00,-65.95
Health Tradition Health Plan,Wisconsin,47342,37196.00,-626288.00,-626288.42,20960818.00,20523312.00,3936214.00,,,-16.84,-16.84,1.00,-94.06
Coventry Health & Life Insurance Company,Kansas,61430,604296.00,-10156545.50,-10156545.50,151008457.80,136996020.50,16441620.45,1041222.94,0.00,-16.81,-16.81,1.00,-5.74
"Health First Insurance, Inc.",Florida,77150,44014.00,-723613.84,-723613.84,18205469.84,16609133.14,2709436.59,216406.03,0.00,-16.44,-16.44,1.00,-30.21
"Security Health Plan of Wisconsin, Inc.",Wisconsin,38166,291458.00,-4769093.00,-4769092.74,172702018.00,159303095.00,19428063.00,440763.00,,-16.36,-16.36,1.00,-22.20
Compcare Health Services Insurance Corporation,Wisconsin,79475,367520.00,-5890043.00,-5890042.47,149012887.80,127342878.30,15204185.11,1281634.78,0.00,-16.03,-16.03,1.00,14.11
"Health Plan of Nevada, Inc.",Nevada,95865,189134.00,-3030918.47,-3030918.47,65690365.78,54264833.96,9347619.88,1360988.97,0.00,-16.03,-16.03,1.00,3.79
Coventry Health & Life Insurance Company,South Dakota,66837,21300.00,-331736.57,-331736.57,3161102.03,5499257.76,352360.58,23139.21,0.00,-15.57,-15.57,1.00,-127.40
HealthPlus Insurance Company,Michigan,59830,244364.00,-3647378.00,-3647377.54,60531463.00,59101063.00,7529872.00,412309.00,,-14.93,-14.93,1.00,-26.65
Humana Insurance Company,Missouri,30613,36575.00,-545487.55,-545487.55,10356020.97,9764057.32,1027159.72,70963.28,190.00,-14.91,-14.91,1.00,-13.84
Humana Insurance Company,Alabama,44580,71319.00,-983926.61,-983926.61,22211636.94,20499199.80,1636860.51,84643.33,862.00,-13.80,-13.80,1.00,-0.14
"Matthew Thornton Health Plan, Inc.",New Hampshire,96751,389176.00,-5300322.00,-5300321.87,154533968.30,110413843.20,17883952.83,1221632.69,0.00,-13.62,-13.62,1.00,64.28
Kentucky Health Cooperative,Kentucky,77894,586561.00,-7829059.51,-7829059.51,299397506.60,293489348.00,40142439.00,164345.00,0.00,-13.35,-13.35,1.00,-58.64
Consumers' Choice Health Insurance Company,South Carolina,65122,463294.00,-6160779.00,-6160779.32,206472865.70,190598293.50,37317393.00,0.00,0.00,-13.30,-13.30,1.00,-46.28
"HealthKeepers, Inc.",Virginia,88380,891623.00,-11644623.00,-11644622.19,338389249.10,297778427.20,43410225.30,2847585.67,0.00,-13.06,-13.06,1.00,-6.33
Sanford Health Plan,South Dakota,31195,62624.00,-802074.46,-802074.46,21520343.12,21757491.62,2525304.00,135378.00,,-12.81,-12.81,1.00,-46.27
Coventry Health & Life Insurance Company,Missouri,44240,1281780.00,-15447831.90,-16394921.63,434342907.50,390260376.30,48628647.77,2976499.88,0.00,-12.05,-12.79,1.06,-5.87
"Coventry Health Care of the Carolinas, Inc.",South Carolina,41614,306629.00,-3828066.52,-3828066.52,107513913.60,96820132.31,13113189.53,827288.39,0.00,-12.48,-12.48,1.00,-10.59
Humana Insurance Company,North Carolina,32237,37196.00,-458922.56,-458922.56,7047147.50,5361900.22,469709.24,39856.89,241.00,-12.34,-12.34,1.00,31.60
"CareFirst BlueChoice, Inc.",Maryland,28137,1045638.00,-12598519.03,-12598519.03,303747088.00,273475415.00,28053999.29,2032753.22,0.00,-12.05,-12.05,1.00,0.18
"CareFirst BlueChoice, Inc.",District of Columbia,86052,85443.00,-1007058.65,-1007058.65,23537612.58,22846546.22,4928566.47,570845.59,0.00,-11.79,-11.79,1.00,-56.28
Health Insurance Plan of Greater New York,New York,88582,328572.00,-3967655.98,-3859201.90,146103602.00,122147053.10,29895576.77,1559326.89,4756109.71,-12.08,-11.75,0.97,-37.30
Aetna Health of Utah Inc.,Utah,38927,142404.00,-1640855.99,-1640855.99,31571567.55,26503726.20,3066486.97,206193.85,0.00,-11.52,-11.52,1.00,12.61
Time Insurance Company,North Dakota,55105,35604.00,-409032.00,-409032.49,10430128.00,7578242.00,759889.00,51835.00,0.00,-11.49,-11.49,1.00,57.30
"Humana Health Plan, Inc.",Arizona,23307,32208.00,-351373.90,-351373.90,14164618.77,14286146.19,977474.91,41351.45,165.00,-10.91,-10.91,1.00,-35.41
CoOportunity Health,Nebraska,43198,319601.00,-3258008.03,-3258008.03,189854699.00,196290044.80,23361613.00,1934385.53,,-10.19,-10.19,1.00,-99.28
"Presbyterian Health Plan, Inc.",New Mexico,57173,239794.00,-2442725.00,-2442724.87,71906836.00,56088935.80,7172207.00,913500.00,0.00,-10.19,-10.19,1.00,32.25
Aetna Life Insurance Company,Delaware,29497,37213.00,-357373.55,-357373.55,7640460.59,5261689.08,901590.27,80106.70,636.28,-9.60,-9.60,1.00,37.53
"Health Care Service Corporation, a Mutual Legal Reserve Company",Montana,30751,450309.00,-4280629.18,-4280629.18,202184574.70,181347286.30,23570394.00,1809612.00,,-9.51,-9.51,1.00,-10.09
"Total Health Care USA, Inc.",Michigan,67183,118609.00,-1099668.00,-1099668.46,34565141.65,26440698.00,4988288.00,27145.00,,-9.27,-9.27,1.00,26.21
"Avera Health Plans, Inc. ",South Dakota,60536,109609.00,-1014430.34,-1014430.34,56751473.42,57305594.51,8895820.00,58874.00,0.00,-9.25,-9.25,1.00,-86.75
CareSource,Ohio,77552,250740.00,-2165056.00,-2165055.80,83769502.00,70915065.26,15424144.00,1092188.00,,-8.63,-8.63,1.00,-14.60
"Group Health Options, Inc",Washington,25768,166734.00,-1364791.00,-1364790.90,60929187.00,43701177.00,3119582.00,421317.00,,-8.19,-8.19,1.00,82.09
Premera Blue Cross,Washington,49831,894365.00,-7124602.00,-7124602.23,390292539.80,303743793.00,38489896.00,3744838.00,,-7.97,-7.97,1.00,49.55
Celtic Insurance Company,Pennsylvania,10842,776.00,-6140.62,-6140.62,197639.38,315843.43,19988.00,3877.00,0.00,-7.91,-7.91,1.00,-183.08
Aetna Life Insurance Company,Nevada,27990,54879.00,-401883.36,-401883.36,13821164.93,10124188.23,1349982.67,159321.66,352.04,-7.32,-7.32,1.00,39.86
"Coventry Health Care of Georgia, Inc.",Georgia,47783,495746.00,-3608858.90,-3608858.91,82050877.26,67802115.70,11068852.18,705894.54,0.00,-7.28,-7.28,1.00,4.99
Time Insurance Company,Iowa,68184,47208.00,-338678.00,-338678.10,15248232.00,13766098.00,1022485.00,89041.00,0.00,-7.17,-7.17,1.00,7.85
"Blue Cross of Idaho Health Service, Inc.",Idaho,61589,1042265.00,-7228265.36,-7228265.36,292556488.80,301202622.50,30229821.09,2037863.99,,-6.94,-6.94,1.00,-39.25
Coventry Health & Life Insurance Company,Oklahoma,53524,52740.00,-322539.28,-322539.29,10548871.63,8321225.91,1287661.14,87094.52,0.00,-6.12,-6.12,1.00,16.17
Aetna Health Inc. (a Pennsylvania corporation),Pennsylvania,64844,187327.00,-1144736.65,-1144736.65,60927024.32,51999516.87,12674665.55,885371.28,1139.80,-6.11,-6.11,1.00,-24.74
Cigna Health and Life Insurance Company,Connecticut,87354,7558.00,-45977.00,-45977.45,4421714.00,4941316.00,514792.00,-10583.00,64359.00,-6.08,-6.08,1.00,-143.98
John Alden Life Insurance Company,Minnesota,56971,7946.00,-46632.00,-46632.10,1834669.00,1793096.00,62511.00,9108.00,0.00,-5.87,-5.87,1.00,-3.78
Time Insurance Company,West Virginia,35992,10232.00,-57845.00,-57844.83,3200145.00,1941942.00,150702.00,19259.00,0.00,-5.65,-5.65,1.00,106.36
"Horizon Healthcare Services, Inc.",New Jersey,91661,1725900.00,-9536368.00,-9536368.03,731275799.00,554523604.00,74274084.00,5042839.00,,-5.53,-5.53,1.00,56.45
"Empire HealthChoice HMO, Inc.",New York,80519,768128.00,-4179143.78,-4215356.78,373359118.10,281690007.20,68437616.58,4477263.93,-6778702.00,-5.44,-5.49,1.01,33.24
Coventry Health & Life Insurance Company,Tennessee,78575,10611.00,-57779.81,-57779.81,1818821.15,1809844.70,305876.62,16327.99,0.00,-5.45,-5.45,1.00,-29.52
"Vantage Health Plan, Inc.",Louisiana,67243,80242.00,-416149.00,-416149.30,37912456.00,29302045.98,6613665.00,240802.00,,-5.19,-5.19,1.00,21.88
Aetna Life Insurance Company,Alaska,11082,10131.00,-52362.57,-52362.57,3346759.85,2492398.44,224170.94,9060.23,24.08,-5.17,-5.17,1.00,61.31
