,CompanyName:,BusinessintheStateof:,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:,MEMBER_MONTHS_SMALL_GROUP,EXPECTED_REINSURANCE,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),Not-For-Profit:,Premium,Loss1,Loss2,Loss3,Loss4
96,United Healthcare Life Insurance Company,California,12799,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,19.29,0.0,0.0,0.0
97,Union Fidelity Life Insurance Company,South Dakota,12842,,,,,,,,,No,,,,,
98,State Farm Mutual Automobile Insurance Company,Wisconsin,12844,795.0,0.0,0.0,0.0,0.0,,,,No,458839.65,553333.12,0.0,0.0,0.0
99,The Guardian Life Insurance Company of America,Texas,12846,252.0,,,,,,,,No,10616.0,31085.1608,,,
100,Time Insurance Company,Rhode Island,12877,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
101,State Farm Mutual Automobile Insurance Company,Florida,12910,2208.0,0.0,0.0,0.0,0.0,,,,No,1208661.95,1078880.09,0.0,0.0,0.0
102,UnitedHealthcare Insurance Company,United States Virgin Islands,12964,541.0,46076.0,0.0,0.0,0.0,,,,No,315341.04,229081.28,43241.34,4028.44,0.0
103,Mutual of Omaha Insurance Company,Illinois,13029,,,,,,,,,No,,,,,
104,Time Insurance Company,New York,13039,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
105,Union Fidelity Life Insurance Company,Alabama,13062,,,,,,,,,No,,,,,
106,American National Insurance Company,North Dakota,13081,24.0,,,,,,,,No,893.62,230.53,,,
107,Mutual of Omaha Insurance Company,Minnesota,13099,,,,,,,,,No,,,,,
108,Thrivent Financial for Lutherans,Maryland,13124,,,,,,,,,No,,,,,
109,Globe Life and Accident Insurance Co,Georgia,13137,,,,,,,,,No,0.0,0.0,,,
110,American Income Life Insurance Co,Maine,13155,,,,,,,,,No,0.0,0.0,,,
111,Globe Life and Accident Insurance Co,Arizona,13165,,,,,,,,,No,0.0,0.0,,,
112,Unified Life Insurance Company,Massachusetts,13200,24.0,,0.0,0.0,,,,,No,1034.52,-127.11,0.0,0.0,0.0
113,Cigna Health and Life Insurance Company,Nevada,13207,0.0,2058.0,0.0,0.0,0.0,,,,No,0.0,-18.0,0.0,0.0,0.0
114,Central United Life Insurance Company,Oregon,13235,,,,,,,,,No,,,,,
115,Central United Life Insurance Company,Utah,13257,,,,,,,,,No,,,,,
116,"HMO Partners, Inc.",Arkansas,13262,,228567.0,,,665239.0,N/E,$-,"$681,450.22 ",Yes,0.0,0.0,,,
117,Reliance Standard Life Insurance Company,Arkansas,13285,,,,,,,,,No,0.0,0.0,,,
118,"GMS Reinsurance Company, LTD",Indiana,13288,,2912.0,,,,,,,No,0.0,0.0,,,
119,United Teachers Associates,Alabama,13311,48.0,,,,,,,,No,198.0,4.75005,,,
120,Wilton Reassurance Company,California,13364,16973.0,,,,,,,,No,17495.0,48947.0,,,
121,Cigna Health and Life Insurance Company,Pennsylvania,13401,12.0,0.0,0.0,0.0,0.0,,,,No,2933.0,304.0,0.0,-5.0,0.0
122,Federated Mutual Insurance Company,Virginia,13433,0.0,35885.0,0.0,0.0,-1377421.98,N/E,$-,"($1,377,421.98)",No,0.0,0.0,0.0,0.0,0.0
123,United Teachers Associates,Indiana,13435,0.0,,,,,,,,No,0.0,0.0,,,
124,Liberty Mutual Insurance Company,South Carolina,13452,,,,,,,,,No,,,,,
125,Kanawha Insurance Company ,Texas,13468,1130.0,,,,,,,,No,194429.0,141571.0,0.0,0.0,0.0
126,Celtic Insurance Company,Nebraska,13484,0.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,0.0
127,Union Fidelity Life Insurance Company,Louisiana,13506,,,,,,,,,No,,,,,
128,Companion Life Insurance Company,Utah,13529,3.0,90.0,,,,,,,No,1580.0,0.0,,,
129,UnitedHealthcare Insurance Company,Georgia,13535,270.0,341405.0,0.0,32960.57,4133416.45,N/E,$-,"$4,168,453.84 ",No,276514.58,163690.47,9974.88,4898.34,58.32
130,Coventry Health & Life Insurance Company,Delaware,13537,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,672.39,0.0,0.0,0.0
131,Time Insurance Company,New Jersey,13574,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
132,The United States Life Ins. Co. in the City of New York,Delaware,13592,1688.0,,,,,,,,No,59229.0,39038.0,0.0,0.0,0.0
133,Blue Cross and Blue Shield of Vermont,Vermont,13627,335682.0,430074.0,19113905.0,12275443.0,-11694155.0,,,,Yes,177540136.0,159846403.0,28983496.0,2684200.0,709794.0
134,Trustmark Life Insurance Company,Arizona,13647,0.0,0.0,,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
135,"HealthPlus of Michigan, Inc.",Michigan,13667,54902.0,22123.0,912950.0,-4076071.0,76154.0,"$913,424.81 ","($4,076,070.63)","$83,736.21 ",Yes,11618996.0,15350630.0,2427147.0,231582.0,
136,American States Insurance Company,Texas,13685,,,,,,,,,No,,262695.47,,,
137,Liberty National Life Insurance Co,Virginia,13730,,,,,,,,,No,0.0,0.0,,,
138,Wilton Reassurance Company,Maryland,13817,59.0,,,,,,,,No,588.0,0.0,,,
139,Connecticut General Life Insurance Company,Kansas,13833,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,-1.0,0.0,0.0,0.0
140,Trustmark Insurance Company,Iowa,13857,,,,,,,,,No,,,,,
141,Wilton Reassurance Company,Nevada,13888,1006.0,,,,,,,,No,1161.0,0.0,,,
142,Time Insurance Company,Alabama,13939,8015.0,352.0,451876.0,-223260.0,-18833.0,"$452,110.79 ","($223,260.20)","($18,832.66)",No,3054325.0,2867433.0,556828.0,65294.0,0.0
143,AMERICAN FIDELITY ASSURANCE COMPANY,Illinois,13942,,,,,,,,,No,,,,,
144,UnitedHealthcare Insurance Company,Illinois,13947,2737.0,15.0,0.0,0.0,0.0,,,,No,1458596.99,1077446.36,399267.87,27308.98,14.36
145,Horizon Healthcare of New Jersey,New Jersey,13953,28.0,30059.0,,-946.0,3193511.0,$0.00 ,($945.51),"$3,193,510.84 ",Yes,187887.0,4024.0,63749.0,11132.0,
146,United American Insurance Co,New Jersey,13991,,,,,,,,,No,0.0,0.0,,,
147,"BlueCross BlueShield of Tennessee, Inc.",Tennessee,14002,2916902.0,2375943.0,125208363.0,22571331.0,5242634.0,"$125,248,679.99 ","$22,571,330.93 ","$5,242,633.55 ",Yes,1004649713.0,1134323885.0,311930355.0,46980207.0,
148,American Heritage Life Insurance Company,Mississippi,14014,,,,,,,,,No,0.0,0.0,,,
149,Time Insurance Company,Missouri,14026,134182.0,10270.0,3136726.0,3559222.0,-166225.0,"$3,138,358.14 ","$3,559,221.84 ","($166,224.74)",No,44627089.0,39018665.0,4368069.0,708724.0,-1304.0
150,Aetna Life Insurance Company,Louisiana,14030,778.0,15659.0,0.0,0.0,20006.7,N/E,$-,"$20,110.13 ",No,423520.1,166012.12,36342.96,6348.55,0.0
151,Mutual of Omaha Insurance Company,California,14091,,,,,,,,,No,,,,,
152,Transamerica Life Insurance Company,Maryland,14115,,,,,,,,,No,,,,,
153,Celtic Insurance Company,Idaho,14136,0.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,0.0
154,Standard Life and Accident Insurance Company,Michigan,14156,500.0,,,,,,,,No,64441.56,635.51,,,
155,United Healthcare Life Insurance Company,Missouri,14162,100794.0,0.0,3674807.14,1543008.5,0.0,"$3,675,197.04 ","$1,543,008.50 ",$-,No,39399622.39,37885711.01,8868684.0,1684066.86,0.0
156,Wilton Reassurance Company,Mississippi,14216,964.0,,,,,,,,No,1414.0,0.0,,,
157,American General Life Insurance Company,Alabama,14290,3564.0,,,,,,,,No,14094.0,3218.0,,,
158,American National Insurance Company,Minnesota,14327,2.0,,,,,,,,No,132.51,574.4204,,,
159,Connecticut General Life Insurance Company,Florida,14345,551337.0,0.0,0.0,0.0,0.0,,,,No,159116267.0,105759724.0,18713455.0,2498499.0,97761.0
160,Federated Mutual Insurance Company,West Virginia,14414,0.0,4189.0,0.0,0.0,109960.53,N/E,$-,"$109,960.53 ",No,0.0,0.0,0.0,0.0,0.0
161,Union Fidelity Life Insurance Company,North Carolina,14442,,,,,,,,,No,,,,,
162,Unified Life Insurance Company,Iowa,14459,0.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,0.0
163,The Prudential Insurance Company of America,Wyoming,14463,,,,,,,,,No,,,,,
164,"Coventry Health Care of Delaware, Inc.",Maryland,14468,568.0,104262.0,0.0,0.0,-6945127.9,N/E,$-,"($6,945,127.90)",No,11199.55,6216.41,4081.53,385.53,0.0
165,National Foundation Life Insurance Company,Iowa,14469,211.0,,0.0,0.0,,,,,No,70849.0,98459.0,0.0,0.0,0.0
166,Trustmark Insurance Company,California,14526,,,,,,,,,No,,,,,
167,Connecticut General Life Insurance Company,Maryland,14536,0.0,0.0,0.0,0.0,0.0,,,,No,1152.0,-5979.0,0.0,0.0,0.0
168,Companion Life Insurance Company,Wyoming,14609,33.0,,,,,,,,No,-21849.0,763.0,17633.0,,
169,"Madison National Life Insurance Company, Inc.",Pennsylvania,14615,,,,,,,,,No,0.0,0.0,,,
170,AMERICAN FIDELITY ASSURANCE COMPANY,Indiana,14617,,,,,,,,,No,,,,,
171,Time Insurance Company,Ohio,14650,69063.0,49025.0,2837710.0,2988966.0,472321.0,"$2,839,186.95 ","$2,988,966.30 ","$472,321.42 ",No,29587253.0,24954747.0,3369702.0,440032.0,-314.0
172,The Guardian Life Insurance Company of America,Washington,14711,83.0,,,,,,,,No,2908.0,3962.1940000000004,,,
173,Trustmark Insurance Company,Massachusetts,14717,,,,,,,,,No,,,,,
174,Humana Insurance Company,Rhode Island,14730,,,,,,,,,No,0.0,0.0,,,
175,Wilton Reassurance Company,Hawaii,14753,58.0,,,,,,,,No,59.0,0.0,,,
176,"Cigna HealthCare of Indiana, Inc.",Indiana,14808,7.0,0.0,0.0,0.0,0.0,,,,No,5488.0,178.0,0.0,0.0,0.0
177,Nippon Life Insurance Company of America,South Carolina,14820,,752.0,,,-166996.9,N/E,$-,"($166,996.90)",No,,,,,
178,Illinois Mutual Life Insurance Company,California,14823,,,,,,,,,No,,,,,
179,United Teachers Associates,Nebraska,14876,0.0,,,,,,,,No,0.0,0.0,,,
180,TransAmerica Premier Life Insurance,American Samoa,14936,,,,,,,,,No,0.0,0.0,,,
181,Reserve National Insurance Company,Idaho,14958,,,,,,,,,No,0.0,0.0,,,
182,The Prudential Insurance Company of America,Colorado,14970,,,,,,,,,No,,,,,
183,Union Security Insurance Company,West Virginia,15012,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
184,AMERICAN FIDELITY ASSURANCE COMPANY,Alabama,15039,,,,,,,,,No,,,,,
185,United Teachers Associates,Washington,15075,0.0,,,,,,,,No,0.0,0.0,,,
186,American States Insurance Company,California,15096,,,,,,,,,No,,9038.6,,,
187,New Era Life Insurance Company,Texas,15104,3016.0,,,,,,,,No,1012990.0,964221.0,,,
188,"Cigna HealthCare of Georgia, Inc.",Georgia,15105,0.0,70.0,0.0,0.0,0.0,,,,No,0.0,-14.0,0.0,0.0,0.0
189,The Prudential Insurance Company of America,Arizona,15189,,,,,,,,,No,,,,,
190,Hartford Life & Accident Insurance Company,Louisiana,15197,12.0,,0.0,0.0,,,,,No,209.0,63.04,0.0,0.0,0.0
191,Central United Life Insurance Company,Massachusetts,15218,,,,,,,,,No,,,,,
192,Blue Cross & Blue Shield of Rhode Island,Rhode Island,15287,297884.0,586445.0,11360205.38,9680258.57,5753305.59,"$11,366,007.86 ","$9,680,258.57 ","$5,753,305.59 ",Yes,136771861.0,118616160.3,30284224.0,3477719.4,
193,State Farm Mutual Automobile Insurance Company,Michigan,15299,757.0,0.0,0.0,0.0,0.0,,,,No,307771.03,220137.49,0.0,0.0,0.0
194,"AmeriHealth HMO, Inc.",Delaware,15310,,,,,,,,,No,0.0,0.0,,,
195,Transamerica Life Insurance Company,Wyoming,15331,,,,,,,,,No,,,,,
196,Philadelphia American Life Insurance Company,Vermont,15406,,,,,,,,,No,,,,,
197,"Humana Health Plan, Inc.",Kentucky,15411,189064.0,624026.0,6817802.85,3404519.29,-1964729.71,"$6,821,351.04 ","$3,404,519.29 ","($1,964,729.71)",No,62179410.63,55892517.14,10127871.89,1157143.79,778.41
198,Union Fidelity Life Insurance Company,Tennessee,15419,,,,,,,,,No,,,,,
199,Liberty Mutual Insurance Company,Maryland,15424,,,,,,,,,No,,,,,
200,"Coventry Health Care of Nebraska, Inc.",Nebraska,15438,547175.0,131042.0,19987007.51,-13630630.99,-516160.25,"$19,997,409.37 ","($13,630,630.99)","($516,160.25)",No,178861441.5,190002625.7,20798846.75,1250008.78,0.0
201,United American Insurance Co,Nebraska,15515,,,,,,,,,No,0.0,0.0,,,
202,"Humana Health Plan, Inc.",Arkansas,15517,,,,,,,,,No,0.0,0.0,,,
203,Pekin Life Insurance Company,Georgia,15551,,,,,,,,,No,0.0,0.0,,,
204,Blue Cross Blue Shield of Michigan Mutual Insurance Company,Michigan,15560,1553522.0,2089156.0,79260623.26,79246388.6,10801181.83,"$79,301,872.92 ","$84,043,000.54 ","$11,876,518.15 ",Yes,786365319.6,680168155.8,122686185.0,10114687.89,0.0
205,Union Fidelity Life Insurance Company,Pennsylvania,15569,,,,,,,,,No,,,,,
206,"Piedmont Community HealthCare, Inc.",Virginia,15668,27231.0,11027.0,1360580.0,435467.0,403668.0,"$1,361,288.18 ","$435,467.30 ","$403,667.61 ",No,13313114.0,10912977.0,2198095.0,142229.0,
207,Celtic Insurance Company,New Jersey,15696,0.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,0.0
208,Globe Life and Accident Insurance Co,Idaho,15775,,,,,,,,,No,0.0,0.0,,,
209,The Guardian Life Insurance Company of America,Florida,15833,429.0,,,,,,,,No,25010.0,254165.28399999999,,,
210,Medica Health Plans,Minnesota,15847,270.0,0.0,,,,,,,Yes,564222.05,612332.47,,,
211,Celtic Insurance Company,Hawaii,15978,0.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,0.0
212,Humana Insurance Company,Florida,15980,37.0,,,-279.3,,$0.00 ,($279.30),$-,No,44319.53,-11362466.14,6611.38,2383.32,0.81
213,TransAmerica Premier Life Insurance,Tennessee,16000,,,,,,,,,No,0.0,0.0,,,
214,All Savers Insurance Company,Missouri,16049,299911.0,0.0,10198103.34,-10361029.92,0.0,"$10,203,410.75 ","($10,361,029.92)",$-,No,110660724.1,109717536.7,12564355.38,2910675.57,2415.14
215,"Anthem Health Plans of Virginia, Inc.",Virginia,16064,985484.0,1416206.0,0.0,0.0,27889957.52,N/E,$-,"$27,889,957.52 ",No,217812829.0,165992563.8,19751237.62,3906577.73,0.0
216,Coventry Health & Life Insurance Company,Pennsylvania,16072,3060.0,4731.0,0.0,0.0,-101341.74,$0.00 ,$-,"($101,341.75)",No,300025.67,254744.52,406.34,2.7,0.0
