,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
134,13535,UnitedHealthcare Insurance Company,GA,N/E,$-,"$2,215,054.29"
135,24775,Celtic Insurance Company,GA,$0.00,"($1,334.54)",$-
136,30552,UnitedHealthcare Insurance Company of the River Valley,GA,N/E,$-,"($5,376,525.71)"
137,37001,Humana Insurance Company,GA,$0.00,"($131,960.47)","$644,608.47"
138,38835,Federated Mutual Insurance Company,GA,N/E,$-,"$717,318.50"
139,43802,"UnitedHealthcare of Georgia, Inc.",GA,"$10,095,250.90","$26,478,561.73","($378,394.27)"
140,49046,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,"$31,779,370.22","($26,403,372.35)","$1,830,323.65"
141,50491,Cigna Health and Life Insurance Company,GA,"$1,923,749.48","($770,019.98)",$-
142,63411,"Blue Cross and Blue Shield of Georgia, Inc.",GA,N/E,$-,"$2,429,075.84"
143,65890,Coventry Health and Life,GA,N/E,$-,"($33,628.54)"
144,70893,Ambetter of Peach State,GA,"$3,618,457.84","($76,682,881.13)",$-
145,72796,Freedom Life Insurance Company of America,GA,$0.00,"($5,238.21)",$-
146,74189,UnitedHealthcare Life Insurance Company,GA,"$380,604.01","$368,431.18",$-
147,82302,Kaiser Permanente Insurance Company,GA,N/E,$-,"($12,680.30)"
148,82824,Aetna Health Inc. (a GA corp.),GA,"$12,594,972.21","($49,061,684.16)","($5,012,021.19)"
149,83761,Alliant Health Plans,GA,"$4,838,655.10","$6,096,822.55","($246,485.61)"
150,83978,Aetna Life Insurance Company,GA,"$7,209,783.66","($7,286,899.98)","$11,869,948.22"
151,89942,"Kaiser Foundation Health Plan of Georgia, Inc.",GA,"$6,557,804.67","($16,261,579.31)","($2,129,295.27)"
152,93332,"Humana Employers Health Plan of Georgia, Inc.",GA,"$91,484,441.32","$143,941,804.74","($6,580,193.74)"
153,95852,Harken Health Insurance Company,GA,"$3,731,952.84","($280,650.18)","($1,041.78)"
154,14479,Family Health Hawaii mbs,HI,N/E,$-,"($939,110.78)"
155,18350,Hawaii Medical Service Association,HI,"$10,348,585.13","$16,511,893.78","$11,809,305.09"
156,54179,UnitedHealthcare Insurance Company,HI,N/E,$-,"$11,551.76"
157,56682,Hawaii Medical Assurance Association,HI,N/E,$-,"$65,520.51"
158,60612,"Kaiser Foundation Health Plan, Inc.",HI,"$2,908,866.08","($16,511,893.77)","($7,404,335.42)"
159,95366,University Health Alliance,HI,N/E,$-,"($3,542,931.19)"
160,18973,Aetna Health Inc. (a IA corp.),IA,"$8,633,362.73","($10,630,845.15)","($547,628.54)"
161,25896,"Wellmark Health Plan of Iowa, Inc",IA,"$809,644.81","($5,781,185.31)","($3,821,568.70)"
162,27651,"Gundersen Health Plan, Inc.",IA,"$129,669.29","$365,003.85","($143,577.92)"
163,41397,Federated Mutual Insurance Company,IA,N/E,$-,"$296,594.53"
164,50735,Medical Associates Health Plans,IA,N/E,$-,"$197,922.92"
165,51474,Pekin Life Insurance Company,IA,N/E,$-,"($235,836.64)"
166,51820,Coventry Health and Life,IA,N/E,$-,"($1,783.49)"
167,51902,"UnitedHealthcare of the Midlands, Inc.",IA,"$2,982,254.78","($2,226,287.05)",$-
168,56610,"UnitedHealthcare Plan of the River Valley, Inc.",IA,N/E,$-,"$697,193.19"
169,72160,"Wellmark, Inc",IA,"$10,380,245.12","$18,333,352.61","$4,987,083.29"
170,74980,"Avera Health Plans, Inc.",IA,"$68,679.80","$248,195.33","($83,219.11)"
171,77638,"Health Alliance Midwest, Inc.",IA,N/E,$-,"($31,283.34)"
172,81839,UnitedHealthcare Life Insurance Company,IA,"$119,924.56","($248,705.20)",$-
173,85930,Sanford Health Plan,IA,$0.00,$-,"($48,830.67)"
174,88678,UnitedHealthcare Insurance Company,IA,N/E,$-,"($1,265,065.53)"
175,93078,Medica Insurance Company,IA,"$559,351.02","($59,528.99)",$-
176,26002,SelectHealth,ID,"$12,396,300.65","$2,728,291.54","($1,742,435.08)"
177,38128,Montana Health Cooperative,ID,"$2,870,073.66","($8,100,585.26)","($189,468.28)"
178,43541,National Health Insurance Company,ID,N/E,$-,"($211,403.47)"
179,44648,Regence Blue Shield of Idaho,ID,"$764,325.42","($319,665.28)","($1,115,977.31)"
180,50118,UnitedHealthcare Insurance Company,ID,N/E,$-,"$139,603.64"
181,59765,BridgeSpan Health Company (ID),ID,"$1,020,878.60","($6,574,515.53)",$-
182,60597,PacificSource Health Plans,ID,"$38,751.09","$303,111.16","($116,759.35)"
183,61175,Altius Health Plans Inc.,ID,N/E,$-,"$110,858.26"
184,61589,Blue Cross of Idaho,ID,"$14,007,899.33","$11,963,363.34","$3,125,581.67"
185,16724,"UnitedHealthcare of the Midwest, Inc.",IL,"$2,237,882.20","($2,438,597.21)",$-
186,18389,Pekin Life Insurance Company,IL,N/E,$-,"($303,027.88)"
187,20129,"Health Alliance Medical Plans, Inc.",IL,"$10,389,731.85","$1,925,800.26","$572,733.12"
188,24301,Medical Associates Health Plans,IL,N/E,$-,"($171,931.50)"
189,27833,Celtic Insurance Company,IL,"$378,771.57","($61,352,776.51)",$-
190,34446,UnitedHealthcare Insurance Company of the River Valley,IL,N/E,$-,"$632,447.67"
191,35670,Coventry Health and Life,IL,"$2,361,904.97","$2,420,350.88","$359,296.65"
192,36096,Blue Cross Blue Shield of Illinois,IL,"$108,205,116.56","$36,348,043.52","$6,244,224.14"
193,42529,"UnitedHealthcare of Illinois, Inc.",IL,N/E,$-,"($547,051.46)"
194,53586,Nippon Life Insurance Company of America,IL,N/E,$-,($182.34)
195,58239,"UnitedHealthcare Plan of the River Valley, Inc.",IL,N/E,$-,"($646,169.48)"
196,58288,"Humana Health Plan, Inc.",IL,"$889,216.13","$1,493,121.70","($2,268,324.01)"
197,66143,Federated Mutual Insurance Company,IL,N/E,$-,"($343,024.90)"
198,66303,UnitedHealthcare Life Insurance Company,IL,"$660,431.60","$904,689.42",$-
199,68303,Humana Insurance Company,IL,$0.00,$-,"$2,376,088.32"
200,72547,Aetna Life Insurance Company,IL,"$2,158,123.97","($7,044,744.34)","$1,102,953.11"
201,78463,Harken Health Insurance Company,IL,"$12,226,130.79","$19,685,102.97","($13,530.38)"
202,79763,Land of Lincoln Mutual Health Insurance Company,IL,"$9,157,710.03","($11,963,347.32)","($9,752,011.63)"
203,82506,Freedom Life Insurance Company of America,IL,$0.00,"$48,327.14",$-
204,92476,UnitedHealthcare Insurance Company of Illinois,IL,N/E,$-,"$2,021,972.27"
205,96601,"Coventry Health Care of Illinois, Inc.",IL,"$14,270,273.67","$35,950,670.67","$728,924.09"
206,99129,Aetna Health Inc. (a PA corp.),IL,"$1,221,767.25","($15,976,640.99)","$6,614.37"
207,11104,Federated Mutual Insurance Company,IN,N/E,$-,"$505,888.05"
208,17575,Anthem Ins Companies Inc(Anthem BCBS),IN,"$24,145,897.47","$23,453,648.50","$11,000,596.02"
209,20855,"Advantage Health Solutions, Inc.",IN,N/E,$-,"($146,514.00)"
210,32378,Aetna Life Insurance Company,IN,N/E,$-,"($325,097.82)"
211,33380,"Indiana University Health Plans, Inc",IN,"$3,082,188.68","($38,452,436.14)","($375,536.06)"
212,36373,All Savers Insurance Company,IN,"$11,167,169.27","$33,816,665.08","$5,460.99"
213,43070,UnitedHealthcare Life Insurance Company,IN,"$10,046,546.69","($3,573,506.68)",$-
214,43442,Humana Health Plan,IN,N/E,$-,"$63,336.28"
215,50816,"Physicians Health Plan of Northern Indiana, Inc.",IN,"$2,286,473.37","($2,126,520.47)","($124,000.57)"
216,54192,"CareSource Indiana, Inc",IN,"$3,002,557.32","($15,288,511.46)",$-
217,62033,MDwise Marketplace Inc.,IN,"$6,092,060.35","($457,849.10)",$-
218,67920,Southeastern Indiana Health Organization,IN,"$40,069.71","($583,807.56)","($633,214.19)"
219,72850,UnitedHealthcare Insurance Company,IN,N/E,$-,"($10,746,407.83)"
220,76179,Celtic Insurance Company,IN,"$2,148,267.03","$3,089,884.00",$-
221,79828,Pekin Life Insurance Company,IN,N/E,$-,"($285,888.78)"
222,98761,Nippon Life Insurance Company of America,IN,N/E,$-,"($107,606.64)"
223,99791,Humana Insurance Company,IN,"$6,361.47","$122,433.72","$1,168,984.38"
224,18558,"Blue Cross and Blue Shield of Kansas, Inc",KS,"$11,808,950.32","$31,581,487.09","($649,337.25)"
225,19968,Humana Insurance Company,KS,$0.00,"$1,652.45","$2,126,319.62"
226,27811,"Blue Cross and Blue Shield of Kansas, Inc",KS,"$9,049,900.15","($25,030,909.74)","($1,212,849.04)"
227,34368,Celtic Insurance Company,KS,$0.00,"$9,128.22",$-
228,41446,UnitedHealthcare Life Insurance Company,KS,"$92,547.10","($134,489.36)",$-
229,49857,"Humana Health Plan, Inc.",KS,N/E,$-,"($32,854.53)"
230,50274,"UnitedHealthcare of the Midwest, Inc.",KS,"$2,190,404.93","($6,918,671.85)",$-
231,54822,Freedom Life Insurance Company of America,KS,$0.00,($334.95),$-
232,57850,Aetna Health Inc. (a PA corp.),KS,N/E,$-,"($738,798.19)"
233,61430,Coventry Health and Life,KS,"$3,045,695.42","($11,830,329.41)","($14,621.47)"
234,65598,Coventry Health Care,KS,"$525,206.15","($2,303,279.85)","($618,249.46)"
235,84600,Aetna Life Insurance Company,KS,N/E,$-,"$190,344.76"
236,94248,Blue Cross and Blue Shield of Kansas City,KS,"$10,536,962.27","$14,625,747.47","$1,720,681.91"
237,94968,UnitedHealthcare Insurance Company,KS,N/E,$-,"($164,494.80)"
238,96352,Federated Mutual Insurance Company,KS,N/E,$-,"($606,141.63)"
239,15411,"Humana Health Plan, Inc.",KY,"$3,650,974.52","$4,158,571.20","($2,971,979.56)"
240,23671,"UnitedHealthcare of Kentucky, Ltd.",KY,"$925,945.86","$3,445,308.96","($2,631,108.88)"
241,28773,UnitedHealthcare Insurance Company,KY,N/E,$-,"($222,329.46)"
242,34822,Aetna Health Inc. (a PA corp.),KY,"$1,881.63","($1,109,860.03)",$-
243,36239,Anthem Health Plans of KY(Anthem BCBS),KY,"$18,494,891.83","$6,598,201.98","$7,952,464.11"
244,40586,Bluegrass Family Health,KY,"$945,747.27","($9,882,852.36)","($1,696,866.11)"
245,45636,CareSource Kentucky Co.,KY,"$954,253.69","($6,276,507.50)",$-
246,45920,"UnitedHealthcare of Ohio, Inc.",KY,N/E,$-,"($430,179.98)"
247,47949,Golden Rule Insurance Company,KY,"$125,485.16","($458,879.82)",$-
248,56744,UnitedHealthcare Life Insurance Company,KY,"$783,885.23","$3,947,860.40",$-
249,72001,"WELLCARE HEALTH PLANS OF KENTUCKY, INC",KY,"$81,208.69","($421,842.76)",$-
250,14030,Aetna Life Insurance Company,LA,N/E,$-,"$123,351.62"
251,19636,"HMO Louisiana, Inc.",LA,"$11,110,876.79","($46,288,576.05)","($1,630,163.09)"
252,19913,Freedom Life Insurance Company of America,LA,"$84,736.66","$107,216.79",$-
253,22381,Coventry Health and Life,LA,N/E,$-,"($113,751.90)"
254,38499,"UnitedHealthcare of Louisiana, Inc.",LA,"$9,458,361.87","($6,169,146.20)","$847,159.64"
255,44965,"Humana Health Benefit Plan of Louisiana, Inc.",LA,"$4,491,146.79","($32,450,558.97)","($6,832,225.23)"
256,53946,UnitedHealthcare Insurance Company of the River Va,LA,N/E,$-,"($94,119.45)"
257,66593,UnitedHealthcare Life Insurance Company,LA,"$105,487.33","($1,690,229.40)",$-
258,67243,Vantage Health Plan,LA,"$3,635,462.07","($9,974,637.20)","$206,362.72"
259,69842,UnitedHealthcare Insurance Company,LA,N/E,$-,"($1,019,726.31)"
260,81941,Aetna Health Inc. (a LA corp.),LA,"$664,684.81","($6,121,430.71)","($644,489.03)"
261,93653,All Savers Insurance Company,LA,N/E,$-,"($1,098.79)"
262,97176,Louisiana Health Service & Indemnity Company,LA,"$27,115,074.86","$102,587,361.66","$9,158,699.82"
263,24675,"Blue Cross and Blue Shield of Massachusetts, Inc.",MA,"$82,290.16",N/A_MA_Issuer,N/A_MA_Issuer
264,29125,Tufts Associated Health Maintenance Organization Inc.,MA,"$5,199,875.77",N/A_MA_Issuer,N/A_MA_Issuer
265,31234,CeltiCare Health Plan of Massachusetts,MA,"$1,877.17",N/A_MA_Issuer,N/A_MA_Issuer
266,31779,UnitedHealthcare Insurance Company,MA,"$284,246.24",N/A_MA_Issuer,N/A_MA_Issuer
267,34484,Health New England,MA,"$1,201,283.84",N/A_MA_Issuer,N/A_MA_Issuer
268,36046,Harvard Pilgrim Health Care Inc.,MA,"$4,809,705.87",N/A_MA_Issuer,N/A_MA_Issuer
269,38712,Tufts Associated Health Maintenance Organization Inc.,MA,"$421,450.61",N/A_MA_Issuer,N/A_MA_Issuer
270,41304,"Neighborhood Health Plan, Inc",MA,"$16,412,212.24",N/A_MA_Issuer,N/A_MA_Issuer
271,42690,"Blue Cross and Blue Shield of Massachusetts HMO Blue, Inc.",MA,"$17,178,148.51",N/A_MA_Issuer,N/A_MA_Issuer
272,52710,Fallon Life and Health Assurance Co,MA,"$62,239.08",N/A_MA_Issuer,N/A_MA_Issuer
273,59763,"Tufts Health Public Plans, Inc.",MA,"$4,141,413.43",N/A_MA_Issuer,N/A_MA_Issuer
274,73331,"Minuteman Health, Inc.",MA,"$368,156.26",N/A_MA_Issuer,N/A_MA_Issuer
275,82569,"Boston Medical Center Health Plan, Inc.",MA,"$1,568,492.99",N/A_MA_Issuer,N/A_MA_Issuer
276,88806,Fallon Community Health Plan,MA,"$915,565.55",N/A_MA_Issuer,N/A_MA_Issuer
277,88950,ConnectiCare of Massachusetts Inc.,MA,$0.00,N/A_MA_Issuer,N/A_MA_Issuer
278,95878,HPHC Insurance Company Inc.,MA,"$2,766,034.85",N/A_MA_Issuer,N/A_MA_Issuer
279,14468,"Coventry Health Care of Delaware, Inc.",MD,N/E,$-,"($454,038.82)"
280,23620,UnitedHealthcare Insurance Company,MD,N/E,$-,"($1,895,792.87)"
281,28137,CareFirst BlueChoice,MD,"$30,916,285.31","($9,848,840.41)","($6,824,378.98)"
282,31112,"UnitedHealthcare of the Mid-Atlantic, Inc.",MD,"$1,196,462.13","($4,726,063.80)","($2,228,250.33)"
283,32812,Cigna Health and Life Insurance Company,MD,"$456,704.97","$1,770,732.37",$-
284,36677,All Savers Insurance Company,MD,"$576,817.20","$1,316,533.03",$-
285,45532,CareFirst of Maryland,MD,"$9,220,852.27","$21,010,173.45","$9,161,612.58"
286,65635,MAMSI Life and Health Insurance Company,MD,N/E,$-,"($2,805,605.00)"
287,66516,Aetna Health Inc. (a PA corp.),MD,N/E,$-,"($1,109,601.09)"
288,68541,Coventry Health and Life,MD,N/E,$-,"($540,405.53)"
289,70767,Aetna Life Insurance Company,MD,N/E,$-,"($904,266.78)"
