,Unnamed: 0,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
49,49,88925,"University of Arizona Health PlansUniversity Healthcare, Inc.",AZ,462107.70,-9792044.00,N/A
50,50,90169,United Healthcare Life Insurance Company,AZ,737557.05,784206.91,N/A
51,51,91450,"Health Net of Arizona, Inc.",AZ,12618510.62,1953496.40,-4432593.99
52,52,92045,Meritus Mutual Health Partners,AZ,3283274.80,-558586.58,-1913246.31
53,53,97667,"Cigna HealthCare of Arizona, Inc.",AZ,N/A,N/A,-56070.83
54,54,98971,All Savers Insurance Company,AZ,4524839.43,2979667.72,23085.14
55,55,18126,Molina Healthcare of California,CA,1229750.90,-25983024.62,N/A
56,56,20523,Aetna Health of California Inc.,CA,N/A,N/A,-55802137.54
57,57,27330,Kaiser Permanente Insurance Company,CA,N/A,N/A,765550.26
58,58,27603,Blue Cross of California (Anthem BC),CA,324961807.80,-26380560.05,98210694.17
59,59,35305,Trustmark Life Insurance Company,CA,0.00,-165775.07,N/A
60,60,40025,Cigna Health and Life Insurance Company,CA,17577518.16,5953639.83,N/A
61,61,40513,"Kaiser Foundation Health Plan, Inc.",CA,193562111.34,-82078859.73,-86677086.30
62,62,40733,Aetna Life Insurance Company,CA,N/A,N/A,26507101.90
63,63,47579,Chinese Community Health Plan,CA,2643378.04,-28712244.96,-1540479.60
64,64,49116,UHC of California,CA,N/A,N/A,-1290603.41
65,65,56887,"County of Ventura, dba Ventura County Health Care Plan",CA,0.00,N/A,358925.34
66,66,64198,Time Insurance Company,CA,65114354.38,63308434.85,N/A
67,67,64210,"Sutter Health Plan, Inc.",CA,184454.94,309874.09,-3431344.78
68,68,64618,National Health Insurance Company,CA,0.00,N/A,-161102.44
69,69,67138,"Health Net of California, Inc.",CA,41878401.12,-125635855.94,-9525637.47
70,70,68744,Humana Insurance Company,CA,N/A,N/A,23570.86
71,71,70285,CA Physician's Service dba Blue Shield of CA,CA,282280000.74,181516598.98,19822043.90
72,72,71408,"Moda Health Plan, Inc.",CA,0.00,-40592.40,N/A
73,73,84014,County of Santa Clara,CA,505055.64,-115235.31,N/A
74,74,92499,Sharp Health Plan,CA,9641668.97,9791489.44,-5238158.44
75,75,92815,Local Initiative Health Authority for Los Angeles County,CA,175487.58,-23491264.75,N/A
76,76,93689,Western Health Advantage,CA,6086089.44,-1713529.97,3553914.02
77,77,95677,United Healthcare Insurance Company,CA,N/A,N/A,3006738.38
78,78,99110,Health Net Life Insurance Company,CA,94298229.42,53436905.52,11418011.12
79,79,11555,New Health Ventures Inc.,CO,389660.27,173278.24,N/A
80,80,20472,"Colorado Health Insurance Cooperative, Inc.",CO,38644223.02,-41180913.97,-819602.44
81,81,21032,Kaiser Foundation Health Plan of Colo.,CO,20531573.09,-7630792.84,951160.48
82,82,28700,Freedom Life Insurance,CO,49032.11,98569.13,N/A
83,83,35944,Kaiser Permanente Insurance Company,CO,N/A,N/A,-124133.71
84,84,39060,Time Insurance Company,CO,5900435.49,6541514.95,N/A
85,85,49375,Cigna Health and Life Insurance Company,CO,6428383.90,10417522.17,N/A
86,86,59036,"United Healthcare of Colorado, Inc.",CO,N/A,N/A,-1520187.65
87,87,63312,Colorado Choice Health Plans,CO,4663399.18,1562462.46,-1750013.59
88,88,66699,"Denver Health Medical Plan, Inc.",CO,90409.74,2379976.29,N/A
89,89,67879,United Healthcare Insurance Company,CO,N/A,N/A,979323.74
90,90,74320,Humana Health Plan,CO,7610460.53,6064407.53,3278864.95
91,91,76680,HMO Colorado Inc.(Anthem BCBS),CO,9016342.55,29925.42,-1803127.62
92,92,79509,Humana Insurance Company,CO,1441661.37,664060.25,-95294.25
93,93,80208,Rocky Mountain Health Care Options,CO,N/A,N/A,4347588.59
94,94,87269,Rocky Mountain Hos & Med Svc(Anthem BCBS),CO,3299621.05,-318263.67,-1239886.17
95,95,92137,All Savers Insurance Company,CO,73070.96,168907.50,N/A
96,96,92291,United Healthcare Life Insurance Company,CO,1254457.98,2513503.26,N/A
97,97,97879,Rocky Mountain HMO,CO,32876127.89,18515843.40,-2204692.42
98,98,29462,"Oxford Health Insurance, Inc.",CT,N/A,N/A,5162193.87
99,99,39159,Aetna Life Insurance Company,CT,4541714.71,-621770.44,-610884.79
100,100,40591,Golden Rule Insurance Company,CT,1961478.89,-164216.71,N/A
101,101,49650,United Healthcare Insurance Company,CT,1988516.54,1159270.36,-291961.23
102,102,71179,"Oxford Health Plans (CT), Inc.",CT,N/A,N/A,-1834583.56
103,103,75091,"ConnectiCare, Inc.",CT,26556.12,-1899004.88,-6351.77
104,104,76962,"ConnectiCare Benefits, Inc.",CT,20626712.98,4456584.71,N/A
105,105,85732,United Healthcare Life Insurance Company,CT,1061181.93,2156886.02,N/A
106,106,86542,Time Insurance Company,CT,2418852.61,905352.48,N/A
107,107,86545,Anthem Health Plans Inc.(Anthem BCBS),CT,37785526.05,25538509.66,25341838.53
108,108,87354,Cigna Health and Life Insurance Company,CT,949372.27,1551767.81,N/A
109,109,89130,"HPHC Insurance Company, Inc.",CT,N/A,N/A,-9781592.11
110,110,91069,"HealthyCT, Inc.",CT,11444255.56,-6912671.83,-6459820.49
111,111,94815,"ConnectiCare Insurance Company, Inc.",CT,17813284.44,-26170707.17,-10932640.17
112,112,95882,"Harvard Pilgrim Health Care of Connecticut, Inc.",CT,N/A,N/A,-586198.35
113,113,21066,United Healthcare of the MidAtlantic Inc.,DC,N/A,N/A,-46276.28
114,114,41842,United Healthcare Insurance Company,DC,N/A,N/A,-389192.26
115,115,73987,Aetna Health Inc. (a PA corp.),DC,N/A,N/A,-905578.03
116,116,75753,"Optimum Choice, Inc.",DC,N/A,N/A,-171150.38
117,117,77422,Aetna Life Insurance Company,DC,26064.57,-254043.25,-335906.75
118,118,78079,GHMSI,DC,2536672.32,3510581.06,15545279.98
119,119,86052,"CareFirst Blue Choice, Inc.",DC,3019983.96,-1630614.05,-10757047.29
120,120,94506,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,493042.61,-1625923.79,-2940128.99
121,121,29497,Aetna Life Insurance Company,DE,983449.95,-1832345.10,-241246.17
122,122,61021,United Healthcare Insurance Company,DE,N/A,N/A,67458.83
123,123,67190,Aetna Health Inc. (a PA corp.),DE,729231.60,-743159.52,-557909.15
124,124,76168,Highmark BCBSD Inc.,DE,20873452.39,2779948.94,2329735.02
125,125,78960,John Alden Life Insurance Company,DE,N/A,N/A,-5432.47
126,126,81914,"Coventry Health Care of Delaware, Inc.",DE,0.00,N/A,-1468781.32
127,127,89587,Golden Rule Insurance Company,DE,53670.03,-245126.83,N/A
128,128,97569,"Optimum Choice, Inc.",DE,N/A,N/A,-112992.65
129,129,97889,Time Insurance Company,DE,101848.85,40682.47,-10832.08
130,130,15980,Humana Insurance Company,FL,0.00,-279.30,N/A
131,131,16842,Blue Cross and Blue Shield of Florida,FL,203599485.48,368933330.53,8102147.17
132,132,17341,United Healthcare Life Insurance Company,FL,14728924.87,10189460.60,N/A
133,133,18628,Aetna Health Inc. (a FL corp.),FL,10355176.30,-28025200.75,5437975.83
134,134,19898,"AvMed, Inc.",FL,3802605.77,-148477.46,-3997943.28
135,135,21663,Celtic Insurance Company,FL,110307.61,193747.70,N/A
136,136,23841,Aetna Life Insurance Company,FL,731083.64,-2790586.53,1289962.56
137,137,27357,"Health First Health Plans, Inc.",FL,3437519.88,814327.97,668492.53
138,138,30252,"Health Options, Inc.",FL,50025871.14,81745567.90,-4176090.84
139,139,35783,"Humana Medical Plan, Inc.",FL,136763089.09,-135056370.83,-11511826.07
140,140,40442,Freedom Life Insurance,FL,441201.84,544782.95,N/A
141,141,41240,John Alden Life Insurance Company,FL,N/A,N/A,6445.09
142,142,42204,All Savers Insurance Company,FL,N/A,N/A,-125918.62
143,143,43839,United Healthcare Insurance Company,FL,N/A,N/A,4051544.19
144,144,48121,Cigna Health and Life Insurance Company,FL,82668892.23,73421679.32,N/A
145,145,51398,"Preferred Medical Plan, Inc.",FL,11384479.83,-62496825.44,N/A
146,146,54172,"Molina Healthcare of Florida, Inc.",FL,19011514.77,-218903904.11,N/A
147,147,56503,"Florida Health Care Plan, Inc.",FL,2184914.09,2314125.36,528571.04
148,148,57451,"Coventry Health Care of Florida, Inc.",FL,56890286.23,-110567546.03,973155.25
149,149,62662,Time Insurance Company,FL,76081687.71,35074237.06,-112612.60
150,150,66966,Capital Health Plan,FL,N/A,N/A,3951692.24
151,151,68398,"United Healthcare of Florida, Inc.",FL,75440222.47,14572435.15,-4380861.24
152,152,76089,Coventry Health and Life Insurance Co.,FL,N/A,N/A,-31756.97
153,153,77150,"Health First Insurance, Inc.",FL,649423.12,700760.10,-210737.71
154,154,80779,"Neighborhood Health Partnership, Inc.",FL,N/A,N/A,-338156.26
155,155,83883,Florida Health Solution HMO Company,FL,0.00,-166901.91,N/A
156,156,86382,Sunshine State Health Plan,FL,1183808.05,-26584661.51,N/A
157,157,92120,"Coventry Health Plan of Florida, Inc.",FL,489283.73,-1502492.36,N/A
158,158,99308,"Humana Health Insurance Co of FL, Inc.",FL,1206173.54,-2261208.38,-124082.70
159,159,12442,Nippon Life Insurance Company of America,GA,N/A,N/A,128961.93
160,160,13535,United Healthcare Insurance Company,GA,N/A,N/A,4137883.14
161,161,20544,Time Insurance Company,GA,12623716.18,10590785.72,-244793.03
162,162,24775,Celtic Insurance Company,GA,0.00,1983.90,N/A
163,163,30552,United Healthcare Ins Co of River Valley,GA,N/A,N/A,-1853417.85
164,164,37001,Humana Insurance Company,GA,1389389.80,1622203.69,300433.17
165,165,38835,Federated Mutual Insurance Company,GA,N/A,N/A,-840870.47
166,166,43802,"United Healthcare of Georgia, Inc.",GA,10981664.80,9760768.12,-117926.66
167,167,45495,Peach State Health Plan,GA,2157601.74,-13768906.67,N/A
168,168,47783,"Coventry Health Care of Georgia, Inc.",GA,20306783.02,-58546619.35,-1390240.05
169,169,49046,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,31989248.98,-15389290.74,2584861.27
170,170,50313,John Alden Life Insurance Company,GA,N/A,N/A,122682.81
171,171,50491,Cigna Health and Life Insurance Company,GA,3608644.78,3938467.33,N/A
172,172,63411,"Blue Cross and Blue Shield of Georgia, Inc.",GA,N/A,N/A,2848669.07
173,173,65890,Coventry Health and Life,GA,N/A,N/A,-234988.55
174,174,72796,Freedom Life Insurance,GA,0.00,370.93,N/A
175,175,74189,United Healthcare Life Insurance Company,GA,960744.87,586323.62,N/A
176,176,82302,Kaiser Permanente Insurance Company,GA,N/A,N/A,54334.57
177,177,82824,Aetna Health Inc. (a GA corp.),GA,N/A,N/A,-4618662.88
178,178,83761,Alliant Health Plans,GA,10066488.59,4679043.57,-6351.51
179,179,83978,Aetna Life Insurance Company,GA,6805223.19,-14644018.02,3119300.93
180,180,89942,Kaiser Foundation Health Plan of Georgia,GA,8688372.43,2627520.08,-779971.96
181,181,93332,"Humana Employers Health Plan of Georgia, Inc.",GA,213455181.26,68541368.02,-3209903.85
182,182,14479,Family Health Hawaii mbs,HI,N/A,N/A,-462123.43
183,183,18350,Hawaii Medical Service Association,HI,16190299.17,15467100.50,7322488.29
184,184,54179,United Healthcare Insurance Company,HI,N/A,N/A,-24645.33
185,185,56682,Hawaii Medical Assurance Association,HI,N/A,N/A,662917.71
186,186,60612,"Kaiser Foundation Health Plan, Inc.",HI,5417862.44,-15467100.50,-6719908.37
187,187,95366,University Health Alliance (UHA),HI,N/A,N/A,-778728.87
188,188,18973,Coventry Health Care of Iowa Inc.,IA,23491160.98,-10780079.07,459305.01
189,189,25896,Wellmark Health Plan of Iowa,IA,1963170.11,-4391485.66,-1170299.82
190,190,27651,"Gundersen Health Plan, Inc.",IA,169590.23,160860.73,26939.77
191,191,41397,Federated Mutual Insurance Company,IA,N/A,N/A,-76811.45
192,192,50735,Medical Associates Health Plans,IA,0.00,N/A,370973.92
193,193,51474,Pekin Life Insurance Company,IA,N/A,N/A,29025.45
194,194,51820,Coventry Health and Life Insurance Co.,IA,0.00,N/A,-13857.81
195,195,56610,"United Healthcare Plan of the River Valley, Inc.",IA,N/A,N/A,855194.75
196,196,67580,John Alden Life Insurance Company,IA,N/A,N/A,39118.81
197,197,68184,Time Insurance Company,IA,790041.27,-244924.54,-47915.07
198,198,71268,CoOportunity Health,IA,520740.41,-1753954.62,-3537357.91
199,199,72160,Wellmark Inc.,IA,15290589.10,16573829.24,3724624.74
200,200,74980,"Avera Health Plans, Inc.",IA,273949.53,435753.94,-22573.51
201,201,77638,"Health Alliance Midwest, Inc.",IA,N/A,N/A,-8581.91
202,202,85930,Sanford Health Plan,IA,N/A,N/A,-19387.07
203,203,88678,United Healthcare Insurance Company,IA,N/A,N/A,-608397.92
204,204,26002,Select Health,ID,19449141.79,9855840.04,-1382800.26
205,205,28218,Time Insurance Company,ID,198924.26,137386.95,-45007.50
206,206,38128,Montana Health Cooperative,ID,7007696.78,-6390206.43,-196033.64
207,207,43541,National Health Insurance Company,ID,0.00,N/A,-54156.38
208,208,44648,Regence Blue Shield of Idaho,ID,643504.35,1002953.94,-831183.51
209,209,45059,Aetna Life Insurance Company,ID,N/A,N/A,18122.94
210,210,50118,United Healthcare Insurance Company,ID,N/A,N/A,-13618.27
211,211,52156,John Alden Life Insurance Company,ID,N/A,N/A,9713.17
212,212,59765,BridgeSpan Health Company,ID,723972.41,-37955.58,N/A
213,213,60597,Pacific Source Health Plans,ID,807059.42,600458.28,-80877.14
214,214,61175,Altius Health Plans Inc.,ID,14684.41,-16255.24,-174731.40
215,215,61589,"Blue Cross of Idaho Health Service, Inc.",ID,38695123.24,-5152221.99,2750572.03
216,216,16724,"United Healthcare of the Midwest, Inc.",IL,424225.77,-702032.46,N/A
217,217,18389,Pekin Life Insurance Company,IL,N/A,N/A,-476618.51
218,218,20129,"Health Alliance Medical Plans, Inc.",IL,9484950.67,-1326442.96,-1104554.13
219,219,24301,Medical Associates Health Plans,IL,N/A,N/A,-348670.80
220,220,27833,Celtic Insurance Company,IL,0.00,-76.03,N/A
221,221,34446,United Healthcare Ins Co of River Valley,IL,N/A,N/A,-2373664.90
222,222,35670,Coventry Health & Life Co.,IL,1885185.38,-644379.33,458501.80
223,223,36096,Blue Cross Blue Shield of Illinois,IL,283480714.30,23056950.67,10877027.26
224,224,42529,"United Healthcare of Illinois, Inc.",IL,N/A,N/A,-1185146.24
225,225,53586,Nippon Life Insurance Company of America,IL,N/A,N/A,-18665.99
226,226,57020,John Alden Life Insurance Company,IL,N/A,N/A,-167167.35
227,227,58239,"United Healthcare Plan of the River Valley, Inc.",IL,N/A,N/A,-586082.45
228,228,58288,"Humana Health Plan, Inc.",IL,434600.45,730433.28,-1525019.48
229,229,59311,Madison National Life,IL,N/A,N/A,-3428.71
230,230,66143,Federated Mutual Insurance Company,IL,N/A,N/A,1306490.38
231,231,66303,United Healthcare Life Insurance Company,IL,341552.54,-368112.74,N/A
232,232,67807,Time Insurance Company,IL,3749171.16,5250022.24,-25545.56
233,233,68303,Humana Insurance Company,IL,3776222.99,4859821.84,1632766.92
234,234,68432,"IlliniCare Health Plan, Inc.",IL,41625.12,-2232448.52,N/A
235,235,72547,Aetna Life Insurance Company,IL,814182.41,-670691.43,-1111838.73
236,236,75104,"Coventry Health Care of Missouri, Inc.",IL,0.00,-8129.85,N/A
237,237,79763,Land of Lincoln Mutual Health Insurance Company,IL,18116860.37,-22604098.38,-9219351.96
238,238,82506,Freedom Life Insurance,IL,37995.20,26867.72,N/A
239,239,92476,United Healthcare Ins Co of Illinois,IL,N/A,N/A,4056740.92
240,240,96601,"Coventry Health Care of Illinois, Inc.",IL,6779907.14,-5367684.26,127525.13
241,241,99129,Aetna Health Inc. (a PA corp.),IL,N/A,N/A,-313297.56
242,242,11104,Federated Mutual Insurance Company,IN,N/A,N/A,-542240.33
243,243,17575,Anthem Ins Companies Inc.(Anthem BCBS),IN,57438446.51,-13429318.84,6782799.40
244,244,32378,Aetna Life Insurance Company,IN,N/A,N/A,-313624.00
245,245,33380,"Indiana University Health Plans, Inc.",IN,396734.18,79692.27,N/A
246,246,35065,Coordinated Care Corporation Indiana,IN,3088183.45,-8064367.37,N/A
247,247,35755,US Health and Life Insurance Company,IN,N/A,N/A,-150173.33
248,248,36373,All Savers Insurance Company,IN,27267518.41,13324209.36,-48636.23
249,249,43070,United Healthcare Life Insurance Company,IN,11719200.31,-8198015.22,N/A
250,250,43442,Humana Health Plan,IN,N/A,N/A,-102658.68
251,251,46881,Medical Benefits Mutual Life Insurance,IN,N/A,N/A,-153245.43
252,252,50442,Standard Security Life,IN,N/A,N/A,-27473.51
253,253,50816,"Physicians Health Plan of Northern Indiana, Inc.",IN,7076370.23,-7085738.88,2912178.01
254,254,54192,"Care Source Indiana, Inc.",IN,4107892.80,-18119292.96,N/A
255,255,62033,"MDwise Marketplace, Inc.",IN,10300257.99,17928174.59,N/A
256,256,67920,Southeastern Indiana Health Organization,IN,216686.30,-233538.83,-852678.23
257,257,72850,United Healthcare Insurance Company,IN,N/A,N/A,-6771739.27
258,258,76179,Celtic Insurance Company,IN,0.00,-8090.12,N/A
259,259,79828,Pekin Life Insurance Company,IN,N/A,N/A,-183612.65
260,260,91842,Time Insurance Company,IN,12092873.08,15394607.15,472972.29
261,261,95074,John Alden Life Insurance Company,IN,N/A,N/A,-241241.52
262,262,98761,Nippon Life Insurance Company of America,IN,N/A,N/A,-153115.64
263,263,99791,Humana Insurance Company,IN,9594235.07,8411678.81,-627510.77
264,264,18558,"Blue Cross and Blue Shield of Kansas, Inc.",KS,22059546.54,17980150.06,1209308.94
265,265,19968,Humana Insurance Company,KS,639117.85,129998.03,453059.45
266,266,27811,"BlueCross BlueShield Kansas Solutions, Inc.",KS,6310284.83,-11980761.66,-355578.67
267,267,34368,Celtic Insurance Company,KS,0.00,4300.78,N/A
268,268,41446,United Healthcare Life Insurance Company,KS,269104.27,325366.78,N/A
269,269,49857,"Humana Health Plan, Inc.",KS,0.00,N/A,37672.29
270,270,54822,Freedom Life Insurance,KS,0.00,12212.08,N/A
271,271,57850,Aetna Health Inc. (a PA corp.),KS,N/A,N/A,-152312.88
272,272,61430,Coventry Health and Life,KS,19209399.90,-18755986.82,-684315.40
273,273,65598,Coventry Health Care Of Kansas Inc.,KS,6202536.18,-1458451.11,-413025.79
274,274,71122,Time Insurance Company,KS,1368034.70,838285.82,-22779.35
275,275,84600,Aetna Life Insurance Company,KS,N/A,N/A,745826.49
276,276,94248,Blue Cross and Blue Shield of Kansas City,KS,10232138.10,12904886.10,827921.82
277,277,94968,United Healthcare Insurance Company,KS,N/A,N/A,-1525779.62
278,278,96352,Federated Mutual Insurance Company,KS,N/A,N/A,-229788.82
279,279,98618,John Alden Life Insurance Company,KS,N/A,N/A,109791.51
280,280,15411,"Humana Health Plan, Inc.",KY,6817802.85,3404519.29,-1964729.71
281,281,19503,Time Insurance Company,KY,1691901.38,1187533.23,-16224.72
282,282,23671,"United Healthcare of Kentucky, Ltd.",KY,N/A,N/A,-331779.58
283,283,28773,United Healthcare Insurance Company,KY,N/A,N/A,-121359.44
284,284,33734,John Alden Life Insurance Company,KY,N/A,N/A,39912.04
285,285,36239,Anthem Health Plans of KY(Anthem BCBS),KY,15227446.08,3129303.34,4368115.21
286,286,40586,"Bluegrass Family Health, Inc.",KY,N/A,N/A,-1208814.63
287,287,45636,Care Source Kentucky Co.,KY,471687.18,-3862217.41,N/A
288,288,45920,"United Healthcare of Ohio, Inc.",KY,N/A,N/A,-293318.64
289,289,47949,Golden Rule Insurance Company,KY,305224.98,-1451612.01,N/A
290,290,72001,"Wellcare Health Plans of Kentucky, Inc.",KY,11974.70,-53971.89,N/A
291,291,77029,All Savers Insurance Company,KY,N/A,N/A,-49.32
292,292,77894,Kentucky Health Cooperative,KY,35192461.31,-2353554.57,-471751.15
293,293,14030,Aetna Life Insurance Company,LA,N/A,N/A,20110.13
294,294,19636,"HMO Louisiana, Inc.",LA,18986651.02,-30654005.69,-1581186.14
295,295,19913,Freedom Life Insurance,LA,214977.04,235529.13,N/A
296,296,22381,Coventry Health and Life,LA,N/A,N/A,-65433.61
297,297,31434,Time Insurance Company,LA,1117513.46,-317760.30,-14565.43
298,298,38499,"United Healthcare of Louisiana, Inc.",LA,12762103.40,-16112496.42,-139379.33
299,299,44965,"Humana Health Benefit Plan of Louisiana, Inc.",LA,6596325.19,-2526804.46,-4759020.22
300,300,66593,United Healthcare Life Insurance Company,LA,225754.60,198496.43,N/A
301,301,67202,"Louisiana Health Cooperative, Inc.",LA,6803332.38,-8658833.22,-177962.62
302,302,67243,"Vantage Health Plan, Inc.",LA,2856815.12,-261974.85,-33096.77
303,303,69842,United Healthcare Insurance Company,LA,N/A,N/A,-301664.16
304,304,81941,"Coventry Health Care of Louisiana, Inc.",LA,1300634.56,-9447131.62,-727200.20
305,305,89219,John Alden Life Insurance Company,LA,N/A,N/A,-30629.80
306,306,93653,All Savers Insurance Company,LA,N/A,N/A,-20620.65
307,307,97176,Louisiana Health Service & Indemnity Company,LA,59732789.29,67544981.11,7830648.73
308,308,24675,"Blue Cross and Blue Shield of Massachusetts, Inc.",MA,96844.97,N/A,N/A
309,309,29125,Tufts Associated Health Maintenance Org,MA,5502579.47,N/A,N/A
310,310,31234,CeltiCare Health Plan of MA,MA,87641.07,N/A,N/A
311,311,31779,United Healthcare Insurance Company,MA,201831.79,N/A,N/A
312,312,34484,"Health New England, Inc.",MA,1632421.84,N/A,N/A
313,313,36046,Harvard Pilgrim Health Care Inc.,MA,8127994.41,N/A,N/A
314,314,38712,Tufts Insurance Company,MA,1002073.50,N/A,N/A
315,315,41304,Neighborhood Health Plan,MA,25504454.36,N/A,N/A
316,316,42690,"Blue Cross and Blue Shield of Massachusetts HMO Blue, Inc.",MA,35227619.21,N/A,N/A
317,317,52710,Fallon Health & Life Assurance Company,MA,13993.01,N/A,N/A
318,318,59763,Tufts Health Public Plans Inc.,MA,4626815.93,N/A,N/A
319,319,73331,"Minuteman Health, Inc.",MA,349530.57,N/A,N/A
320,320,82569,"Boston Medical Center Health Plan, Inc.",MA,1946437.11,N/A,N/A
321,321,88806,"Fallon Community Health Plan, Inc.",MA,2395321.79,N/A,N/A
322,322,88950,"ConnectiCare of Massachusetts, Inc.",MA,0.00,N/A,N/A
323,323,95878,HPHC Insurance Company Inc.,MA,2287652.25,N/A,N/A
324,324,14468,"Coventry Health Care of Delaware, Inc.",MD,N/A,N/A,-6945127.90
325,325,23620,United Healthcare Insurance Company,MD,N/A,N/A,1835041.07
326,326,28137,"CareFirst Blue Choice, Inc.",MD,59853999.66,-16434375.57,6517475.95
327,327,31112,United Healthcare of the MidAtlantic Inc.,MD,504657.46,-1146080.38,-1678830.01
328,328,32812,Cigna Health and Life Insurance Company,MD,690665.78,1034979.80,N/A
329,329,36677,All Savers Insurance Company,MD,495936.42,596980.74,N/A
330,330,45532,"CareFirst of Maryland, Inc.",MD,23348941.57,22545287.16,7207643.04
331,331,65635,MAMSI Life and Health Insurance Company,MD,N/A,N/A,-282416.80
332,332,66516,Aetna Health Inc. (a PA corp.),MD,N/A,N/A,-655553.92
333,333,68541,Coventry Health and Life,MD,N/A,N/A,-1649007.49
334,334,70767,Aetna Life Insurance Company,MD,N/A,N/A,-2554392.85
