,Company Name_x,State_x,HIOS ID,MM Individual_x,MM Small Group_x,Expected Reinsurance_x,Expected Risk Adjustment Individual_x,Expected Risk Adjustment Small Group_x,Actual Reinsurance_x,Actual Risk Adjustment Individual_x,Actual Risk Adjustment Small Group_x,Nonprofit_x,Expected Reinsurance Per Member Month_x,Actual Reinsurance Per Member Month_x,Expected Risk Adjustment Per Member Month Individual_x,Actual Risk Adjustment Per Member Month Individual_x,Expected Risk Adjustment Per Member Month Small Group_x,Actual Risk Adjustment Per Member Month Small Group_x,Difference in Reinsurance Per Member Month_x,Difference in Risk Adjustment Individual Per Member Month_x,Difference in Risk Adjustment Small Group Per Member Month_x,Total Loss 2014,Company Name_y,State_y,MM Individual_y,MM Small Group_y,Expected Reinsurance_y,Expected Risk Adjustment Individual_y,Expected Risk Adjustment Small Group_y,Actual Reinsurance_y,Actual Risk Adjustment Individual_y,Actual Risk Adjustment Small Group_y,Nonprofit_y,Expected Reinsurance Per Member Month_y,Actual Reinsurance Per Member Month_y,Expected Risk Adjustment Per Member Month Individual_y,Actual Risk Adjustment Per Member Month Individual_y,Expected Risk Adjustment Per Member Month Small Group_y,Actual Risk Adjustment Per Member Month Small Group_y,Difference in Reinsurance Per Member Month_y,Difference in Risk Adjustment Individual Per Member Month_y,Difference in Risk Adjustment Small Group Per Member Month_y
10,"Blue Cross and Blue Shield of Massachusetts HMO Blue, Inc.",Massachusetts,42690.0,335415.0,2824026.0,37222783.0,7281616.743,42557403.26,37222783.0,,,Yes,110.98,110.98,21.71,,15.07,,0.0,,,,"Blue Cross and Blue Shield of Massachusetts HMO Blue, Inc.",Massachusetts,592588.0,2375271.0,35227619.21,8067126.0,33479849.0,35245952.75,,,Yes,59.45,59.48,13.61,,14.1,,0.03,,
11,UnitedHealthcare Insurance Company,Texas,98809.0,25481.0,2647537.0,0.0,-72124.97,-3217704.48,,,-3289829.48,No,0.0,,-2.83,,-1.22,-1.24,,,-0.03,,UnitedHealthcare Insurance Company,Texas,20042.0,2517196.0,0.0,-181402.12,1077528.17,,,896126.05,No,0.0,,-9.05,,0.43,0.36,,,-0.07
12,"BlueCross BlueShield of Tennessee, Inc.",Tennessee,14002.0,2515002.0,2621780.0,116386841.0,-1824896.0,6557827.0,116386840.7,-1824896.38,6557826.76,Yes,46.28,46.28,-0.73,-0.73,2.5,2.5,0.0,0.0,0.0,121119771.1,"BlueCross BlueShield of Tennessee, Inc.",Tennessee,2916902.0,2375943.0,125208363.0,22571331.0,5242634.0,125248679.99,22571330.93,5242633.55,Yes,42.93,42.94,7.74,7.74,2.21,2.21,0.01,0.0,0.0
13,Blue Cross Blue Shield of Michigan Mutual Insurance Company,Michigan,15560.0,2056894.0,2504910.0,104173592.8,67492960.0,13529304.35,104173592.8,67492960.02,13529304.35,Yes,50.65,50.65,32.81,32.81,5.4,5.4,0.0,0.0,0.0,185195857.2,Blue Cross Blue Shield of Michigan Mutual Insurance Company,Michigan,1553522.0,2089156.0,79260623.26,79246388.6,10801181.83,79301872.92,84043000.54,11876518.15,Yes,51.02,51.05,51.01,54.1,5.17,5.68,0.03,3.09,0.51
14,Blue Cross and Blue Shield of North Carolina,North Carolina,11512.0,6260187.0,2352381.0,263678346.0,21858789.0,9263138.0,263657626.5,21858789.45,9263138.01,Yes,42.12,42.12,3.49,3.49,3.94,3.94,0.0,0.0,0.0,294779554,Blue Cross and Blue Shield of North Carolina,North Carolina,6595736.0,1960188.0,222501830.0,67566338.0,15759734.0,222234005.55,67566338.19,15759733.78,Yes,33.73,33.69,10.24,10.24,8.04,8.04,-0.04,0.0,0.0
15,"Excellus Health Plan, Inc",New York,78124.0,309097.0,2348642.0,25521165.66,33538908.24,27697473.06,25521165.66,33519366.16,26430399.01,Yes,82.57,82.57,108.51,108.44,11.79,11.25,0.0,-0.06,-0.54,85470930.83,"Excellus Health Plan, Inc",New York,334217.0,2172610.0,20299131.47,39045850.4,-2719871.69,20303711.74,44746473.2,-2719871.69,Yes,60.74,60.75,116.83,133.88,-1.25,-1.25,0.01,17.06,0.0
16,"Blue Cross and Blue Shield of Florida, Inc.",Florida,16842.0,5946938.0,2327073.0,265367761.0,195610300.2,4537167.0,265367761.3,221628751.9,4537166.63,No,44.62,44.62,32.89,37.27,1.95,1.95,0.0,4.38,0.0,491533679.8,"Blue Cross and Blue Shield of Florida, Inc.",Florida,6204216.0,2084681.0,203599485.0,368933331.0,8102147.0,203698387.46,368933330.53,8102147.17,No,32.82,32.83,59.46,59.46,3.89,3.89,0.02,0.0,0.0
17,"Health Net of California, Inc",California,67138.0,2002237.0,2156540.0,48731305.0,-100186994.0,-3718210.0,48731305.15,-100186993.9,-3718209.96,No,24.34,24.34,-50.04,-50.04,-1.72,-1.72,0.0,0.0,0.0,-55173898.7,"Health Net of California, Inc",California,2736915.0,1788573.0,41878401.12,-125635856.0,-9524829.0,41900195.93,-125635855.94,-9525637.47,No,15.3,15.31,-45.9,-45.9,-5.33,-5.33,0.01,0.0,0.0
18,"Anthem Insurance Companies, Inc.",Indiana,17575.0,1656793.0,2119317.0,63611127.94,-35299048.0,6066803.04,63611127.93,-35299047.7,5862596.41,No,38.39,38.39,-21.31,-21.31,2.86,2.77,0.0,0.0,-0.1,34174676.64,"Anthem Insurance Companies, Inc.",Indiana,1348881.0,1731779.0,57438446.51,-13429318.84,7055751.04,57453698.83,-13429318.84,6782799.4,No,42.58,42.59,-9.96,-9.96,4.07,3.92,0.01,0.0,-0.16
19,Louisiana Health Service and Indemnity Company,Louisiana,97176.0,1596020.0,2115029.0,59187419.0,22005546.0,803668.0,59187419.01,22005546.46,803668.2,Yes,37.08,37.08,13.79,13.79,0.38,0.38,0.0,0.0,0.0,81996633.67,Louisiana Health Service and Indemnity Company,Louisiana,1471589.0,1880339.0,59732789.29,65621568.01,7790375.69,59752232.01,67544981.11,7830648.73,Yes,40.59,40.6,44.59,45.9,4.14,4.16,0.01,1.31,0.02
20,"CareFirst BlueChoice, Inc.",Maryland,28137.0,1045638.0,1947671.0,33674052.57,-12598519.03,-3506432.28,33674052.57,-12598519.03,-4834145.8,No,32.2,32.2,-12.05,-12.05,-1.8,-2.48,0.0,0.0,-0.68,16241387.74,"CareFirst BlueChoice, Inc.",Maryland,1994245.0,1797148.0,59853999.66,-16434375.81,6517476.14,59885149.52,-16434375.57,6517475.95,No,30.01,30.03,-8.24,-8.24,3.63,3.63,0.02,0.0,0.0
21,"Oxford Health Plans (NY), Inc.",New York,26420.0,218868.0,1915952.0,37810243.67,51850553.24,-32978953.64,37810243.67,51416066.7,-33465842.73,No,172.75,172.75,236.9,234.92,-17.21,-17.47,0.0,-1.99,-0.25,55760467.64,"Oxford Health Plans (NY), Inc.",New York,259030.0,1206429.0,37034220.59,69429605.79,-27957138.63,37053494.34,75516356.91,-34043889.75,No,142.97,143.05,268.04,291.54,-23.17,-28.22,0.07,23.5,-5.05
22,Highmark Health Insurance Company,Pennsylvania,70194.0,374925.0,1710639.0,59657177.0,42359592.0,5446786.0,59657176.61,42359592.09,5446786.21,No,159.12,159.12,112.98,112.98,3.18,3.18,0.0,0.0,0.0,107463554.9,Highmark Health Insurance Company,Pennsylvania,330905.0,1156811.0,37247106.0,51852280.0,777889.0,37266490.45,51852279.7,777889.23,No,112.56,112.62,156.7,156.7,0.67,0.67,0.06,0.0,0.0
23,"Anthem Blue Cross Life and Health Insurance Company, Inc.",California,48962.0,2312019.0,1640585.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"Anthem Blue Cross Life and Health Insurance Company, Inc.",California,1744900.0,1096405.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"UPMC Health Options, Inc.",Pennsylvania,16322.0,7694.0,1607798.0,24575.39,-3587.19,3575646.12,24575.39,-3587.19,3575646.12,No,3.19,3.19,-0.47,-0.47,2.22,2.22,0.0,0.0,0.0,3596634.32,"UPMC Health Options, Inc.",Pennsylvania,630940.0,1517618.0,17827409.0,-3105783.0,4876751.0030000005,17829957.2,-3105783.44,5913428.11,No,28.26,28.26,-4.92,-4.92,3.21,3.9,0.0,0.0,0.68
25,California Physicians Service,California,70285.0,5746687.0,1599976.0,363050265.0,135212708.0,13755875.0,363050264.5,135212707.6,13755875.29,Yes,63.18,63.18,23.53,23.53,8.6,8.6,0.0,0.0,0.0,512018847.4,California Physicians Service,California,6984408.0,2367193.0,282181733.0,181516599.0,19826490.0,282147399.11,181516598.98,19822043.9,Yes,40.4,40.4,25.99,25.99,8.38,8.37,0.0,0.0,0.0
26,"Humana Health Plan of Texas, Inc. ",Texas,32673.0,870873.0,1528757.0,53329111.45,-38610710.6,-1682294.43,53329111.45,-38610710.6,-1682294.43,No,61.24,61.24,-44.34,-44.34,-1.1,-1.1,0.0,0.0,0.0,13036106.42,"Humana Health Plan of Texas, Inc. ",Texas,1147557.0,1418824.0,51268519.33,-26986914.17,-2173306.64,51295201.04,-26986914.17,-2173306.64,No,44.68,44.7,-23.52,-23.52,-1.53,-1.53,0.02,0.0,0.0
27,UnitedHealthcare Insurance Company,Florida,43839.0,60049.0,1461398.0,0.0,-6434.88,3851247.76,,,3844812.86,No,0.0,,-0.11,,2.64,2.63,,,0.0,,UnitedHealthcare Insurance Company,Florida,38845.0,1280849.0,0.0,115458.85,3936085.34,,,4051544.19,No,0.0,,2.97,,3.07,3.16,,,0.09
28,Keystone Health Plan East,Pennsylvania,33871.0,1365965.0,1427814.0,56237854.0,-61020486.0,-7900230.0,56237853.67,-61020486.2,-7900229.63,No,41.17,41.17,-44.67,-44.67,-5.53,-5.53,0.0,0.0,0.0,-12682862.16,Keystone Health Plan East,Pennsylvania,1291544.0,1448425.0,49300779.17,-12386830.58,-4106693.9,49296370.95,-12386830.58,-4106693.9,No,38.17,38.17,-9.59,-9.59,-2.84,-2.84,0.0,0.0,0.0
29,"Health Care Service Corporation, a Mutual Legal Reserve Company",Oklahoma,87571.0,1530042.0,1415200.0,58988045.78,-912836.76,5538080.47,58988045.78,-912836.76,5538080.47,Yes,38.55,38.55,-0.6,-0.6,3.91,3.91,0.0,0.0,0.0,63613289.49,"Health Care Service Corporation, a Mutual Legal Reserve Company",Oklahoma,2028437.0,1475972.0,84195768.0,-2631957.0,4445556.0,84233897.4,-4417436.82,4443491.14,Yes,41.51,41.53,-1.3,-2.18,3.01,3.01,0.02,-0.88,0.0
30,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",Georgia,49046.0,1094274.0,1401272.0,34663581.86,-3958982.0,2304376.0,34663581.85,-3958982.3,2304375.99,No,31.68,31.68,-3.62,-3.62,1.64,1.64,0.0,0.0,0.0,33008975.54,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",Georgia,1329937.0,1292437.0,31989248.98,-15389290.74,2730391.61,31999615.68,-15389290.74,2806937.56,No,24.05,24.06,-11.57,-11.57,2.11,2.17,0.01,0.0,0.06
31,"Anthem Health Plans of Virginia, Inc.",Virginia,16064.0,2049418.0,1383390.0,0.0,0.0,6936086.0,,,6936085.85,No,0.0,,0.0,,5.01,5.01,,,0.0,,"Anthem Health Plans of Virginia, Inc.",Virginia,985484.0,1416206.0,0.0,0.0,27889957.52,,,27889957.52,No,0.0,,0.0,,19.69,19.69,,,0.0
32,"SelectHealth, Inc.",Utah,68781.0,1144804.0,1347616.0,51361644.15,12505596.48,-1757089.15,51361644.15,12505596.48,-1805886.51,Yes,44.87,44.87,10.92,10.92,-1.3,-1.34,0.0,0.0,-0.04,62061354.12,"SelectHealth, Inc.",Utah,1430842.0,1402554.0,45729581.52,29125748.0,2775857.47,45753380.6,29815302.0,2775857.47,Yes,31.96,31.98,20.36,20.84,1.98,1.98,0.02,0.48,0.0
33,Healthy Alliance Life Insurance Company,Missouri,32753.0,1207878.0,1313809.0,31718277.29,-5335441.0,-3154910.0,31718277.28,-5335441.08,-3154909.68,No,26.26,26.26,-4.42,-4.42,-2.4,-2.4,0.0,0.0,0.0,23227926.52,Healthy Alliance Life Insurance Company,Missouri,1037701.0,1093732.0,19464185.02,7298221.08,5340341.52,19470609.22,7298221.08,5340341.52,No,18.76,18.76,7.03,7.03,4.88,4.88,0.01,0.0,0.0
34,"Blue Cross and Blue Shield of Kansas, Inc.",Kansas,18558.0,650169.0,1305258.0,25958566.0,7698173.0,1056775.0,25958565.69,7698173.07,1056774.58,Yes,39.93,39.93,11.84,11.84,0.81,0.81,0.0,0.0,0.0,34713513.34,"Blue Cross and Blue Shield of Kansas, Inc.",Kansas,692644.0,1169721.0,22059547.0,17980150.0,1209309.0,22071027.01,17980150.06,1209308.94,Yes,31.85,31.86,25.96,25.96,1.03,1.03,0.02,0.0,0.0
35,"Harvard Pilgrim Health Care, Inc.",Massachusetts,36046.0,115286.0,1292301.0,9694228.0,11346630.0,-10866371.23,9694228.25,,,Yes,84.09,84.09,98.42,,-8.41,,0.0,,,,"Harvard Pilgrim Health Care, Inc.",Massachusetts,135389.0,1323837.0,8127994.0,19606130.08,2464622.51,8132224.47,,,Yes,60.03,60.07,144.81,,1.86,,0.03,,
36,Premera Blue Cross,Washington,49831.0,894365.0,1271163.0,58409391.0,-7124602.0,-7510310.0,58409390.63,-7124602.23,-7510310.41,Yes,65.31,65.31,-7.97,-7.97,-5.91,-5.91,0.0,0.0,0.0,43774477.99,Premera Blue Cross,Washington,1100658.0,1667756.0,60139891.0,18747955.0,-16440582.0,60171189.8,18747955.38,-16440582.27,Yes,54.64,54.67,17.03,17.03,-9.86,-9.86,0.03,0.0,0.0
37,"BCBSM, INC. ",Minnesota,49316.0,1830768.0,1267529.0,109644844.0,7616924.0,11759377.0,109644843.7,7616924.44,11759377.1,Yes,59.89,59.89,4.16,4.16,9.28,9.28,0.0,0.0,0.0,129021145.2,"BCBSM, INC. ",Minnesota,2462520.0,1392389.0,125694015.0,29086946.0,15764246.0,125759129.37,29086945.86,15764245.94,Yes,51.04,51.07,11.81,11.81,11.32,11.32,0.03,0.0,0.0
38,"Humana Employers Health Plan of Georgia, Inc.",Georgia,93332.0,2871577.0,1208242.0,194926953.8,64808.72,-6158.42,194926953.8,64808.72,-6158.42,No,67.88,67.88,0.02,0.02,-0.01,-0.01,0.0,0.0,0.0,194985604.1,"Humana Employers Health Plan of Georgia, Inc.",Georgia,3442073.0,1307376.0,213455181.3,68541368.02,-3209903.85,213566269.89,68541368.02,-2579052.1,No,62.01,62.05,19.91,19.91,-2.46,-1.97,0.03,0.0,0.48
39,Capital Advantage Assurance Company,Pennsylvania,45127.0,112518.0,1178312.0,276428.0,395777.0,5977678.0,276428.37,395776.73,5977678.07,No,2.46,2.46,3.52,3.52,5.07,5.07,0.0,0.0,0.0,6649883.17,Capital Advantage Assurance Company,Pennsylvania,116325.0,1002856.0,4544340.0,6863660.0,-3297708.0,4546704.54,6863660.42,-3297707.87,No,39.07,39.09,59.0,59.0,-3.29,-3.29,0.02,0.0,0.0
40,Aetna Life Insurance Company,New York,17210.0,57833.0,1109892.0,14663439.86,14979978.61,-61490126.11,14885554.32,14975558.9,-62207250.53,No,253.55,257.39,259.02,258.94,-55.4,-56.05,3.84,-0.08,-0.65,-32346137.31,Aetna Life Insurance Company,New York,38982.0,1393628.0,4503869.05,7987421.74,-92687139.67,4506213.0,9153245.87,-92687139.68,No,115.54,115.6,204.9,234.81,-66.51,-66.51,0.06,29.91,0.0
41,Hawaii Medical Service Association,Hawaii,18350.0,207688.0,1093845.0,13001803.0,6650637.0,3044739.0,13001803.35,10430372.28,5740424.58,Yes,62.6,62.6,32.02,50.22,2.78,5.25,0.0,18.2,2.46,29172600.21,Hawaii Medical Service Association,Hawaii,308670.0,736432.0,16190299.0,15467101.0,6898728.57,16197585.19,15467100.5,7322488.29,Yes,52.45,52.48,50.11,50.11,9.37,9.94,0.02,0.0,0.58
42,UnitedHealthcare Insurance Company,Wisconsin,59158.0,3113.0,1086472.0,0.0,-5257.79,2984829.83,,,2979572.04,No,0.0,,-1.69,,2.75,2.74,,,0.0,,UnitedHealthcare Insurance Company,Wisconsin,3128.0,1103277.0,0.0,-42338.1,11339495.99,,,11297157.89,No,0.0,,-13.54,,10.28,10.24,,,-0.04
43,"HealthPartners, Inc.",Minnesota,79888.0,22057.0,1061856.0,1403000.0,2385000.0,-4201000.0,1402532.92,2384614.4,-4200533.56,Yes,63.61,63.59,108.13,108.11,-3.96,-3.96,-0.02,-0.02,0.0,-413386.24,"HealthPartners, Inc.",Minnesota,9394.0,1214110.0,,32000.0,-13775000.0,,31708.01,-13774545.17,Yes,0.0,,3.41,3.38,-11.35,-11.35,,-0.03,0.0
44,"Anthem Health Plans of Kentucky, Inc.",Kentucky,36239.0,1016969.0,990852.0,10851899.03,4889935.0,2798477.0,10851899.04,4889935.19,2798476.94,No,10.67,10.67,4.81,4.81,2.82,2.82,0.0,0.0,0.0,18540311.17,"Anthem Health Plans of Kentucky, Inc.",Kentucky,1020298.0,809561.0,15227446.08,3129303.34,4368115.21,15230315.39,3129303.34,4368115.21,No,14.92,14.93,3.07,3.07,5.4,5.4,0.0,0.0,0.0
45,Aetna Life Insurance Company,Texas,91716.0,503421.0,988673.0,14609683.22,7355591.68,-2896197.55,14609683.22,7355591.68,-2896197.55,No,29.02,29.02,14.61,14.61,-2.93,-2.93,0.0,0.0,0.0,19069077.35,Aetna Life Insurance Company,Texas,562121.0,762695.0,19067675.56,-10218459.31,4559477.87,19077598.96,-10218459.31,4559477.87,No,33.92,33.94,-18.18,-18.18,5.98,5.98,0.02,0.0,0.0
46,"CDPHP Universal Benefits, Inc.",New York,92551.0,6833.0,987813.0,,,-1028538.0,,,-1425321.82,Yes,0.0,,0.0,,-1.04,-1.44,,,-0.4,,"CDPHP Universal Benefits, Inc.",New York,0.0,880946.0,,,6571185.0,,,10072804.56,Yes,,,,,7.46,11.43,,,3.97
47,Aetna Health Inc. (a Pennsylvania corporation),Pennsylvania,64844.0,187327.0,987408.0,1280386.05,-1144736.65,-3059493.02,1280386.05,-1144736.65,-3059493.02,No,6.84,6.84,-6.11,-6.11,-3.1,-3.1,0.0,0.0,0.0,-2923843.62,Aetna Health Inc. (a Pennsylvania corporation),Pennsylvania,324022.0,619199.0,6956215.73,-25852344.52,-1628024.96,6959835.96,-25852344.53,-1628024.96,No,21.47,21.48,-79.79,-79.79,-2.63,-2.63,0.01,0.0,0.0
48,"Wellmark, Inc.",Iowa,72160.0,1679290.0,960142.0,13566798.0,4605848.0,3535404.0,13566797.89,4605847.67,3535403.52,No,8.08,8.08,2.74,2.74,3.68,3.68,0.0,0.0,0.0,21708049.08,"Wellmark, Inc.",Iowa,1505991.0,1180164.0,15290589.0,15005600.0,1507980.0,15298546.8,16573829.24,3724624.74,No,10.15,10.16,9.96,11.01,1.28,3.16,0.01,1.04,1.88
49,Blue Care Network,Michigan,98185.0,1191387.0,944667.0,54508071.0,-47134095.64,-5484016.17,54508071.26,-47134095.64,-5484016.17,Yes,45.75,45.75,-39.56,-39.56,-5.81,-5.81,0.0,0.0,0.0,1889959.45,Blue Care Network,Michigan,1596397.0,859012.0,46806689.64,-40004463.16,1981424.91,46831049.28,-40004463.16,2178690.19,Yes,29.32,29.34,-25.06,-25.06,2.31,2.54,0.02,0.0,0.23
50,Priority Health,Michigan,29698.0,69861.0,931577.0,4982859.0,1063052.0,-1527411.13,4982858.59,1058987.28,-1528301.43,Yes,71.33,71.33,15.22,15.16,-1.64,-1.64,0.0,-0.06,0.0,4513544.44,Priority Health,Michigan,497784.0,926042.0,14180131.0,-27448473.06,-2734798.0,14187510.7,-27447894.51,-2734798.34,Yes,28.49,28.5,-55.14,-55.14,-2.95,-2.95,0.01,0.0,0.0
51,Aetna Health of California Inc.,California,20523.0,4418.0,919142.0,0.0,0.0,-23451290.19,,,-23489767.02,No,0.0,,0.0,,-25.51,-25.56,,,-0.04,,Aetna Health of California Inc.,California,2133.0,1022238.0,0.0,0.0,-55800699.08,,,-55802137.54,No,0.0,,0.0,,-54.59,-54.59,,,0.0
52,Aetna Health Inc. (a Florida corporation),Florida,18628.0,404615.0,883049.0,1205126.79,-525058.02,389940.41,1205126.79,-525058.02,389940.41,No,2.98,2.98,-1.3,-1.3,0.44,0.44,0.0,0.0,0.0,1070009.18,Aetna Health Inc. (a Florida corporation),Florida,485275.0,824836.0,10355176.3,-28025200.75,5437975.83,10360565.46,-28025200.75,5437975.83,No,21.34,21.35,-57.75,-57.75,6.59,6.59,0.01,0.0,0.0
53,"Anthem Health Plans, Inc.",Connecticut,86545.0,709141.0,882121.0,53879332.07,13893512.0,1456631.0,53879332.07,13893512.78,1456630.51,No,75.98,75.98,19.59,19.59,1.65,1.65,0.0,0.0,0.0,69229475.36,"Anthem Health Plans, Inc.",Connecticut,654579.0,464639.0,37785526.05,25538509.66,25341838.53,37802725.1,25538509.66,25341838.53,No,57.72,57.75,39.02,39.02,54.54,54.54,0.03,0.0,0.0
54,UnitedHealthcare Insurance Company of Illinois,Illinois,92476.0,3578.0,863764.0,0.0,-7829.46,-692834.93,,,-700664.41,No,0.0,,-2.19,,-0.8,-0.81,,,-0.01,,UnitedHealthcare Insurance Company of Illinois,Illinois,3303.0,721188.0,0.0,120563.04,3936177.88,,,4056740.92,No,0.0,,36.5,,5.46,5.63,,,0.17
55,Aetna Health Inc. (a New Jersey corporation),New Jersey,82884.0,20390.0,840752.0,0.0,0.0,-4701905.74,,,-4701905.74,No,0.0,,0.0,,-5.59,-5.59,,,0.0,,Aetna Health Inc. (a New Jersey corporation),New Jersey,7037.0,929182.0,0.0,0.0,-18109387.02,,,-18109387.03,No,0.0,,0.0,,-19.49,-19.49,,,0.0
