Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsurance Per Member Month,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
Keystone Health Plan East,Pennsylvania,33871,1291544,1448425,49300779.17,-12386830.58,-4106693.9,49296370.95,-12386830.58,-4106693.90,No,38.17,38.17,-9.59,-9.59,-2.84,-2.84,0.00,0.00,0.00
"Humana Health Plan of Texas, Inc. ",Texas,32673,1147557,1418824,51268519.33,-26986914.17,-2173306.64,51295201.04,-26986914.17,-2173306.64,No,44.68,44.70,-23.52,-23.52,-1.53,-1.53,0.02,0.00,0.00
"Anthem Health Plans of Virginia, Inc.",Virginia,16064,985484,1416206,0,0,27889957.52,N/E,$-,27889957.52,No,0.00,#VALUE!,0.00,#VALUE!,19.69,19.69,#VALUE!,#VALUE!,0.00
"SelectHealth, Inc.",Utah,68781,1430842,1402554,45729581.52,29125748,2775857.47,45753380.60,29815302.00,2775857.47,Yes,31.96,31.98,20.36,20.84,1.98,1.98,0.02,0.48,0.00
Aetna Life Insurance Company,New York,17210,38982,1393628,4503869.05,7987421.74,-92687139.67,4506213.00,9153245.87,-92687139.68,No,115.54,115.60,204.90,234.81,-66.51,-66.51,0.06,29.91,0.00
"BCBSM, INC. ",Minnesota,49316,2462520,1392389,125694015,29086946,15764246,125759129.37,29086945.86,15764245.94,Yes,51.04,51.07,11.81,11.81,11.32,11.32,0.03,0.00,0.00
"Harvard Pilgrim Health Care, Inc.",Massachusetts,36046,135389,1323837,8127994,19606130.08,2464622.51,8132224.47,N/A_MA_Issuer,N/A_MA_Issuer,Yes,60.03,60.07,144.81,#VALUE!,1.86,#VALUE!,0.03,#VALUE!,#VALUE!
"Humana Employers Health Plan of Georgia, Inc.",Georgia,93332,3442073,1307376,213455181.3,68541368.02,-3209903.85,213566269.89,68541368.02,-2579052.10,No,62.01,62.05,19.91,19.91,-2.46,-1.97,0.03,0.00,0.48
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",Georgia,49046,1329937,1292437,31989248.98,-15389290.74,2730391.61,31999615.68,-15389290.74,2806937.56,No,24.05,24.06,-11.57,-11.57,2.11,2.17,0.01,0.00,0.06
UnitedHealthcare Insurance Company,Florida,43839,38845,1280849,0,115458.85,3936085.34,N/E,$-,4051544.19,No,0.00,#VALUE!,2.97,#VALUE!,3.07,3.16,#VALUE!,#VALUE!,0.09
"HealthPartners, Inc.",Minnesota,79888,9394,1214110,,32000,-13775000,N/E,31708.01,-13774545.17,Yes,0.00,#VALUE!,3.41,3.38,-11.35,-11.35,#VALUE!,-0.03,0.00
"Oxford Health Plans (NY), Inc.",New York,26420,259030,1206429,37034220.59,69429605.79,-27957138.63,37053494.34,75516356.91,-34043889.75,No,142.97,143.05,268.04,291.54,-23.17,-28.22,0.07,23.50,-5.05
"Wellmark, Inc.",Iowa,72160,1505991,1180164,15290589,15005600,1507980,15298546.80,16573829.24,3724624.74,No,10.15,10.16,9.96,11.01,1.28,3.16,0.01,1.04,1.88
"Blue Cross and Blue Shield of Kansas, Inc.",Kansas,18558,692644,1169721,22059547,17980150,1209309,22071027.01,17980150.06,1209308.94,Yes,31.85,31.86,25.96,25.96,1.03,1.03,0.02,0.00,0.00
Highmark Health Insurance Company,Pennsylvania,70194,330905,1156811,37247106,51852280,777889,37266490.45,51852279.70,777889.23,No,112.56,112.62,156.70,156.70,0.67,0.67,0.06,0.00,0.00
UnitedHealthcare Insurance Company,Wisconsin,59158,3128,1103277,0,-42338.1,11339495.99,N/E,$-,11297157.89,No,0.00,#VALUE!,-13.54,#VALUE!,10.28,10.24,#VALUE!,#VALUE!,-0.04
Health Net Life Insurance Company,California,99110,444015,1101301,94298229.42,53436905.52,11419865.92,94347305.12,53436905.52,11418011.12,No,212.38,212.49,120.35,120.35,10.37,10.37,0.11,0.00,0.00
"Anthem Blue Cross Life and Health Insurance Company, Inc.",California,48962,1744900,1096405,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Healthy Alliance Life Insurance Company,Missouri,32753,1037701,1093732,19464185.02,7298221.08,5340341.52,19470609.22,7298221.08,5340341.52,No,18.76,18.76,7.03,7.03,4.88,4.88,0.01,0.00,0.00
Aetna Health of California Inc.,California,20523,2133,1022238,0,0,-55800699.08,N/E,$-,-55802137.54,No,0.00,#VALUE!,0.00,#VALUE!,-54.59,-54.59,#VALUE!,#VALUE!,0.00
Capital Advantage Assurance Company,Pennsylvania,45127,116325,1002856,4544340,6863660,-3297708,4546704.54,6863660.42,-3297707.87,No,39.07,39.09,59.00,59.00,-3.29,-3.29,0.02,0.00,0.00
Aetna Health Inc. (a New Jersey corporation),New Jersey,82884,7037,929182,0,0,-18109387.02,N/E,$-,-18109387.03,No,0.00,#VALUE!,0.00,#VALUE!,-19.49,-19.49,#VALUE!,#VALUE!,0.00
Priority Health,Michigan,29698,497784,926042,14180131,-27448473.06,-2734798,14187510.70,-27447894.51,-2734798.34,Yes,28.49,28.50,-55.14,-55.14,-2.95,-2.95,0.01,0.00,0.00
"CDPHP Universal Benefits, Inc.",New York,92551,0,880946,,,6571185,N/E,$-,10072804.56,Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,7.46,11.43,#VALUE!,#VALUE!,3.97
Blue Care Network,Michigan,98185,1596397,859012,46806689.64,-40004463.16,1981424.91,46831049.28,-40004463.16,2178690.19,Yes,29.32,29.34,-25.06,-25.06,2.31,2.54,0.02,0.00,0.23
"Humana Medical Plan, Inc. ",Florida,35783,3470273,851617,136763089.1,-135056370.8,-11511826.07,136834264.80,-135056370.83,-11511826.07,No,39.41,39.43,-38.92,-38.92,-13.52,-13.52,0.02,0.00,0.00
QCC Insurance Company,Pennsylvania,31609,525833,851405,43118173,64851297,24985337,43123145.04,64851297.02,24985336.80,No,82.00,82.01,123.33,123.33,29.35,29.35,0.01,0.00,0.00
Aetna Health Inc. (a Florida corporation),Florida,18628,485275,824836,10355176.3,-28025200.75,5437975.83,10360565.46,-28025200.75,5437975.83,No,21.34,21.35,-57.75,-57.75,6.59,6.59,0.01,0.00,0.00
"BLUE CROSS & BLUE SHIELD OF MISSISSIPPI, A MUTUAL INSURANCE COMPANY",Mississippi,11721,793293,816408,8230686,2213376,27685,8234968.46,2213375.40,27685.38,No,10.38,10.38,2.79,2.79,0.03,0.03,0.01,0.00,0.00
"Anthem Health Plans of Kentucky, Inc.",Kentucky,36239,1020298,809561,15227446.08,3129303.34,4368115.21,15230315.39,3129303.34,4368115.21,No,14.92,14.93,3.07,3.07,5.40,5.40,0.00,0.00,0.00
BlueCross and BlueShield of South Carolina,South Carolina,26065,1019835,805213,26785971,8615923,2446555,26799911.31,8615922.98,2446555.38,No,26.27,26.28,8.45,8.45,3.04,3.04,0.01,0.00,0.00
USAble Mutual Insurance Company,Arkansas,75293,3088102,801647,64786425.56,8441174.73,1095119.44,64811130.09,8441174.73,1078908.44,Yes,20.98,20.99,2.73,2.73,1.37,1.35,0.01,0.00,-0.02
"ConnectiCare, Insurance Company Inc",Connecticut,94815,482538,790744,17813284.44,-26170707,-10932640,17822555.02,-26170707.17,-10932640.17,No,36.92,36.94,-54.24,-54.24,-13.83,-13.83,0.02,0.00,0.00
Aetna Life Insurance Company,Texas,91716,562121,762695,19067675.56,-10218459.31,4559477.87,19077598.96,-10218459.31,4559477.87,No,33.92,33.94,-18.18,-18.18,5.98,5.98,0.02,0.00,0.00
UnitedHealthcare Insurance Company,Indiana,72850,2194,761207,0,311363.69,-6610852.4,N/E,$-,-6771739.27,No,0.00,#VALUE!,141.92,#VALUE!,-8.68,-8.90,#VALUE!,#VALUE!,-0.21
"UnitedHealthcare of Florida, Inc.",Florida,68398,1434483,753362,75440222.47,14473029.3,-4281455.39,75479361.88,14572435.15,-4380861.24,No,52.59,52.62,10.09,10.16,-5.68,-5.82,0.03,0.07,-0.13
Hawaii Medical Service Association,Hawaii,18350,308670,736432,16190299,15467101,6898728.57,16197585.19,15467100.50,7322488.29,Yes,52.45,52.48,50.11,50.11,9.37,9.94,0.02,0.00,0.58
UnitedHealthcare Insurance Company of Illinois,Illinois,92476,3303,721188,0,120563.04,3936177.88,N/E,$-,4056740.92,No,0.00,#VALUE!,36.50,#VALUE!,5.46,5.63,#VALUE!,#VALUE!,0.17
"Oxford Health Insurance, Inc.",New Jersey,77263,94349,713116,16252850.81,44956827.36,5734971.58,16261309.29,44955766.00,5736032.94,No,172.26,172.35,476.50,476.48,8.04,8.04,0.09,-0.01,0.00
Aetna Health Inc. (a Georgia corporation),Georgia,82824,940354,684990,20306783.02,-58546619.34,-5894153.85,N/E,$-,-4486504.66,No,21.59,#VALUE!,-62.26,#VALUE!,-8.60,-6.55,#VALUE!,#VALUE!,2.05
Freelancers Health Service Corporation,New York,71644,1358859,681644,51736710,-37496765,-153842015.4,51763635.04,-37496765.22,-153842015.39,No,38.07,38.09,-27.59,-27.59,-225.69,-225.69,0.02,0.00,0.00
"Rocky Mountain Hospital and Medical Service, Inc., dba Anthem Blue Cross and Blue Shield",Colorado,87269,534111,677758,3299621.05,-318263.67,-1239886.17,3292837.76,-318263.67,-1239886.17,No,6.18,6.17,-0.60,-0.60,-1.83,-1.83,-0.01,0.00,0.00
Aetna Life Insurance Company,California,40733,15408,633699,0,0,26508182.01,N/E,$-,26507101.90,No,0.00,#VALUE!,0.00,#VALUE!,41.83,41.83,#VALUE!,#VALUE!,0.00
UnitedHealthcare Insurance Company,Missouri,95426,4821,629836,0,-9402,2812286.9,N/E,$-,2802884.90,No,0.00,#VALUE!,-1.95,#VALUE!,4.47,4.45,#VALUE!,#VALUE!,-0.01
Kaiser Foundation Health Plan of Colorado,Colorado,21032,829731,627193,20531573,-7630793,951160,20539222.46,-7630792.84,951160.48,Yes,24.74,24.75,-9.20,-9.20,1.52,1.52,0.01,0.00,0.00
"Humana Health Plan, Inc.",Kentucky,15411,189064,624026,6817802.85,3404519.29,-1964729.71,6821351.04,3404519.29,-1964729.71,No,36.06,36.08,18.01,18.01,-3.15,-3.15,0.02,0.00,0.00
Noridian Mutual Insurance Company,North Dakota,37160,514810,623553,12577778.91,1716903.71,22846.7,12584324.78,1716903.71,22846.40,Yes,24.43,24.44,3.34,3.34,0.04,0.04,0.01,0.00,0.00
Aetna Health Inc. (a Pennsylvania corporation),Pennsylvania,64844,324022,619199,6956215.73,-25852344.52,-1628024.96,6959835.96,-25852344.53,-1628024.96,No,21.47,21.48,-79.79,-79.79,-2.63,-2.63,0.01,0.00,0.00
HealthNow New York Inc.,New York,40064,85075,609043,3723122.82,7587765.38,1838807.64,0.00,3626.81,-68200.88,Yes,43.76,0.00,89.19,0.04,3.02,-0.11,-43.76,-89.15,-3.13
"Tufts Associated Health Maintenance Organization, Inc.",Massachusetts,29125,129455,606516,5502579,454550,2129634,5505443.18,N/A_MA_Issuer,N/A_MA_Issuer,Yes,42.51,42.53,3.51,#VALUE!,3.51,#VALUE!,0.02,#VALUE!,#VALUE!
"HealthKeepers, Inc.",Virginia,88380,2282806,598828,77192433.74,-13597420.4,-2356689.22,77211953.05,-13597420.40,-2356689.22,No,33.81,33.82,-5.96,-5.96,-3.94,-3.94,0.01,0.00,0.00
Blue Cross & Blue Shield of Rhode Island,Rhode Island,15287,297884,586445,11360205.38,9680258.57,5753305.59,11366007.86,9680258.57,5753305.59,Yes,38.14,38.16,32.50,32.50,9.81,9.81,0.02,0.00,0.00
"HealthAssurance Pennsylvania, Inc.",Pennsylvania,93838,270,568755,0,0,-58719.48,N/E,$-,-58719.48,No,0.00,#VALUE!,0.00,#VALUE!,-0.10,-0.10,#VALUE!,#VALUE!,0.00
"Neighborhood Health Partnership, Inc.",Florida,80779,7636,554192,0,0,-338156.26,N/E,$-,-338156.26,No,0.00,#VALUE!,0.00,#VALUE!,-0.61,-0.61,#VALUE!,#VALUE!,0.00
UnitedHealthcare Insurance Company,Colorado,67879,19084,553156,0,45418.85,933904.89,N/E,$-,979323.74,No,0.00,#VALUE!,2.38,#VALUE!,1.69,1.77,#VALUE!,#VALUE!,0.08
"Neighborhood Health Plan, Inc.",Massachusetts,41304,590554,549573,25504454,56154919,-40972893,25517727.66,N/A_MA_Issuer,N/A_MA_Issuer,Yes,43.19,43.21,95.09,#VALUE!,-74.55,#VALUE!,0.02,#VALUE!,#VALUE!
"Blue Cross and Blue Shield of Arizona, Inc.",Arizona,53901,1857597,534916,51794337.83,6800593.86,-837227.17,51821293.19,20131634.31,-837227.17,Yes,27.88,27.90,3.66,10.84,-1.57,-1.57,0.01,7.18,0.00
"HMO Louisiana, Inc.",Louisiana,19636,599791,532442,18986651.02,-30654005.69,-1581186.14,18992557.99,-30654005.69,-1581186.14,No,31.66,31.67,-51.11,-51.11,-2.97,-2.97,0.01,0.00,0.00
"Blue Cross of Idaho Health Service, Inc.",Idaho,61589,1019070,499500,38695123,-5152221.99,2750572.03,38715261.37,-5152221.99,2750572.03,Yes,37.97,37.99,-5.06,-5.06,5.51,5.51,0.02,0.00,0.00
"Health Options, Inc.",Florida,30252,1110889,496403,50025871,81745568,-4176091,49987278.15,81745567.90,-4176090.84,No,45.03,45.00,73.59,73.59,-8.41,-8.41,-0.03,0.00,0.00
UnitedHealthcare Insurance Company,California,95677,10567,492637,0,-87458.1,3094688.83,N/E,$-,3006738.38,No,0.00,#VALUE!,-8.28,#VALUE!,6.28,6.10,#VALUE!,#VALUE!,-0.18
Triple-S Salud Inc.,Puerto Rico,32901,845817,487386,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UnitedHealthcare Insurance Company of the River Valley,Tennessee,10958,2218,482901,0,0,-4628908.57,N/E,$-,-4628908.57,No,0.00,#VALUE!,0.00,#VALUE!,-9.59,-9.59,#VALUE!,#VALUE!,0.00
"Highmark West Virginia, Inc.",West Virginia,31274,511698,473363,33439790,-71601,1261986,33457193.36,-71601.45,1261985.57,Yes,65.35,65.38,-0.14,-0.14,2.67,2.67,0.03,0.00,0.00
"Group Hospitalization and Medical Services, Inc",District of Columbia,78079,78795,468211,2536672.32,3510581.06,15545279.87,2537992.49,3510581.06,15545279.98,Yes,32.19,32.21,44.55,44.55,33.20,33.20,0.02,0.00,0.00
"First Priority Life Insurance Company, Inc.",Pennsylvania,55957,470448,468163,22703971,-3237217,-305361,22715787.15,-3237217.38,-305360.64,No,48.26,48.29,-6.88,-6.88,-0.65,-0.65,0.03,0.00,0.00
United Healthcare Life Insurance Company,Ohio,61724,39475,467432,2325801.78,3026047.57,-4273050.07,2327012.20,2965356.57,-4212359.07,No,58.92,58.95,76.66,75.12,-9.14,-9.01,0.03,-1.54,0.13
"Anthem Health Plans, Inc.",Connecticut,86545,654579,464639,37785526.05,25538509.66,25341838.53,37802725.10,25538509.66,25341838.53,No,57.72,57.75,39.02,39.02,54.54,54.54,0.03,0.00,0.00
MVP Health Services Corp.,New York,89846,,461909,,,1321309.11,N/E,$-,2025401.59,Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,2.86,4.38,#VALUE!,#VALUE!,1.52
Regence BlueShield,Washington,87718,552202,455891,32427807,25764919,21866758,32444683.34,25715713.27,21915964.21,Yes,58.72,58.76,46.66,46.57,47.96,48.07,0.03,-0.09,0.11
UnitedHealthcare Insurance Company,Arizona,82011,7959,455517,0,81312.32,4888845.01,N/E,$-,4970157.33,No,0.00,#VALUE!,10.22,#VALUE!,10.73,10.91,#VALUE!,#VALUE!,0.18
Compcare Health Services Insurance Corporation,Wisconsin,79475,255521,452760,11965745.76,9974580.81,-212388.05,11971973.11,9974580.81,-212388.05,No,46.83,46.85,39.04,39.04,-0.47,-0.47,0.02,0.00,0.00
"CareFirst BlueChoice, Inc.",Virginia,10207,291585,450153,9089003.13,-4690047.93,-4863412.72,9093733.33,-4690047.91,-4863412.73,No,31.17,31.19,-16.08,-16.08,-10.80,-10.80,0.02,0.00,0.00
AmeriHealth Insurance Company of New Jersey,New Jersey,91762,543379,444759,49625516,38267701,-7350774,49658797.40,38267701.25,-7350774.16,No,91.33,91.39,70.43,70.43,-16.53,-16.53,0.06,0.00,0.00
UnitedHealthcare Insurance Company,North Carolina,69347,3025,443252,0,-32276.53,-2274460.07,N/E,$-,-2306736.60,No,0.00,#VALUE!,-10.67,#VALUE!,-5.13,-5.20,#VALUE!,#VALUE!,-0.07
"CareFirst BlueChoice, Inc.",District of Columbia,86052,110036,440289,3019983.96,-1630614.04,-10757047.39,3021555.65,-1630614.05,-10757047.29,No,27.45,27.46,-14.82,-14.82,-24.43,-24.43,0.01,0.00,0.00
"Matthew Thornton Health Plan, Inc.",New Hampshire,96751,359424,436267,8346793.28,156537.94,1480182.4,8351137.21,156537.94,1480182.40,No,23.22,23.23,0.44,0.44,3.39,3.39,0.01,0.00,0.00
"Humana Health Benefit Plan of Louisiana, Inc.",Louisiana,44965,248033,434330,6596325.19,-2546110.54,-4759020.22,6599758.13,-2526804.46,-4759020.22,No,26.59,26.61,-10.27,-10.19,-10.96,-10.96,0.01,0.08,0.00
"AvMed, Inc.",Florida,19898,168528,434149,3802606,-148477,-3997943,3804584.76,-148477.46,-3997943.28,Yes,22.56,22.58,-0.88,-0.88,-9.21,-9.21,0.01,0.00,0.00
Aetna Life Insurance Company,Connecticut,39159,93291,433610,4541714.71,-621770.44,-610884.79,4544078.36,-621770.44,-610884.79,No,48.68,48.71,-6.66,-6.66,-1.41,-1.41,0.03,0.00,0.00
Blue Cross and Blue Shield of Vermont,Vermont,13627,335682,430074,19113905,12275443,-11694155,,,,Yes,56.94,0.00,36.57,0.00,-27.19,0.00,-56.94,-36.57,27.19
Regence BlueCross BlueShield of Utah,Utah,22013,234400,429542,4737947,1591756,-1352263,4740413.21,1629776.02,-1352263.41,Yes,20.21,20.22,6.79,6.95,-3.15,-3.15,0.01,0.16,0.00
Aetna Life Insurance Company,Arizona,84251,127740,421935,1613468.24,-3663100.18,-4599781.33,1614307.95,-3663100.18,-4599781.33,No,12.63,12.64,-28.68,-28.68,-10.90,-10.90,0.01,0.00,0.00
"Coventry Health Care of the Carolinas, Inc.",North Carolina,56346,1258611,418066,38727295.86,-47680707.29,-9400776.79,38747450.73,-47680707.29,-9400776.79,No,30.77,30.79,-37.88,-37.88,-22.49,-22.49,0.02,0.00,0.00
Independent Health Benefits Corporation,New York,18029,45191,414772,2253463,6710761,4587941,2216885.52,7655906.80,7032740.32,Yes,49.87,49.06,148.50,169.41,11.06,16.96,-0.81,20.91,5.89
UnitedHealthcare Insurance Company,Michigan,63631,2949,409266,0,-45546.65,-1108766.27,N/E,$-,-1154312.92,No,0.00,#VALUE!,-15.44,#VALUE!,-2.71,-2.82,#VALUE!,#VALUE!,-0.11
UHC of California,California,49116,3275,403312,0,920132.45,-2210223.62,N/E,$-,-1290603.41,No,0.00,#VALUE!,280.96,#VALUE!,-5.48,-3.20,#VALUE!,#VALUE!,2.28
UnitedHealthcare Insurance Company,Ohio,56726,4768,402846,0,10083.12,1765119.28,N/E,$-,1775202.40,No,0.00,#VALUE!,2.11,#VALUE!,4.38,4.41,#VALUE!,#VALUE!,0.03
Humana Insurance Company,Illinois,68303,86198,397474,3776222.99,3845784.08,1343082.51,3778188.26,4859821.84,1632766.92,No,43.81,43.83,44.62,56.38,3.38,4.11,0.02,11.76,0.73
Optima Health Plan,Virginia,20507,412840,389074,17767827.9,42170520.55,6375531.18,17769218.56,42170520.55,6375531.18,Yes,43.04,43.04,102.15,102.15,16.39,16.39,0.00,0.00,0.00
"Summa Insurance Company, Inc.",Ohio,52664,53021,375458,2386505,35682,2820323,2387747.27,35681.99,2820322.62,No,45.01,45.03,0.67,0.67,7.51,7.51,0.02,0.00,0.00
"Health Care Service Corporation, a Mutual Legal Reserve Company",Montana,30751,555866,374972,29261207.93,-4708322.25,-89903.73,29263271.43,-4708322.25,-89903.73,Yes,52.64,52.64,-8.47,-8.47,-0.24,-0.24,0.00,0.00,0.00
Aetna Life Insurance Company,Georgia,83978,248398,365173,6805223.19,-14644018.01,3355287.06,6808764.85,-14644018.02,3485222.28,No,27.40,27.41,-58.95,-58.95,9.19,9.54,0.01,0.00,0.36
Blue Cross and Blue Shield of Nebraska,Nebraska,29678,847755,361056,32356285,8208131,1086662.44,32361756.58,13541049.63,3977257.76,Yes,38.17,38.17,9.68,15.97,3.01,11.02,0.01,6.29,8.01
Coventry Health & Life Insurance Company,Missouri,44240,1752758,360569,59835189.72,-22528151.66,-239352.1,31011926.25,-20980901.39,-233857.65,No,34.14,17.69,-12.85,-11.97,-0.66,-0.65,-16.44,0.88,0.02
"Wellmark of South Dakota, Inc.",South Dakota,50305,572020,353553,8861709,-1043395,1566499,8866320.54,-1043395.44,1566498.82,No,15.49,15.50,-1.82,-1.82,4.43,4.43,0.01,0.00,0.00
Western Health Advantage,California,93689,82544,352835,5933937.206,-1713529.97,3553914.02,6089256.83,-1713529.97,3553914.02,Yes,71.89,73.77,-20.76,-20.76,10.07,10.07,1.88,0.00,0.00
BLUE CROSS AND BLUE SHIELD OF KANSAS CITY,Missouri,34762,659275,349948,22853856.76,20705929.36,-325653.6,22865750.61,20705929.36,-325653.60,Yes,34.67,34.68,31.41,31.41,-0.93,-0.93,0.02,0.00,0.00
