,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE,RISK_TRANSFER_INDIVIDUAL,RISK_TRANSFER_SMALL_GROUP,Hash,MR_SUBMISSION_TEMPLATE_ID,MEMBER_MONTHS_INDIVIDUAL,MEMBER_MONTHS_SMALL_GROUP
88,92036,Health Span,OH,4158176.9,-6743522.63,-471429.58,-187956266.09,139507.0,107468.0,14217.0
89,41047,Buckeye Community Health Plan,OH,649585.83,-6141372.01,0.0,-185835431.5,139393.0,63391.0,0.0
90,84251,Aetna Life Insurance Company,AZ,1613468.24,-3663100.18,-4599781.33,-180458110.51,145400.0,127740.0,421935.0
91,70239,Health Choice Insurance Co.,AZ,1542063.16,-5999819.7,0.0,-175199968.58,139427.0,58566.0,0.0
92,43070,United Healthcare Life Insurance Company,IN,11719200.31,-8198015.22,0.0,-172104069.64999998,145226.0,175956.0,0.0
93,85736,UCare Minnesota,MN,1958644.09,-5906132.97,0.0,-169379613.44,144900.0,115591.0,0.0
94,89130,"HPHC Insurance Company, Inc.",CT,0.0,0.0,-9781592.11,-166287065.87,,,
95,87226,Superior Health Plan,TX,1216016.27,-5580967.25,0.0,-164497870.86,139391.0,102284.0,0.0
96,10207,"CareFirst Blue Choice, Inc.",VA,9089003.13,-4690047.91,-4863412.73,-164446479.71000004,,,
97,18973,Coventry Health Care of Iowa Inc.,IA,23491160.98,-10780079.07,459305.01,-161936139.14000002,,,
98,38128,Montana Health Cooperative,ID,7007696.78,-6390206.43,-196033.64,-152375093.74999997,,,
99,93187,Aetna Health Inc. (a PA corp.),VA,0.0,0.0,-8533686.28,-145072666.76,,,
100,25896,Wellmark Health Plan of Iowa,IA,1963170.11,-4391485.66,-1170299.82,-142288961.63000003,,,
101,25978,United Healthcare Insurance Company,VA,0.0,0.0,-7578909.62,-128841463.54,,,
102,71837,"Sendero Health Plans, Inc.",TX,1493473.13,-4376813.02,0.0,-125226891.70999998,,,
103,50816,"Physicians Health Plan of Northern Indiana, Inc.",IN,7076370.23,-7085738.88,2912178.01,-120616287.50000003,,,
104,73836,"Moda Health Plan, Inc.",AK,26291860.29,-9415111.19,-683234.43,-119440410.16999999,,,
105,13667,Health Plus of Michigan,MI,912949.68,-4076070.63,83736.21,-118544026.2,,,
106,14468,"Coventry Health Care of Delaware, Inc.",MD,0.0,0.0,-6945127.9,-118067174.30000001,,,
107,38166,"Security Health Plan of Wisconsin, Inc.",WI,31470678.05,-10390482.3,-900331.9,-117115847.25000001,,,
108,96601,"Coventry Health Care of Illinois, Inc.",IL,6779907.14,-5367684.26,127525.13,-116770934.87000002,,,
109,45636,Care Source Kentucky Co.,KY,471687.18,-3862217.41,0.0,-116426929.45,,,
110,72850,United Healthcare Insurance Company,IN,0.0,0.0,-6771739.27,-115119567.58999999,,,
111,45786,Molina Healthcare of Texas,TX,2012006.55,-4116190.69,0.0,-113517865.54,,,
112,44965,"Humana Health Benefit Plan of Louisiana, Inc.",LA,6596325.19,-2526804.46,-4759020.22,-113060005.66999999,,,
113,71268,CoOportunity Health,IA,520740.41,-1753954.62,-3537357.91,-110862494.82000001,144863.0,10554.0,18569.0
114,38927,Altius Health Plans Inc.,UT,2270806.33,-3519378.66,-991146.89,-110054591.28,,,
115,33871,"Keystone Health Plan East, Inc.",PA,49277759.63,-12386830.58,-4106693.9,-108861226.86999999,,,
116,47342,Health Tradition Health Plan,WI,5970215.02,-4413566.24,-781266.69,-108310582.03,,,
117,94237,Magnolia Health Plan,MS,4584271.37,-4508929.62,0.0,-107686918.63,139387.0,219401.0,0.0
118,38596,Time Insurance Company,AK,1166760.16,-2908793.99,-1465993.25,-106927177.82000001,,,
119,91716,Aetna Life Insurance Company,TX,19067675.56,-10218459.31,4559477.87,-105787385.90000002,145442.0,562121.0,762695.0
120,79881,"United Healthcare of New England, Inc.",RI,204999.6,-1072057.02,-4145329.17,-102269366.31,,,
121,86443,"Innovation Health Plan, Inc.",VA,0.0,0.0,-5954916.7,-101233583.9,,,
122,91058,"Gundersen Health Plan, Inc.",WI,5244496.83,-855334.89,-6517699.11,-100604788.65,,,
123,34102,"Group Health Plan, Inc.",MN,4670695.94,-4257609.45,0.0,-99291021.37,,,
124,94506,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,493042.61,-1625923.79,-2940128.99,-96934532.05000001,,,
125,82483,North Shore-LIJ Insurance Company Inc.,NY,8733137.65,2282312.43,-13302063.81,-94251435.89000002,,,
126,23489,United Healthcare Insurance Company,PA,0.0,0.0,-5371431.92,-91314342.64,,,
127,71667,"United Healthcare Community Plan, Inc.",MI,749704.59,-3038785.1,0.0,-88954405.97000001,139717.0,55506.0,0.0
128,82649,Federated Mutual Insurance Company,MI,0.0,0.0,-4753200.26,-80804404.42,,,
129,60769,Federated Mutual Insurance Company,MN,0.0,0.0,-4702535.67,-79943106.39,,,
130,18167,Molina Healthcare of Utah,UT,1294507.75,-2854734.71,0.0,-79435221.76,,,
131,44580,Humana Insurance Company,AL,4106399.0,-3473430.83,0.0,-78931562.73,145785.0,80011.0,0.0
132,10958,United Healthcare Ins Co of River Valley,TN,0.0,0.0,-4628908.57,-78691445.69,,,
133,30609,"Memorial Hermann Health Insurance Company, Inc.",TX,47174.92,142237.3,-4900934.99,-78576314.09,,,
134,82824,Aetna Health Inc. (a GA corp.),GA,0.0,0.0,-4618662.88,-78517268.96,,,
135,21032,Kaiser Foundation Health Plan of Colo.,CO,20531573.09,-7630792.84,951160.48,-76663838.25,,,
136,16204,"Coordinated Health Mutual, Inc.",OH,15340572.04,-3985495.69,-3214448.51,-70811986.78,,,
137,34673,Aetna Life Insurance Company,WA,0.0,0.0,-4146219.54,-70485732.18,,,
138,87696,Time Insurance Company,NC,2412911.43,-2641746.14,-271229.67,-69614654.72,,,
139,68432,"IlliniCare Health Plan, Inc.",IL,41625.12,-2232448.52,0.0,-68914528.28,139399.0,16369.0,0.0
140,34541,Bridge Span Health Company,UT,3260858.06,-2946127.55,0.0,-68503947.63,,,
141,66083,"Humana Health Plan of Ohio, Inc.",OH,5152813.04,-1928407.65,-2483141.65,-65924353.919999994,142222.0,113702.0,337779.0
142,96384,Cox Health Systems Insurance Company,MO,1953915.81,-1884389.93,-1229766.58,-65644709.019999996,,,
143,33670,Rocky Mountain Hos&Med Svc(Anthem BCBS),NV,2720481.66,-4821040.08,3892116.41,-64242891.889999986,142877.0,150570.0,144350.0
144,99308,"Humana Health Insurance Co of FL, Inc.",FL,1206173.54,-2261208.38,-124082.7,-63763650.9,141775.0,231548.0,7886.0
145,48396,Anthem Health Plans of ME(Anthem BCBS),ME,6669157.74,-3917017.08,688516.26,-63038648.88000001,140571.0,260198.0,210436.0
146,91303,"Health America Pennsylvania, Inc.",PA,2390670.97,-2527671.54,0.0,-61623120.949999996,,,
147,31112,United Healthcare of the MidAtlantic Inc.,MD,504657.46,-1146080.38,-1678830.01,-60535999.73,,,
148,23841,Aetna Life Insurance Company,FL,731083.64,-2790586.53,1289962.56,-59461233.42999999,145407.0,34529.0,112153.0
149,75091,"ConnectiCare, Inc.",CT,26556.12,-1899004.88,-6351.77,-58791238.529999994,,,
150,26734,"Premier Health Plan, Inc.",OH,503783.01,-2005787.99,0.0,-58652946.62,141435.0,21655.0,0.0
151,59830,Health Plus Insurance Company,MI,9023847.45,-4117248.29,469960.22,-56478441.1,,,
152,50221,Oscar Insurance Corporation of New Jersey,NJ,944744.18,-1957295.7,0.0,-54062957.44,144524.0,27789.0,0.0
153,29497,Aetna Life Insurance Company,DE,983449.95,-1832345.1,-241246.17,-54019733.34,,,
154,17255,Golden Rule Insurance Company,NV,617120.17,-1803076.9,0.0,-51575542.71,138659.0,61178.0,0.0
155,38752,Aetna Life Insurance Company,WI,0.0,0.0,-3018035.3,-51306600.099999994,,,
156,37903,"QualChoice Life & Health Insurance Company, Inc.",AR,4993056.46,-2751129.36,-17495.48,-50631038.099999994,144894.0,149251.0,15283.0
157,18699,United Healthcare Insurance Company,WA,0.0,0.0,-2911146.39,-49489488.63,,,
158,52697,"Molina Healthcare of Wisconsin, Inc.",WI,13394747.66,-4595003.52,0.0,-48681875.49999997,,,
159,84867,Aetna Health Inc. (a PA corp.),OH,0.0,0.0,-2831979.85,-48143657.45,,,
160,64210,"Sutter Health Plan, Inc.",CA,184454.94,309874.09,-3431344.78,-47435579.89,,,
161,37755,Insurance Company of Scott & White,TX,476584.95,-1613428.88,0.0,-46680200.629999995,137255.0,78033.0,0.0
162,19898,"AvMed, Inc.",FL,3802605.77,-148477.46,-3997943.28,-45949596.62999999,,,
163,62210,DAKOTACARE,SD,9162251.24,-2809177.34,-1242844.35,-44077092.809999995,,,
164,70767,Aetna Life Insurance Company,MD,0.0,0.0,-2554392.85,-43424678.45,,,
165,80148,Federated Mutual Insurance Company,PA,0.0,0.0,-2549615.51,-43343463.669999994,,,
166,92120,"Coventry Health Plan of Florida, Inc.",FL,489283.73,-1502492.36,0.0,-43152277.050000004,143864.0,41870.0,0.0
167,47949,Golden Rule Insurance Company,KY,305224.98,-1451612.01,0.0,-42863397.45,138649.0,13076.0,0.0
168,34446,United Healthcare Ins Co of River Valley,IL,0.0,0.0,-2373664.9,-40352303.3,,,
169,64701,Federated Mutual Insurance Company,MO,0.0,0.0,-2366698.58,-40233875.86,,,
170,69347,United Healthcare Insurance Company,NC,0.0,0.0,-2306736.6,-39214522.2,,,
171,81068,Aetna Life Insurance Company,MI,613289.43,-1395523.24,0.0,-38968194.43,,,
172,30613,Humana Insurance Company,MO,4907965.39,-188325.95,-3938829.87,-38442454.510000005,145811.0,85368.0,182866.0
173,50138,Aetna Health Inc. (a NY corp.),NY,0.0,0.0,-2194924.08,-37313709.36,,,
174,40220,"United Healthcare of Texas, Inc.",TX,0.0,0.0,-2135148.22,-36297519.74,,,
175,59025,Harvard Pilgrim Health Care of NE,NH,2618360.08,-1229943.19,-843133.48,-34132987.489999995,,,
176,72547,Aetna Life Insurance Company,IL,814182.41,-670691.43,-1111838.73,-33993415.870000005,,,
177,57845,Medica Health Plans of Wisconsin,WI,5112090.38,-2183267.46,0.0,-31896658.60000001,145706.0,76759.0,0.0
178,30552,United Healthcare Ins Co of River Valley,GA,0.0,0.0,-1853417.85,-31508103.450000003,,,
179,71179,"Oxford Health Plans (CT), Inc.",CT,0.0,0.0,-1834583.56,-31187920.52,,,
180,19298,Aetna Health Inc. (a PA corp.),NV,44569.5,-1143730.03,261732.04,-30694199.75,,,
181,33232,United Healthcare Ins Co of River Valley,OH,0.0,0.0,-1790106.79,-30431815.43,,,
182,99663,"Coventry Health Care of Virginia, Inc.",VA,14299851.95,1027646.58,-9528358.12,-30026080.409999996,145393.0,507146.0,329571.0
183,68541,Coventry Health and Life,MD,0.0,0.0,-1649007.49,-28033127.33,,,
184,67190,Aetna Health Inc. (a PA corp.),DE,729231.6,-743159.52,-557909.15,-27417779.470000003,145373.0,12516.0,45656.0
185,92045,Meritus Mutual Health Partners,AZ,3283274.8,-558586.58,-1913246.31,-26858447.650000002,,,
186,89106,United Healthcare Life Insurance Company,WI,2292719.96,-1371221.77,0.0,-26458835.15,145246.0,51450.0,0.0
187,57173,Presbyterian Health Plan,NM,5372621.3,-2390195.41,620026.82,-25947252.67000001,,,
188,94968,United Healthcare Insurance Company,KS,0.0,0.0,-1525779.62,-25938253.540000003,,,
189,59036,"United Healthcare of Colorado, Inc.",CO,0.0,0.0,-1520187.65,-25843190.049999997,,,
190,39595,WellCare of New York,NY,64751.48,-846218.15,0.0,-25779502.290000003,139184.0,5221.0,0.0
191,93848,Coventry Health & Life Insurance Co.,VA,0.0,0.0,-1496683.75,-25443623.75,,,
192,81914,"Coventry Health Care of Delaware, Inc.",DE,0.0,0.0,-1468781.32,-24969282.44,,,
193,58658,United Healthcare Ins Co of River Valley,NC,0.0,0.0,-1453280.86,-24705774.62,,,
194,59809,United Healthcare Life Insurance Company,AL,147985.51,-805865.4,2012.29,-23911719.900000002,145214.0,7077.0,26.0
195,13433,Federated Mutual Insurance Company,VA,0.0,0.0,-1377421.98,-23416173.66,,,
196,89364,Sanford Health Plan,ND,935206.97,-728919.89,-429914.25,-23358610.05,143389.0,28955.0,59864.0
197,49116,UHC of California,CA,0.0,0.0,-1290603.41,-21940257.97,,,
198,47340,Federated Mutual Insurance Company,NE,0.0,0.0,-1283549.38,-21820339.459999997,,,
199,90117,United Healthcare Insurance Company,RI,0.0,0.0,-1255163.31,-21337776.27,,,
200,60829,Physicians Health Plan,MI,188387.16,-347998.34,-665160.05,-20776959.270000003,141523.0,12200.0,49137.0
201,40586,"Bluegrass Family Health, Inc.",KY,0.0,0.0,-1208814.63,-20549848.709999997,,,
202,61644,Aetna Life Insurance Company,NC,651649.37,-715751.32,-157069.07,-20296919.52,145432.0,16986.0,11487.0
203,67920,Southeastern Indiana Health Organization,IN,216686.3,-233538.83,-852678.23,-20218429.54,,,
204,42529,"United Healthcare of Illinois, Inc.",IL,0.0,0.0,-1185146.24,-20147486.08,,,
205,53524,Coventry Health and Life,OK,22500.68,-200398.31,-816839.4,-19941112.650000002,,,
206,53189,WINhealth Partners,WY,8897182.72,-2626798.16,-31069.24,-19678641.0,,,
207,63631,United Healthcare Insurance Company,MI,0.0,0.0,-1154312.92,-19623319.64,,,
208,Time,Insurance Company,AR,852994.87,-668914.23,-271493.27,-19380762.63,,,
209,87698,Community Care Life & Health Insurance Co,OK,0.0,1200.32,-1132219.85,-19210527.53,,,
210,16724,"United Healthcare of the Midwest, Inc.",IL,424225.77,-702032.46,0.0,-18793425.869999997,138886.0,11753.0,0.0
211,44434,Aetna Health Inc. (a PA corp.),WV,0.0,-295477.04,-562420.22,-18720931.98,,,
212,44113,"Empire HealthChoice Assurance, Inc.",NY,0.0,0.0,-1060038.06,-18020647.02,,,
213,16481,"UPMC Health Network, Inc.",PA,0.0,0.0,-1036677.48,-17623517.16,,,
214,96800,Federated Mutual Insurance Company,OH,0.0,0.0,-999288.99,-16987912.83,,,
215,79962,Highmark Benefits Group Inc.,PA,0.0,0.0,-984206.65,-16731513.05,,,
216,90010,Tufts Associated Health Maintenance Org,RI,0.0,0.0,-974465.99,-16565921.83,,,
217,85266,Hometown Health Providers Ins. Co. Inc.,NV,221193.23,397248.75,-1757923.69,-16021638.870000001,,,
218,73987,Aetna Health Inc. (a PA corp.),DC,0.0,0.0,-905578.03,-15394826.51,,,
219,29031,National Health Insurance Company,UT,0.0,0.0,-896025.25,-15232429.25,,,
220,40047,"Molina Healthcare of Michigan, Inc.",MI,108388.03,-489545.74,0.0,-14417201.73,139856.0,14956.0,0.0
221,38835,Federated Mutual Insurance Company,GA,0.0,0.0,-840870.47,-14294797.99,,,
222,32237,Humana Insurance Company,NC,292878.17,-520970.75,0.0,-14099946.06,145818.0,28992.0,12.0
223,72034,CHRISTUS Health Plan,NM,22683.29,-455783.17,0.0,-13970495.24,,,
224,52744,Presbyterian Insurance Company,NM,0.0,0.0,-818490.89,-13914345.13,,,
225,74313,Paramount Insurance Company,OH,1271902.17,-580499.95,-264272.01,-13584807.43,,,
226,77422,Aetna Life Insurance Company,DC,26064.57,-254043.25,-335906.75,-13403303.51,,,
227,61794,United Healthcare Life Insurance Company,MS,177997.67,-448183.32,-40377.81,-13334122.0,145231.0,10571.0,1064.0
228,93018,VIVA Health,AL,0.0,0.0,-782962.27,-13310358.59,,,
229,95366,University Health Alliance (UHA),HI,0.0,0.0,-778728.87,-13238390.79,,,
230,80049,United Healthcare Insurance Company,AK,0.0,0.0,-757521.8,-12877870.600000001,,,
231,36026,"Health Net Health Plan of Oregon, Inc.",WA,0.0,0.0,-757462.93,-12876869.81,,,
232,42754,United Healthcare Life Insurance Company,NC,1229793.65,-684964.86,0.0,-12625355.110000001,145235.0,25083.0,0.0
233,22732,United Healthcare Ins Co of River Valley,AR,0.0,0.0,-737381.2130991,-12535480.6226847,,,
234,99685,Humana Insurance Company,AR,149105.97,-484230.53,91590.58,-12410364.780000001,145788.0,8077.0,1810.0
235,69461,United Healthcare Insurance Company,AL,0.0,0.0,-724205.96,-12311501.32,,,
236,97132,"Lovelace Health System, Inc.",NM,0.0,0.0,-699983.2,-11899714.399999999,,,
237,64772,Medical Associates Health Plans,WI,0.0,0.0,-696241.56,-11836106.520000001,,,
238,62294,Humana Insurance Company,MI,1227009.54,-356523.02,-541342.84,-11665975.12,145808.0,33385.0,62952.0
239,63509,"Valley Baptist Health Plans, dba of VBIC",TX,51092.95,-170079.29,-373334.92,-11261500.98,,,
240,66516,Aetna Health Inc. (a PA corp.),MD,0.0,0.0,-655553.92,-11144416.64,,,
241,41094,"Hometown Health Plan, Inc.",NV,0.0,-64141.23,-535962.57,-11099741.82,,,
242,88678,United Healthcare Insurance Company,IA,0.0,0.0,-608397.92,-10342764.64,,,
243,58483,John Alden Life Insurance Company,TX,0.0,0.0,-588168.1,-9998857.7,,,
244,95882,"Harvard Pilgrim Health Care of Connecticut, Inc.",CT,0.0,0.0,-586198.35,-9965371.95,,,
245,58239,"United Healthcare Plan of the River Valley, Inc.",IL,0.0,0.0,-586082.45,-9963401.649999999,,,
246,35334,Mercy Care Insurance Company,WI,0.0,0.0,-585670.39,-9956396.63,,,
247,43477,Crystal Run Health Insurance Company Inc.,NY,0.0,0.0,-578572.33,-9835729.61,,,
