,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
33,40702,"United Healthcare of Arizona, Inc.",AZ,N/E,$-,"$(34,081.48)"
34,51485,Health Net Life Insurance Company,AZ,"$46,215,394.37","$26,294,064.75","$7,584,973.03"
35,53901,"Blue Cross Blue Shield of Arizona, Inc.",AZ,"$51,821,293.19","$20,131,634.31","$(837,227.17)"
36,59096,Standard Security Life,AZ,N/E,$-,"$(5,153.41)"
37,60761,Meritus Health Partners,AZ,"$7,175,051.81","$(48,452,998.55)","$(788,993.84)"
38,65441,"Phoenix Health Plans, Inc.",AZ,$0.00,"$(247,328.86)",$-
39,66105,Humana Insurance Company,AZ,"$1,778,440.10","$689,053.89","$900,266.16"
40,70239,Health Choice Insurance Co.,AZ,"$1,542,865.70","$(5,999,819.70)",$-
41,70904,WMI Mutual Insurance Company,AZ,N/E,$-,"$(47,954.99)"
42,73893,John Alden Life Insurance Company,AZ,N/E,$-,"$543,121.99"
43,75849,Freedom Life Insurance,AZ,"$4,146.48","$168,620.34",$-
44,78611,Aetna Health Inc. (a PA corp.),AZ,N/E,$-,"$296,497.65"
45,80863,Time Insurance Company,AZ,"$12,354,851.10","$11,878,587.57","$355,617.92"
46,82011,United Healthcare Insurance Company,AZ,N/E,$-,"$4,970,157.33"
47,84251,Aetna Life Insurance Company,AZ,"$1,614,307.95","$(3,663,100.18)","$(4,599,781.33)"
48,86830,Cigna Health and Life Insurance Company,AZ,"$1,431,522.46","$2,978,136.23",$(35.55)
49,88925,"University of Arizona Health PlansUniversity Healthcare, Inc.",AZ,"$462,348.20","$(9,792,044.00)",$-
50,90169,United Healthcare Life Insurance Company,AZ,"$737,940.90","$784,206.91",$-
51,91450,"Health Net of Arizona, Inc.",AZ,"$12,625,077.68","$1,953,496.40","$(4,432,593.99)"
52,92045,Meritus Mutual Health Partners,AZ,"$3,284,983.52","$(558,586.58)","$(1,913,246.31)"
53,97667,"Cigna HealthCare of Arizona, Inc.",AZ,N/E,$-,"$(56,070.83)"
54,98971,All Savers Insurance Company,AZ,"$4,527,194.30","$2,979,667.72","$23,085.14"
55,18126,Molina Healthcare of California,CA,"$1,230,390.91","$(25,983,024.62)",$-
56,20523,Aetna Health of California Inc.,CA,N/E,$-,"$(55,802,137.54)"
57,27330,Kaiser Permanente Insurance Company,CA,N/E,$-,"$765,550.26"
58,27603,Blue Cross of California (Anthem BC),CA,"$324,481,782.24","$(26,380,560.05)","$98,210,694.17"
59,35305,Trustmark Life Insurance Company,CA,$0.00,"$(165,775.07)",$-
60,40025,Cigna Health and Life Insurance Company,CA,"$17,586,666.04","$5,953,639.83",$-
61,40513,"Kaiser Foundation Health Plan, Inc.",CA,"$193,662,847.01","$(82,078,859.73)","$(86,677,086.30)"
62,40733,Aetna Life Insurance Company,CA,N/E,$-,"$26,507,101.90"
63,47579,Chinese Community Health Plan,CA,"$2,569,834.40","$(28,712,244.96)","$(1,540,479.60)"
64,49116,UHC of California,CA,N/E,$-,"$(1,290,603.41)"
65,56887,"County of Ventura, dba Ventura County Health Care Plan",CA,$0.00,$-,"$358,925.34"
66,64198,Time Insurance Company,CA,"$65,148,241.89","$63,308,434.85",$-
67,64210,"Sutter Health Plan, Inc.",CA,"$184,550.94","$309,874.09","$(3,431,344.78)"
68,64618,National Health Insurance Company,CA,$0.00,$-,"$(161,102.44)"
69,67138,"Health Net of California, Inc.",CA,"$41,900,195.93","$(125,635,855.94)","$(9,525,637.47)"
70,68744,Humana Insurance Company,CA,N/E,$-,"$23,570.86"
71,70285,CA Physician's Service dba Blue Shield of CA,CA,"$282,147,399.11","$181,516,598.98","$19,822,043.90"
72,71408,"Moda Health Plan, Inc.",CA,$0.00,"$(40,592.40)",$-
73,84014,County of Santa Clara,CA,"$505,318.49","$(115,235.31)",$-
74,92499,Sharp Health Plan,CA,"$9,640,079.06","$9,791,489.44","$(5,238,158.44)"
75,92815,Local Initiative Health Authority for Los Angeles County,CA,"$173,346.94","$(23,491,264.75)",$-
76,93689,Western Health Advantage,CA,"$6,089,256.83","$(1,713,529.97)","$3,553,914.02"
77,95677,United Healthcare Insurance Company,CA,N/E,$-,"$3,006,738.38"
78,99110,Health Net Life Insurance Company,CA,"$94,347,305.12","$53,436,905.52","$11,418,011.12"
79,11555,New Health Ventures Inc.,CO,"$389,863.07","$173,278.24",$-
80,20472,"Colorado Health Insurance Cooperative, Inc.",CO,"$38,664,334.67","$(41,180,913.97)","$(819,602.44)"
81,21032,Kaiser Foundation Health Plan of Colo.,CO,"$20,539,222.46","$(7,630,792.84)","$951,160.48"
82,28700,Freedom Life Insurance,CO,"$49,057.63","$98,569.13",$-
83,35944,Kaiser Permanente Insurance Company,CO,N/E,$-,"$(124,133.71)"
84,39060,Time Insurance Company,CO,"$5,903,506.26","$6,541,514.95",$-
85,49375,Cigna Health and Life Insurance Company,CO,"$6,431,729.43","$10,417,522.17",$-
86,59036,"United Healthcare of Colorado, Inc.",CO,N/E,$-,"$(1,520,187.65)"
87,63312,Colorado Choice Health Plans,CO,"$4,665,826.16","$1,562,462.46","$(1,750,013.59)"
88,66699,"Denver Health Medical Plan, Inc.",CO,"$90,456.80","$2,379,976.29",$-
89,67879,United Healthcare Insurance Company,CO,N/E,$-,"$979,323.74"
90,74320,Humana Health Plan,CO,"$7,614,421.26","$6,064,407.53","$3,278,864.95"
91,76680,HMO Colorado Inc.(Anthem BCBS),CO,"$9,021,034.94","$29,925.42","$(1,803,127.62)"
92,79509,Humana Insurance Company,CO,"$1,442,411.66","$664,060.25","$(95,294.25)"
93,80208,Rocky Mountain Health Care Options,CO,N/E,$-,"$4,347,588.59"
94,87269,Rocky Mountain Hos & Med Svc(Anthem BCBS),CO,"$3,292,837.76","$(318,263.67)","$(1,239,886.17)"
95,92137,All Savers Insurance Company,CO,"$73,109.00","$168,907.50",$-
96,92291,United Healthcare Life Insurance Company,CO,"$1,255,110.84","$2,513,503.26",$-
97,97879,Rocky Mountain HMO,CO,"$32,893,237.64","$18,515,843.40","$(2,204,692.42)"
98,29462,"Oxford Health Insurance, Inc.",CT,N/E,$-,"$5,162,193.87"
99,39159,Aetna Life Insurance Company,CT,"$4,544,078.36","$(621,770.44)","$(610,884.79)"
100,40591,Golden Rule Insurance Company,CT,"$1,962,499.71","$(164,216.71)",$-
101,49650,United Healthcare Insurance Company,CT,"$1,989,551.43","$1,159,270.36","$(291,961.23)"
102,71179,"Oxford Health Plans (CT), Inc.",CT,N/E,$-,"$(1,834,583.56)"
103,75091,"ConnectiCare, Inc.",CT,"$26,569.95","$(1,899,004.88)","$(6,351.77)"
104,76962,"ConnectiCare Benefits, Inc.",CT,"$20,637,447.76","$4,456,584.71",$-
105,85732,United Healthcare Life Insurance Company,CT,"$1,061,734.21","$2,156,886.02",$-
106,86542,Time Insurance Company,CT,"$2,420,111.46","$905,352.48",$-
107,86545,Anthem Health Plans Inc.(Anthem BCBS),CT,"$37,802,725.10","$25,538,509.66","$25,341,838.53"
108,87354,Cigna Health and Life Insurance Company,CT,"$949,866.36","$1,551,767.81",$-
109,89130,"HPHC Insurance Company, Inc.",CT,N/E,$-,"$(9,781,592.11)"
110,91069,"HealthyCT, Inc.",CT,"$11,450,211.51","$(6,912,671.83)","$(6,459,820.49)"
111,94815,"ConnectiCare Insurance Company, Inc.",CT,"$17,822,555.02","$(26,170,707.17)","$(10,932,640.17)"
112,95882,"Harvard Pilgrim Health Care of Connecticut, Inc.",CT,N/E,$-,"$(586,198.35)"
113,21066,United Healthcare of the MidAtlantic Inc.,DC,N/E,$-,"$(46,276.28)"
114,41842,United Healthcare Insurance Company,DC,N/E,$-,"$(389,192.26)"
115,73987,Aetna Health Inc. (a PA corp.),DC,N/E,$-,"$(905,578.03)"
116,75753,"Optimum Choice, Inc.",DC,N/E,$-,"$(171,150.38)"
117,77422,Aetna Life Insurance Company,DC,"$26,078.14","$(254,043.25)","$(335,906.75)"
118,78079,GHMSI,DC,"$2,537,992.49","$3,510,581.06","$15,545,279.98"
119,86052,"CareFirst Blue Choice, Inc.",DC,"$3,021,555.65","$(1,630,614.05)","$(10,757,047.29)"
120,94506,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,"$493,299.21","$(1,625,923.79)","$(2,940,128.99)"
121,29497,Aetna Life Insurance Company,DE,"$983,961.77","$(1,832,345.10)","$(241,246.17)"
122,61021,United Healthcare Insurance Company,DE,N/E,$-,"$67,458.83"
123,67190,Aetna Health Inc. (a PA corp.),DE,"$729,611.12","$(743,159.52)","$(557,909.15)"
124,76168,Highmark BCBSD Inc.,DE,"$20,884,315.58","$2,779,948.94","$2,329,735.02"
125,78960,John Alden Life Insurance Company,DE,N/E,$-,"$(5,432.47)"
126,81914,"Coventry Health Care of Delaware, Inc.",DE,$0.00,$-,"$(1,468,781.32)"
127,89587,Golden Rule Insurance Company,DE,"$53,697.97","$(245,126.83)",$-
128,97569,"Optimum Choice, Inc.",DE,N/E,$-,"$(112,992.65)"
129,97889,Time Insurance Company,DE,"$101,901.86","$40,682.47","$(10,832.08)"
130,15980,Humana Insurance Company,FL,$0.00,$(279.30),$-
131,16842,Blue Cross and Blue Shield of Florida,FL,"$203,698,387.46","$368,933,330.53","$8,102,147.17"
132,17341,United Healthcare Life Insurance Company,FL,"$14,736,590.26","$10,189,460.60",$-
133,18628,Aetna Health Inc. (a FL corp.),FL,"$10,360,565.46","$(28,025,200.75)","$5,437,975.83"
134,19898,"AvMed, Inc.",FL,"$3,804,584.76","$(148,477.46)","$(3,997,943.28)"
135,21663,Celtic Insurance Company,FL,"$110,365.02","$193,747.70",$-
136,23841,Aetna Life Insurance Company,FL,"$731,464.13","$(2,790,586.53)","$1,289,962.56"
137,27357,"Health First Health Plans, Inc.",FL,"$3,432,440.18","$814,327.97","$668,492.53"
138,30252,"Health Options, Inc.",FL,"$49,987,278.15","$81,745,567.90","$(4,176,090.84)"
139,35783,"Humana Medical Plan, Inc.",FL,"$136,834,264.80","$(135,056,370.83)","$(11,511,826.07)"
140,40442,Freedom Life Insurance,FL,"$441,431.46","$544,782.95",$-
141,41240,John Alden Life Insurance Company,FL,N/E,$-,"$6,445.09"
142,42204,All Savers Insurance Company,FL,N/E,$-,"$(125,918.62)"
143,43839,United Healthcare Insurance Company,FL,N/E,$-,"$4,051,544.19"
144,48121,Cigna Health and Life Insurance Company,FL,"$82,711,915.66","$73,421,679.32",$-
145,51398,"Preferred Medical Plan, Inc.",FL,"$11,390,404.66","$(62,496,825.44)",$-
146,54172,"Molina Healthcare of Florida, Inc.",FL,"$19,021,408.95","$(218,903,904.11)",$-
147,56503,"Florida Health Care Plan, Inc.",FL,"$2,186,051.19","$2,314,125.36","$528,571.04"
148,57451,"Coventry Health Care of Florida, Inc.",FL,"$56,919,893.68","$(110,567,546.03)","$973,155.25"
149,62662,Time Insurance Company,FL,"$76,121,282.95","$35,074,237.06","$(112,612.60)"
150,66966,Capital Health Plan,FL,N/E,$-,"$3,951,692.24"
151,68398,"United Healthcare of Florida, Inc.",FL,"$75,479,361.88","$14,572,435.15","$(4,380,861.24)"
152,76089,Coventry Health and Life Insurance Co.,FL,N/E,$-,"$(31,756.97)"
153,77150,"Health First Insurance, Inc.",FL,"$649,761.09","$700,760.10","$(210,737.71)"
154,80779,"Neighborhood Health Partnership, Inc.",FL,N/E,$-,"$(338,156.26)"
155,83883,Florida Health Solution HMO Company,FL,$0.00,"$(166,901.91)",$-
156,86382,Sunshine State Health Plan,FL,"$1,184,424.15","$(26,584,661.51)",$-
157,92120,"Coventry Health Plan of Florida, Inc.",FL,"$489,538.37","$(1,502,492.36)",$-
158,99308,"Humana Health Insurance Co of FL, Inc.",FL,"$1,206,801.28","$(2,261,208.38)","$(124,082.70)"
159,12442,Nippon Life Insurance Company of America,GA,N/E,$-,"$130,774.07"
160,13535,United Healthcare Insurance Company,GA,N/E,$-,"$4,168,453.84"
161,20544,Time Insurance Company,GA,"$12,630,285.95","$10,590,785.72","$(237,705.68)"
162,24775,Celtic Insurance Company,GA,$0.00,"$1,983.90",$-
163,30552,United Healthcare Ins Co of River Valley,GA,N/E,$-,"$(1,784,203.76)"
164,37001,Humana Insurance Company,GA,"$1,390,112.88","$1,622,203.69","$308,751.17"
165,38835,Federated Mutual Insurance Company,GA,N/E,$-,"$(818,531.15)"
166,43802,"United Healthcare of Georgia, Inc.",GA,"$10,987,380.00","$9,760,768.12","$(111,617.91)"
167,45495,Peach State Health Plan,GA,"$2,158,724.63","$(13,768,906.67)",$-
168,47783,"Coventry Health Care of Georgia, Inc.",GA,"$20,317,351.30","$(58,546,619.35)","$(1,319,184.49)"
169,49046,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,"$31,999,615.68","$(15,389,290.74)","$2,806,937.56"
170,50313,John Alden Life Insurance Company,GA,N/E,$-,"$123,868.75"
171,50491,Cigna Health and Life Insurance Company,GA,"$3,610,522.83","$3,938,467.33",$-
172,63411,"Blue Cross and Blue Shield of Georgia, Inc.",GA,N/E,$-,"$2,862,053.98"
173,65890,Coventry Health and Life,GA,N/E,$-,"$(233,155.74)"
174,72796,Freedom Life Insurance,GA,$0.00,$370.93,$-
175,74189,United Healthcare Life Insurance Company,GA,"$961,244.88","$586,323.62",$-
176,82302,Kaiser Permanente Insurance Company,GA,N/E,$-,"$54,610.53"
177,82824,Aetna Health Inc. (a GA corp.),GA,N/E,$-,"$(4,486,504.66)"
178,83761,Alliant Health Plans,GA,"$10,071,727.50","$4,679,043.57","$22,552.36"
179,83978,Aetna Life Insurance Company,GA,"$6,808,764.85","$(14,644,018.02)","$3,485,222.28"
180,89942,Kaiser Foundation Health Plan of Georgia,GA,"$8,692,894.13","$2,627,520.08","$(2,393,268.87)"
181,93332,"Humana Employers Health Plan of Georgia, Inc.",GA,"$213,566,269.89","$68,541,368.02","$(2,579,052.10)"
182,14479,Family Health Hawaii mbs,HI,N/E,$-,"$(462,123.43)"
183,18350,Hawaii Medical Service Association,HI,"$16,197,585.19","$15,467,100.50","$7,322,488.29"
184,54179,United Healthcare Insurance Company,HI,N/E,$-,"$(24,645.33)"
185,56682,Hawaii Medical Assurance Association,HI,N/E,$-,"$662,917.71"
186,60612,"Kaiser Foundation Health Plan, Inc.",HI,"$5,420,682.06","$(15,467,100.50)","$(6,719,908.37)"
187,95366,University Health Alliance (UHA),HI,N/E,$-,"$(778,728.87)"
188,18973,Coventry Health Care of Iowa Inc.,IA,"$23,503,386.50","$(10,780,079.07)","$459,305.01"
189,25896,Wellmark Health Plan of Iowa,IA,"$1,964,191.81","$(4,391,485.66)","$(1,170,299.82)"
190,27651,"Gundersen Health Plan, Inc.",IA,"$169,678.49","$160,860.73","$26,939.77"
191,41397,Federated Mutual Insurance Company,IA,N/E,$-,"$(76,811.45)"
192,50735,Medical Associates Health Plans,IA,$0.00,$-,"$370,973.92"
193,51474,Pekin Life Insurance Company,IA,N/E,$-,"$29,025.45"
194,51820,Coventry Health and Life Insurance Co.,IA,$0.00,$-,"$(13,857.81)"
195,56610,"United Healthcare Plan of the River Valley, Inc.",IA,N/E,$-,"$855,194.75"
196,67580,John Alden Life Insurance Company,IA,N/E,$-,"$39,118.81"
197,68184,Time Insurance Company,IA,"$790,452.44","$(244,924.54)","$(47,915.07)"
198,71268,CoOportunity Health,IA,"$504,598.26","$(1,753,954.62)","$(3,537,357.91)"
199,72160,Wellmark Inc.,IA,"$15,298,546.80","$16,573,829.24","$3,724,624.74"
200,74980,"Avera Health Plans, Inc.",IA,"$274,092.10","$435,753.94","$(22,573.51)"
201,77638,"Health Alliance Midwest, Inc.",IA,N/E,$-,"$(8,581.91)"
202,85930,Sanford Health Plan,IA,N/E,$-,"$(19,387.07)"
203,88678,United Healthcare Insurance Company,IA,N/E,$-,"$(608,397.92)"
204,26002,Select Health,ID,"$19,459,263.73","$9,855,840.04","$(1,382,800.26)"
205,28218,Time Insurance Company,ID,"$199,027.79","$137,386.95","$(45,007.50)"
206,38128,Montana Health Cooperative,ID,"$7,011,343.81","$(6,390,206.43)","$(196,033.64)"
207,43541,National Health Insurance Company,ID,$0.00,$-,"$(54,156.38)"
208,44648,Regence Blue Shield of Idaho,ID,"$643,839.26","$1,002,953.94","$(831,183.51)"
209,45059,Aetna Life Insurance Company,ID,N/E,$-,"$18,122.94"
210,50118,United Healthcare Insurance Company,ID,N/E,$-,"$(13,618.27)"
211,52156,John Alden Life Insurance Company,ID,N/E,$-,"$9,713.17"
212,59765,BridgeSpan Health Company,ID,"$724,349.19","$(37,955.58)",$-
213,60597,Pacific Source Health Plans,ID,"$807,479.44","$600,458.28","$(80,877.14)"
214,61175,Altius Health Plans Inc.,ID,"$14,692.05","$(16,255.24)","$(174,731.40)"
215,61589,"Blue Cross of Idaho Health Service, Inc.",ID,"$38,715,261.37","$(5,152,221.99)","$2,750,572.03"
216,16724,"United Healthcare of the Midwest, Inc.",IL,"$424,446.55","$(702,032.46)",$-
217,18389,Pekin Life Insurance Company,IL,N/E,$-,"$(476,618.51)"
218,20129,"Health Alliance Medical Plans, Inc.",IL,"$9,489,886.93","$(1,326,442.96)","$(1,104,554.13)"
219,24301,Medical Associates Health Plans,IL,N/E,$-,"$(348,670.80)"
220,27833,Celtic Insurance Company,IL,$0.00,$(76.03),$-
221,34446,United Healthcare Ins Co of River Valley,IL,N/E,$-,"$(2,373,664.90)"
222,35670,Coventry Health & Life Co.,IL,"$1,886,166.50","$(644,379.33)","$458,501.80"
223,36096,Blue Cross Blue Shield of Illinois,IL,"$283,514,429.00","$23,056,950.67","$10,877,027.26"
224,42529,"United Healthcare of Illinois, Inc.",IL,N/E,$-,"$(1,185,146.24)"
225,53586,Nippon Life Insurance Company of America,IL,N/E,$-,"$(18,665.99)"
226,57020,John Alden Life Insurance Company,IL,N/E,$-,"$(167,167.35)"
227,58239,"United Healthcare Plan of the River Valley, Inc.",IL,N/E,$-,"$(586,082.45)"
228,58288,"Humana Health Plan, Inc.",IL,"$434,826.64","$730,433.28","$(1,525,019.48)"
229,59311,Madison National Life,IL,N/E,$-,"$(3,428.71)"
230,66143,Federated Mutual Insurance Company,IL,N/E,$-,"$1,306,490.38"
231,66303,United Healthcare Life Insurance Company,IL,"$341,730.30","$(368,112.74)",$-
232,67807,Time Insurance Company,IL,"$3,751,122.34","$5,250,022.24","$(25,545.56)"
233,68303,Humana Insurance Company,IL,"$3,778,188.26","$4,859,821.84","$1,632,766.92"
234,68432,"IlliniCare Health Plan, Inc.",IL,"$41,646.79","$(2,232,448.52)",$-
235,72547,Aetna Life Insurance Company,IL,"$814,606.14","$(670,691.43)","$(1,111,838.73)"
236,75104,"Coventry Health Care of Missouri, Inc.",IL,$0.00,"$(8,129.85)",$-
237,79763,Land of Lincoln Mutual Health Insurance Company,IL,"$18,123,842.55","$(22,604,098.38)","$(9,219,351.96)"
238,82506,Freedom Life Insurance,IL,"$38,014.98","$26,867.72",$-
239,92476,United Healthcare Ins Co of Illinois,IL,N/E,$-,"$4,056,740.92"
240,96601,"Coventry Health Care of Illinois, Inc.",IL,"$6,783,435.61","$(5,367,684.26)","$127,525.13"
241,99129,Aetna Health Inc. (a PA corp.),IL,N/E,$-,"$(313,297.56)"
242,11104,Federated Mutual Insurance Company,IN,N/E,$-,"$(542,240.33)"
243,17575,Anthem Ins Companies Inc.(Anthem BCBS),IN,"$57,453,698.83","$(13,429,318.84)","$6,782,799.40"
244,32378,Aetna Life Insurance Company,IN,N/E,$-,"$(313,624.00)"
245,33380,"Indiana University Health Plans, Inc.",IN,"$396,940.65","$79,692.27",$-
246,35065,Coordinated Care Corporation Indiana,IN,"$3,089,790.64","$(8,064,367.37)",$-
247,35755,US Health and Life Insurance Company,IN,N/E,$-,"$(150,173.33)"
248,36373,All Savers Insurance Company,IN,"$27,281,709.27","$13,324,209.36","$(48,636.23)"
249,43070,United Healthcare Life Insurance Company,IN,"$11,725,100.80","$(8,198,015.22)",$-
250,43442,Humana Health Plan,IN,N/E,$-,"$(102,658.68)"
251,46881,Medical Benefits Mutual Life Insurance,IN,N/E,$-,"$(153,245.43)"
252,50442,Standard Security Life,IN,N/E,$-,"$(27,473.51)"
253,50816,"Physicians Health Plan of Northern Indiana, Inc.",IN,"$7,080,052.99","$(7,085,738.88)","$2,912,178.01"
254,54192,"Care Source Indiana, Inc.",IN,"$4,110,030.68","$(18,119,292.96)",$-
255,62033,"MDwise Marketplace, Inc.",IN,"$10,305,618.57","$17,928,174.59",$-
256,67920,Southeastern Indiana Health Organization,IN,"$216,799.07","$(233,538.83)","$(852,678.23)"
257,72850,United Healthcare Insurance Company,IN,N/E,$-,"$(6,771,739.27)"
258,76179,Celtic Insurance Company,IN,$0.00,"$(8,090.12)",$-
259,79828,Pekin Life Insurance Company,IN,N/E,$-,"$(183,612.65)"
260,91842,Time Insurance Company,IN,"$12,099,166.58","$15,394,607.15","$472,972.29"
261,95074,John Alden Life Insurance Company,IN,N/E,$-,"$(241,241.52)"
262,98761,Nippon Life Insurance Company of America,IN,N/E,$-,"$(153,115.64)"
263,99791,Humana Insurance Company,IN,"$9,599,228.21","$8,411,678.81","$(627,510.77)"
264,18558,"Blue Cross and Blue Shield of Kansas, Inc.",KS,"$22,071,027.01","$17,980,150.06","$1,209,308.94"
265,19968,Humana Insurance Company,KS,"$639,450.47","$129,998.03","$453,059.45"
266,27811,"BlueCross BlueShield Kansas Solutions, Inc.",KS,"$6,313,568.90","$(11,980,761.66)","$(355,578.67)"
267,34368,Celtic Insurance Company,KS,$0.00,"$4,300.78",$-
268,41446,United Healthcare Life Insurance Company,KS,"$269,244.33","$325,366.78",$-
269,49857,"Humana Health Plan, Inc.",KS,$0.00,$-,"$37,672.29"
270,54822,Freedom Life Insurance,KS,$0.00,"$12,212.08",$-
271,57850,Aetna Health Inc. (a PA corp.),KS,N/E,$-,"$(152,312.88)"
272,61430,Coventry Health and Life,KS,"$19,219,397.06","$(18,755,986.82)","$(684,315.40)"
273,65598,Coventry Health Care Of Kansas Inc.,KS,"$6,205,764.17","$(1,458,451.11)","$(413,025.79)"
274,71122,Time Insurance Company,KS,"$1,368,746.67","$838,285.82","$(22,779.35)"
275,84600,Aetna Life Insurance Company,KS,N/E,$-,"$745,826.49"
276,94248,Blue Cross and Blue Shield of Kansas City,KS,"$10,237,463.22","$12,904,886.10","$827,921.82"
277,94968,United Healthcare Insurance Company,KS,N/E,$-,"$(1,525,779.62)"
278,96352,Federated Mutual Insurance Company,KS,N/E,$-,"$(229,788.82)"
279,98618,John Alden Life Insurance Company,KS,N/E,$-,"$109,791.51"
280,15411,"Humana Health Plan, Inc.",KY,"$6,821,351.04","$3,404,519.29","$(1,964,729.71)"
281,19503,Time Insurance Company,KY,"$1,692,781.90","$1,187,533.23","$(16,224.72)"
282,23671,"United Healthcare of Kentucky, Ltd.",KY,N/E,$-,"$(331,779.58)"
283,28773,United Healthcare Insurance Company,KY,N/E,$-,"$(121,359.44)"
284,33734,John Alden Life Insurance Company,KY,N/E,$-,"$39,912.04"
285,36239,Anthem Health Plans of KY(Anthem BCBS),KY,"$15,230,315.39","$3,129,303.34","$4,368,115.21"
286,40586,"Bluegrass Family Health, Inc.",KY,N/E,$-,"$(1,208,814.63)"
287,45636,Care Source Kentucky Co.,KY,"$471,932.66","$(3,862,217.41)",$-
288,45920,"United Healthcare of Ohio, Inc.",KY,N/E,$-,"$(293,318.64)"
289,47949,Golden Rule Insurance Company,KY,"$305,383.84","$(1,451,612.01)",$-
290,72001,"Wellcare Health Plans of Kentucky, Inc.",KY,"$11,980.94","$(53,971.89)",$-
291,77029,All Savers Insurance Company,KY,N/E,$-,$(49.32)
292,77894,Kentucky Health Cooperative,KY,"$35,150,774.64","$(2,353,554.57)","$(471,751.15)"
293,14030,Aetna Life Insurance Company,LA,N/E,$-,"$20,110.13"
294,19636,"HMO Louisiana, Inc.",LA,"$18,992,557.99","$(30,654,005.69)","$(1,581,186.14)"
295,19913,Freedom Life Insurance,LA,"$215,088.93","$235,529.13",$-
296,22381,Coventry Health and Life,LA,N/E,$-,"$(65,433.61)"
297,31434,Time Insurance Company,LA,"$1,118,095.05","$(317,760.30)","$(14,565.43)"
